tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,tournament_name,tournament_title,year,indoor/outdoor,playerida_raw,playeridb_raw,PlayerIDA,PlayerIDB,winner_player_name,loser_player_name,winner_bracket_number,loser_bracket_number,home_player,away_player,home_country,away_country,home_seed,away_seed,winner_player_id,loser_player_id,winner_aces,loser_aces,winner_backhand_errors,loser_backhand_errors,winner_backhand_unforced_errors,loser_backhand_unforced_errors,winner_backhand_winners,loser_backhand_winners,winner_breakpoints_won,loser_breakpoints_won,winner_double_faults,loser_double_faults,winner_drop_shot_unforced_errors,loser_drop_shot_unforced_errors,winner_drop_shot_winners,loser_drop_shot_winners,winner_first_serve_points_won,loser_first_serve_points_won,winner_first_serve_successful,loser_first_serve_successful,winner_forehand_errors,loser_forehand_errors,winner_forehand_unforced_errors,loser_forehand_unforced_errors,winner_forehand_winners,loser_forehand_winners,winner_games_won,loser_games_won,winner_groundstroke_errors,loser_groundstroke_errors,winner_groundstroke_unforced_errors,loser_groundstroke_unforced_errors,winner_groundstroke_winners,loser_groundstroke_winners,winner_lob_unforced_errors,loser_lob_unforced_errors,winner_lob_winners,loser_lob_winners,winner_max_games_in_a_row,loser_max_games_in_a_row,winner_max_points_in_a_row,loser_max_points_in_a_row,winner_overhead_stroke_errors,loser_overhead_stroke_errors,winner_overhead_stroke_unforced_errors,loser_overhead_stroke_unforced_errors,winner_overhead_stroke_winners,loser_overhead_stroke_winners,winner_points_won,loser_points_won,winner_points_won_from_last_10,loser_points_won_from_last_10,winner_return_errors,loser_return_errors,winner_return_winners,loser_return_winners,winner_second_serve_points_won,loser_second_serve_points_won,winner_second_serve_successful,loser_second_serve_successful,winner_service_games_won,loser_service_games_won,winner_service_points_lost,loser_service_points_lost,winner_service_points_won,loser_service_points_won,winner_tiebreaks_won,loser_tiebreaks_won,winner_total_breakpoints,loser_total_breakpoints,winner_volley_unforced_errors,loser_volley_unforced_errors,winner_volley_winners,loser_volley_winners,Set 1 Score,Set 2 Score,Set 3 Score,ScoreString,event_id,event_year,match_time_total,match_message,match_status,set4_score,set5_score,num_sets,match_date,winner_flag_raw,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,score_string,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
905,2025,US OPEN,Grand Slam,2025-08-24,2025-09-07,Hard,NEW YORK,"NY, UNITED STATES",128.0,41592800.0,USD,LS63101347,2025-09-06,F,Aryna Sabalenka,Amanda Anisimova,,USA,1.0,8.0,6-3,7-6(3),,,320760,326384,US OPEN,"US Open - New York, NY, USA",2025.0,,320760,326384,320760,326384,Aryna Sabalenka,Amanda Anisimova,,,Aryna Sabalenka,Amanda Anisimova,,USA,1,8,320760,326384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-3,7-6(3),,"6-3,7-6(7)",905,2025,,,,,,2,2025-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,,,"6-3,7-6(7)",,,,,,,,,,,
905,2025,US OPEN,Grand Slam,2025-08-24,2025-09-07,Hard,NEW YORK,"NY, UNITED STATES",128.0,41592800.0,USD,LS63101351,2025-09-05,S,Amanda Anisimova,Naomi Osaka,USA,JPN,8.0,23.0,6-7(4),7-6(3),6-3,,326384,319998,US OPEN,"US Open - New York, NY, USA",2025.0,,319998,326384,319998,326384,Amanda Anisimova,Naomi Osaka,,,Naomi Osaka,Amanda Anisimova,JPN,USA,23,8,326384,319998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7-6(4),6-7(3),3-6,"7-6(7),6(7)-7,3-6",905,2025,,,,,,3,2025-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,7.0,3.0,,,"7-6(7),6(7)-7,3-6",,,,,,,,,,,
905,2025,US OPEN,Grand Slam,2025-08-24,2025-09-07,Hard,NEW YORK,"NY, UNITED STATES",128.0,41592800.0,USD,LS63101349,2025-09-04,S,Aryna Sabalenka,Jessica Pegula,,USA,1.0,4.0,4-6,6-3,6-4,,320760,316956,US OPEN,"US Open - New York, NY, USA",2025.0,,320760,316956,320760,316956,Aryna Sabalenka,Jessica Pegula,,,Aryna Sabalenka,Jessica Pegula,,USA,1,4,320760,316956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-6,6-3,6-4,"4-6,6-3,6-4",905,2025,,,,,,3,2025-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4-6,6-3,6-4",,,,,,,,,,,
905,2025,US OPEN,Grand Slam,2025-08-24,2025-09-07,Hard,NEW YORK,"NY, UNITED STATES",128.0,41592800.0,USD,LS63101339,2025-09-03,Q,Naomi Osaka,Karolina Muchova,JPN,CZE,23.0,11.0,6-4,7-6(3),,,319998,322191,US OPEN,"US Open - New York, NY, USA",2025.0,,322191,319998,322191,319998,Naomi Osaka,Karolina Muchova,,,Karolina Muchova,Naomi Osaka,CZE,JPN,11,23,319998,322191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-6,6-7(3),,"4-6,6(7)-7",905,2025,,,,,,2,2025-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,,,"4-6,6(7)-7",,,,,,,,,,,
905,2025,US OPEN,Grand Slam,2025-08-24,2025-09-07,Hard,NEW YORK,"NY, UNITED STATES",128.0,41592800.0,USD,LS63101341,2025-09-03,Q,Amanda Anisimova,Iga Swiatek,USA,POL,8.0,2.0,6-4,6-3,,,326384,326408,US OPEN,"US Open - New York, NY, USA",2025.0,,326384,326408,326384,326408,Amanda Anisimova,Iga Swiatek,,,Amanda Anisimova,Iga Swiatek,USA,POL,8,2,326384,326408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-4,6-3,,"6-4,6-3",905,2025,,,,,,2,2025-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6-4,6-3",,,,,,,,,,,
905,2025,,,,,,,,,,,,,,Marketa Vondrousova,Aryna Sabalenka,,,,,S.ArynadV.Marketa,,,,323027,320760,,,,,,,320760,323027,Marketa Vondrousova,Aryna Sabalenka,,,,,,,,,323027,320760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S. Aryna d V. Marketa ,905,2025,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S. Aryna d V. Marketa ,,,,,,,,,,,
905,2025,US OPEN,Grand Slam,2025-08-24,2025-09-07,Hard,NEW YORK,"NY, UNITED STATES",128.0,41592800.0,USD,LS63101345,2025-09-02,Q,Jessica Pegula,Barbora Krejcikova,USA,CZE,4.0,,6-3,6-3,,,316956,318314,US OPEN,"US Open - New York, NY, USA",2025.0,,316956,318314,316956,318314,Jessica Pegula,Barbora Krejcikova,,,Jessica Pegula,Barbora Krejcikova,USA,CZE,4,,316956,318314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-3,6-3,,"6-3,6-3",905,2025,,,,,,2,2025-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6-3,6-3",,,,,,,,,,,
905,2025,US OPEN,Grand Slam,2025-08-24,2025-09-07,Hard,NEW YORK,"NY, UNITED STATES",128.0,41592800.0,USD,LS63101331,2025-09-02,4,Amanda Anisimova,Beatriz Haddad Maia,USA,BRA,8.0,18.0,6-0,6-3,,,326384,318176,US OPEN,"US Open - New York, NY, USA",2025.0,,326384,318176,326384,318176,Amanda Anisimova,Beatriz Haddad Maia,,,Amanda Anisimova,Beatriz Haddad Maia,USA,BRA,8,18,326384,318176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-0,6-3,,"6-0,6-3",905,2025,,,,,,2,2025-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6-0,6-3",,,,,,,,,,,
905,2025,US OPEN,Grand Slam,2025-08-24,2025-09-07,Hard,NEW YORK,"NY, UNITED STATES",128.0,41592800.0,USD,LS63101337,2025-09-01,4,Naomi Osaka,Coco Gauff,JPN,USA,23.0,3.0,6-3,6-2,,,319998,328560,US OPEN,"US Open - New York, NY, USA",2025.0,,319998,328560,319998,328560,Naomi Osaka,Coco Gauff,,,Naomi Osaka,Coco Gauff,JPN,USA,23,3,319998,328560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-3,6-2,,"6-3,6-2",905,2025,,,,,,2,2025-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6-3,6-2",,,,,,,,,,,
905,2025,US OPEN,Grand Slam,2025-08-24,2025-09-07,Hard,NEW YORK,"NY, UNITED STATES",128.0,41592800.0,USD,LS63101335,2025-09-01,4,Karolina Muchova,Marta Kostyuk,CZE,UKR,11.0,27.0,6-3,6-7(0),6-3,,322191,326482,US OPEN,"US Open - New York, NY, USA",2025.0,,326482,322191,326482,322191,Karolina Muchova,Marta Kostyuk,,,Marta Kostyuk,Karolina Muchova,UKR,CZE,27,11,322191,326482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-6,7-6(0),3-6,"3-6,7-6(7),3-6",905,2025,,,,,,3,2025-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,,,"3-6,7-6(7),3-6",,,,,,,,,,,
