tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-C40-AUS-01A-2003c,2003,Australia Circuit 3 40K,CC,2003-03-03,,Grass,,,32,,,LS021,2003-03-03,R32,Monique Adamczak,Lauren Breadmore,AUS,AUS,,1.0,7-6(5),7-6(4),,,10293,20603,W-C40-AUS-01A-2003c,2003,Monique Adamczak,Lauren Breadmore,AUS,AUS,,1.0,SE,Monique Adamczak,Lauren Breadmore,2,"7-6(5),7-6(4)",,2003-03-03,,Australia Circuit 3 40K,,,,,10293,,20603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003c,2003,Australia Circuit 3 40K,CC,2003-03-03,,Grass,,,32,,,LS020,2003-03-03,R32,Gabrielle Baker,Arpi Kojian,AUS,USA,,,6-3,6-4,,,20717,310582,W-C40-AUS-01A-2003c,2003,Gabrielle Baker,Arpi Kojian,AUS,USA,,,,Gabrielle Baker,Arpi Kojian,2,"6-3,6-4",,2003-03-03,,Australia Circuit 3 40K,,,,,20717,,310582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003c,2003,Australia Circuit 3 40K,CC,2003-03-03,,Grass,,,32,,,LS022,2003-03-03,R32,Maika Ozaki,Adriana Szili,JPN,AUS,,,6-1,7-5,,,310644,190951,W-C40-AUS-01A-2003c,2003,Maika Ozaki,Adriana Szili,JPN,AUS,,,,Maika Ozaki,Adriana Szili,2,"6-1,7-5",,2003-03-03,,Australia Circuit 3 40K,,,,,310644,,190951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003c,2003,Australia Circuit 3 40K,CC,2003-03-03,,Grass,,,32,,,LS023,2003-03-03,R32,Kristen Van Elden,Madita Suer,AUS,GER,5.0,,6-0,6-4,,,220250,310072,W-C40-AUS-01A-2003c,2003,Kristen Van Elden,Madita Suer,AUS,GER,5.0,,,Kristen Van Elden,Madita Suer,2,"6-0,6-4",,2003-03-03,,Australia Circuit 3 40K,,,,,220250,,310072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003c,2003,Australia Circuit 3 40K,CC,2003-03-03,,Grass,,,32,,,LS016,2003-03-03,R32,Lisa Mcshea,Celine Francois,AUS,LUX,4.0,,6-3,6-3,,,130333,310396,W-C40-AUS-01A-2003c,2003,Lisa Mcshea,Celine Francois,AUS,LUX,4.0,,,Lisa Mcshea,Celine Francois,2,"6-3,6-3",,2003-03-03,,Australia Circuit 3 40K,,,,,130333,,310396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003c,2003,Australia Circuit 3 40K,CC,2003-03-03,,Grass,,,32,,,LS017,2003-03-03,R32,Dubravka Cupac,Kelly Blanch,AUS,AUS,,,6-1,6-0,,,310598,,W-C40-AUS-01A-2003c,2003,Dubravka Cupac,Kelly Blanch,AUS,AUS,,,Q,Dubravka Cupac,Kelly Blanch,2,"6-1,6-0",,2003-03-03,,Australia Circuit 3 40K,,,,,310598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003c,2003,Australia Circuit 3 40K,CC,2003-03-03,,Grass,,,32,,,LS018,2003-03-03,R32,Chin Wei Chan,Christine Alford,TPE,AUS,,,6-4,7-6(4),,,310083,10378,W-C40-AUS-01A-2003c,2003,Chin Wei Chan,Christine Alford,TPE,AUS,,,Q,Chin Wei Chan,Christine Alford,2,"6-4,7-6(4)",,2003-03-03,,Australia Circuit 3 40K,,,,,310083,,10378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003c,2003,Australia Circuit 3 40K,CC,2003-03-03,,Grass,,,32,,,LS019,2003-03-03,R32,Deanna Roberts,Bree Calderwood,AUS,AUS,8.0,,6-2,6-2,,,180355,30480,W-C40-AUS-01A-2003c,2003,Deanna Roberts,Bree Calderwood,AUS,AUS,8.0,,,Deanna Roberts,Bree Calderwood,2,"6-2,6-2",,2003-03-03,,Australia Circuit 3 40K,,,,,180355,,30480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003c,2003,Australia Circuit 3 40K,CC,2003-03-03,,Grass,,,32,,,LS026,2003-03-03,R32,Nicole Sewell,Cassandra Barr,AUS,AUS,7.0,,7-6(5),3-6,6-2,,190738,20643,W-C40-AUS-01A-2003c,2003,Nicole Sewell,Cassandra Barr,AUS,AUS,7.0,,,Nicole Sewell,Cassandra Barr,3,"7-6(5),3-6,6-2",,2003-03-03,,Australia Circuit 3 40K,,,,,190738,,20643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003c,2003,Australia Circuit 3 40K,CC,2003-03-03,,Grass,,,32,,,LS027,2003-03-03,R32,Ilke Gers,Nadia Johnston,NZL,AUS,,,6-2,6-2,,,70428,100116,W-C40-AUS-01A-2003c,2003,Ilke Gers,Nadia Johnston,NZL,AUS,,,,Ilke Gers,Nadia Johnston,2,"6-2,6-2",,2003-03-03,,Australia Circuit 3 40K,,,,,70428,,100116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
