tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-INT-AUS-01A-2010,2010,Brisbane,I,2010-01-04,,Hard,,,32,,,LS016,2010-01-04,R32,Kim Clijsters,Tathiana Garbin,BEL,ITA,1.0,,6-2,6-1,,,30458,30348,W-INT-AUS-01A-2010,2010,Kim Clijsters,Tathiana Garbin,BEL,ITA,1.0,,,Kim Clijsters,Tathiana Garbin,2,"6-2,6-1",,2010-01-04,,Brisbane,,,,,30458,,30348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUS-01A-2010,2010,Brisbane,I,2010-01-04,,Hard,,,32,,,LS017,2010-01-04,R32,Alicia Molik,Kate Makarova,AUS,RUS,,,6-4,1-6,6-4,,130548,,W-INT-AUS-01A-2010,2010,Alicia Molik,Kate Makarova,AUS,RUS,,,WC,Alicia Molik,Kate Makarova,3,"6-4,1-6,6-4",,2010-01-04,,Brisbane,,,,,130548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUS-01A-2010,2010,Brisbane,I,2010-01-04,,Hard,,,32,,,LS018,2010-01-04,R32,Lucie Safarova,Anna Lena Groenefeld,CZE,GER,,,6-7(5),6-4,6-1,,310553,310318,W-INT-AUS-01A-2010,2010,Lucie Safarova,Anna Lena Groenefeld,CZE,GER,,,,Lucie Safarova,Anna Lena Groenefeld,3,"6-7(5),6-4,6-1",,2010-01-04,,Brisbane,,,,,310553,,310318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUS-01A-2010,2010,Brisbane,I,2010-01-04,,Hard,,,32,,,LS019,2010-01-04,R32,Aleksandra Wozniak,Galina Voskoboeva,CAN,KAZ,6.0,,6-2,6-2,,,310494,310419,W-INT-AUS-01A-2010,2010,Aleksandra Wozniak,Galina Voskoboeva,CAN,KAZ,6.0,,,Aleksandra Wozniak,Galina Voskoboeva,2,"6-2,6-2",,2010-01-04,,Brisbane,,,,,310494,,310419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUS-01A-2010,2010,Brisbane,I,2010-01-04,,Hard,,,32,,,LS022,2010-01-04,R32,Daniela Hantuchova,Ekaterina Ivanova,SVK,RUS,4.0,,6-1,6-7(5),6-1,,80394,332444,W-INT-AUS-01A-2010,2010,Daniela Hantuchova,Ekaterina Ivanova,SVK,RUS,4.0,,,Daniela Hantuchova,Ekaterina Ivanova,3,"6-1,6-7(5),6-1",,2010-01-04,,Brisbane,,,,,80394,,332444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUS-01A-2010,2010,Brisbane,I,2010-01-04,,Hard,,,32,,,LS023,2010-01-04,R32,Agnes Szavay,Shuai Peng,HUN,CHN,,,5-7,6-4,6-2,,311872,160471,W-INT-AUS-01A-2010,2010,Agnes Szavay,Shuai Peng,HUN,CHN,,,,Agnes Szavay,Shuai Peng,3,"5-7,6-4,6-2",,2010-01-04,,Brisbane,,,,,311872,,160471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUS-01A-2010,2010,Brisbane,I,2010-01-04,,Hard,,,32,,,LS021,2010-01-04,R32,Vania King,Sybille Bammer,USA,AUT,,,6-4,6-1,,,311550,20463,W-INT-AUS-01A-2010,2010,Vania King,Sybille Bammer,USA,AUT,,,,Vania King,Sybille Bammer,2,"6-4,6-1",,2010-01-04,,Brisbane,,,,,311550,,20463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUS-01A-2010,2010,Brisbane,I,2010-01-04,,Hard,,,32,,,LS020,2010-01-04,R32,Andrea Petkovic,Iveta Benesova,GER,CZE,,8.0,6-7(6),6-2,6-1,,310770,,W-INT-AUS-01A-2010,2010,Andrea Petkovic,Iveta Benesova,GER,CZE,,8.0,,Andrea Petkovic,Iveta Benesova,3,"6-7(6),6-2,6-1",,2010-01-04,,Brisbane,,,,,310770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUS-01A-2010,2010,Brisbane,I,2010-01-04,,Hard,,,32,,,LS030,2010-01-04,R32,Anastasia Pavlyuchenkova,Alisa Kleybanova,RUS,RUS,,5.0,6-4,2-6,6-2,,313796,311777,W-INT-AUS-01A-2010,2010,Anastasia Pavlyuchenkova,Alisa Kleybanova,RUS,RUS,,5.0,,Anastasia Pavlyuchenkova,Alisa Kleybanova,3,"6-4,2-6,6-2",,2010-01-04,,Brisbane,,,,,313796,,311777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUS-01A-2010,2010,Brisbane,I,2010-01-04,,Hard,,,32,,,LS031,2010-01-04,R32,Roberta Vinci,Sara Errani,ITA,ITA,,,6-4,2-6,6-2,,220214,310761,W-INT-AUS-01A-2010,2010,Roberta Vinci,Sara Errani,ITA,ITA,,,,Roberta Vinci,Sara Errani,3,"6-4,2-6,6-2",,2010-01-04,,Brisbane,,,,,220214,,310761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
