tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-INT-AUT-02A-2013,2013,Linz,I,2013-10-07,,Hard,,,32,,,LS030,2013-10-07,R32,Sloane Stephens,Magdalena Rybarikova,USA,SVK,2.0,,6-3,6-1,,,315683,312580,W-INT-AUT-02A-2013,2013,Sloane Stephens,Magdalena Rybarikova,USA,SVK,2.0,,,Sloane Stephens,Magdalena Rybarikova,2,"6-3,6-1",,2013-10-07,,Linz,,,,,315683,,312580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUT-02A-2013,2013,Linz,I,2013-10-07,,Hard,,,32,,,LS031,2013-10-07,R32,Andrea Petkovic,Yvonne Meusburger,GER,AUT,,,6-3,7-5,,,310770,130698,W-INT-AUT-02A-2013,2013,Andrea Petkovic,Yvonne Meusburger,GER,AUT,,,,Andrea Petkovic,Yvonne Meusburger,2,"6-3,7-5",,2013-10-07,,Linz,,,,,310770,,130698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUT-02A-2013,2013,Linz,I,2013-10-07,,Hard,,,32,,,LS028,2013-10-07,R32,Stefanie Voegele,Klara Koukalova,SUI,CZE,,,5-7,7-5,6-0,,312336,110492,W-INT-AUT-02A-2013,2013,Stefanie Voegele,Klara Koukalova,SUI,CZE,,,,Stefanie Voegele,Klara Koukalova,3,"5-7,7-5,6-0",,2013-10-07,,Linz,,,,,312336,,110492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUT-02A-2013,2013,Linz,I,2013-10-07,,Hard,,,32,,,LS029,2013-10-07,R32,Karin Knapp,Daniela Hantuchova,ITA,SVK,,8.0,6-2,7-6(6),,,311299,80394,W-INT-AUT-02A-2013,2013,Karin Knapp,Daniela Hantuchova,ITA,SVK,,8.0,,Karin Knapp,Daniela Hantuchova,2,"6-2,7-6(6)",,2013-10-07,,Linz,,,,,311299,,80394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUT-02A-2013,2013,Linz,I,2013-10-07,,Hard,,,32,,,LS024,2013-10-07,R32,Ana Ivanovic,Yanina Wickmayer,SRB,BEL,3.0,,6-2,6-4,,,311710,312536,W-INT-AUT-02A-2013,2013,Ana Ivanovic,Yanina Wickmayer,SRB,BEL,3.0,,,Ana Ivanovic,Yanina Wickmayer,2,"6-2,6-4",,2013-10-07,,Linz,,,,,311710,,312536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUT-02A-2013,2013,Linz,I,2013-10-07,,Hard,,,32,,,LS025,2013-10-07,R32,Francesca Schiavone,Karolina Pliskova,ITA,CZE,,,7-5,6-2,,,190666,313974,W-INT-AUT-02A-2013,2013,Francesca Schiavone,Karolina Pliskova,ITA,CZE,,,,Francesca Schiavone,Karolina Pliskova,2,"7-5,6-2",,2013-10-07,,Linz,,,,,190666,,313974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUT-02A-2013,2013,Linz,I,2013-10-07,,Hard,,,32,,,LS027,2013-10-07,R32,Katarzyna Piter,Irina Camelia Begu,POL,ROU,,,6-2,4-6,6-3,,313806,313169,W-INT-AUT-02A-2013,2013,Katarzyna Piter,Irina Camelia Begu,POL,ROU,,,Q,Katarzyna Piter,Irina Camelia Begu,3,"6-2,4-6,6-3",,2013-10-07,,Linz,,,,,313806,,313169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUT-02A-2013,2013,Linz,I,2013-10-07,,Hard,,,32,,,LS026,2013-10-07,R32,Dominika Cibulkova,Annika Beck,SVK,GER,7.0,,3-6,6-2,6-1,,312894,316979,W-INT-AUT-02A-2013,2013,Dominika Cibulkova,Annika Beck,SVK,GER,7.0,,,Dominika Cibulkova,Annika Beck,3,"3-6,6-2,6-1",,2013-10-07,,Linz,,,,,312894,,316979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUT-02A-2013,2013,Linz,I,2013-10-07,,Hard,,,32,,,LS022,2013-10-07,R32,Kirsten Flipkens,Donna Vekic,BEL,CRO,5.0,,2-6,6-2,6-2,,310331,318516,W-INT-AUT-02A-2013,2013,Kirsten Flipkens,Donna Vekic,BEL,CRO,5.0,,,Kirsten Flipkens,Donna Vekic,3,"2-6,6-2,6-2",,2013-10-07,,Linz,,,,,310331,,318516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-AUT-02A-2013,2013,Linz,I,2013-10-07,,Hard,,,32,,,LS023,2013-10-07,R32,Camila Giorgi,Julia Goerges,ITA,GER,,,6-2,6-3,,,314610,313381,W-INT-AUT-02A-2013,2013,Camila Giorgi,Julia Goerges,ITA,GER,,,Q,Camila Giorgi,Julia Goerges,2,"6-2,6-3",,2013-10-07,,Linz,,,,,314610,,313381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
