tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-INT-CHN-01A-2013,2013,Shenzhen,I,2012-12-31,,Hard,,,32,,,LS016,2012-12-31,R32,Na Li,Mandy Minella,CHN,LUX,1.0,,6-4,6-0,,,120330,310431,W-INT-CHN-01A-2013,2013,Na Li,Mandy Minella,CHN,LUX,1.0,,,Na Li,Mandy Minella,2,"6-4,6-0",,2012-12-31,,Shenzhen,,,,,120330,,310431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CHN-01A-2013,2013,Shenzhen,I,2012-12-31,,Hard,,,32,,,LS017,2012-12-31,R32,Julia Cohen,Nina Bratchikova,USA,RUS,,,0-6,7-6(7),7-5,,311380,20693,W-INT-CHN-01A-2013,2013,Julia Cohen,Nina Bratchikova,USA,RUS,,,,Julia Cohen,Nina Bratchikova,3,"0-6,7-6(7),7-5",,2012-12-31,,Shenzhen,,,,,311380,,20693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CHN-01A-2013,2013,Shenzhen,I,2012-12-31,,Hard,,,32,,,LS019,2012-12-31,R32,Ying Ying Duan,Kimiko Date Krumm,CHN,JPN,,,7-6(5),7-5,,,314492,,W-INT-CHN-01A-2013,2013,Ying Ying Duan,Kimiko Date Krumm,CHN,JPN,,,WC,Ying Ying Duan,Kimiko Date Krumm,2,"7-6(5),7-5",,2012-12-31,,Shenzhen,,,,,314492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CHN-01A-2013,2013,Shenzhen,I,2012-12-31,,Hard,,,32,,,LS018,2012-12-31,R32,Bojana Jovanovski,Alexandra Cadantu Ignatik,SRB,ROU,8.0,,6-3,6-1,,,,313215,W-INT-CHN-01A-2013,2013,Bojana Jovanovski,Alexandra Cadantu Ignatik,SRB,ROU,8.0,,,Bojana Jovanovski,Alexandra Cadantu Ignatik,2,"6-3,6-1",,2012-12-31,,Shenzhen,,,,,,,313215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CHN-01A-2013,2013,Shenzhen,I,2012-12-31,,Hard,,,32,,,LS023,2012-12-31,R32,Su Wei Hsieh,Melinda Czink,TPE,HUN,4.0,,6-3,6-2,,,310053,30557,W-INT-CHN-01A-2013,2013,Su Wei Hsieh,Melinda Czink,TPE,HUN,4.0,,,Su Wei Hsieh,Melinda Czink,2,"6-3,6-2",,2012-12-31,,Shenzhen,,,,,310053,,30557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CHN-01A-2013,2013,Shenzhen,I,2012-12-31,,Hard,,,32,,,LS022,2012-12-31,R32,Annika Beck,Garbine Muguruza,GER,ESP,,,6-2,6-7(7),6-4,,316979,316239,W-INT-CHN-01A-2013,2013,Annika Beck,Garbine Muguruza,GER,ESP,,,,Annika Beck,Garbine Muguruza,3,"6-2,6-7(7),6-4",,2012-12-31,,Shenzhen,,,,,316979,,316239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CHN-01A-2013,2013,Shenzhen,I,2012-12-31,,Hard,,,32,,,LS021,2012-12-31,R32,Ayumi Morita,Yung Jan Chan,JPN,TPE,,,6-4,6-4,,,312848,,W-INT-CHN-01A-2013,2013,Ayumi Morita,Yung Jan Chan,JPN,TPE,,,,Ayumi Morita,Yung Jan Chan,2,"6-4,6-4",,2012-12-31,,Shenzhen,,,,,312848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CHN-01A-2013,2013,Shenzhen,I,2012-12-31,,Hard,,,32,,,LS020,2012-12-31,R32,Shuai Peng,Anne Keothavong,CHN,GBR,6.0,,6-4,6-0,,,160471,110524,W-INT-CHN-01A-2013,2013,Shuai Peng,Anne Keothavong,CHN,GBR,6.0,,,Shuai Peng,Anne Keothavong,2,"6-4,6-0",,2012-12-31,,Shenzhen,,,,,160471,,110524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CHN-01A-2013,2013,Shenzhen,I,2012-12-31,,Hard,,,32,,,LS029,2012-12-31,R32,Laura Robson,Edina Gallovits Hall,GBR,ROU,7.0,,6-2,6-1,,,316629,70471,W-INT-CHN-01A-2013,2013,Laura Robson,Edina Gallovits Hall,GBR,ROU,7.0,,,Laura Robson,Edina Gallovits Hall,2,"6-2,6-1",,2012-12-31,,Shenzhen,,,,,316629,,70471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-CHN-01A-2013,2013,Shenzhen,I,2012-12-31,,Hard,,,32,,,LS028,2012-12-31,R32,Monica Niculescu,Saisai Zheng,ROU,CHN,,,6-4,7-5,,,310775,316286,W-INT-CHN-01A-2013,2013,Monica Niculescu,Saisai Zheng,ROU,CHN,,,,Monica Niculescu,Saisai Zheng,2,"6-4,7-5",,2012-12-31,,Shenzhen,,,,,310775,,316286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
