tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-INT-COL-01A-2012,2012,Bogota,I,2012-02-13,,Clay,,,32,,,LS021,2012-02-13,R32,Marina Erakovic,Stefanie Voegele,NZL,SUI,1.0,,6-3,6-4,,,312086,312336,W-INT-COL-01A-2012,2012,Marina Erakovic,Stefanie Voegele,NZL,SUI,1.0,,,Marina Erakovic,Stefanie Voegele,2,"6-3,6-4",,2012-02-13,,Bogota,,,,,312086,,312336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-COL-01A-2012,2012,Bogota,I,2012-02-13,,Clay,,,32,,,LS020,2012-02-13,R32,Edina Gallovits Hall,Julia Cohen,ROU,USA,,,6-4,6-1,,,70471,311380,W-INT-COL-01A-2012,2012,Edina Gallovits Hall,Julia Cohen,ROU,USA,,,,Edina Gallovits Hall,Julia Cohen,2,"6-4,6-1",,2012-02-13,,Bogota,,,,,70471,,311380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-COL-01A-2012,2012,Bogota,I,2012-02-13,,Clay,,,32,,,LS022,2012-02-13,R32,Mariana Duque Marino,Tetiana Luzhanska,COL,USA,,,3-6,6-4,7-5,,312572,120381,W-INT-COL-01A-2012,2012,Mariana Duque Marino,Tetiana Luzhanska,COL,USA,,,,Mariana Duque Marino,Tetiana Luzhanska,3,"3-6,6-4,7-5",,2012-02-13,,Bogota,,,,,312572,,120381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-COL-01A-2012,2012,Bogota,I,2012-02-13,,Clay,,,32,,,LS023,2012-02-13,R32,Lourdes Dominguez Lino,Sharon Fichman,ESP,CAN,7.0,,6-2,6-2,,,40300,313283,W-INT-COL-01A-2012,2012,Lourdes Dominguez Lino,Sharon Fichman,ESP,CAN,7.0,,,Lourdes Dominguez Lino,Sharon Fichman,2,"6-2,6-2",,2012-02-13,,Bogota,,,,,40300,,313283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-COL-01A-2012,2012,Bogota,I,2012-02-13,,Clay,,,32,,,LS018,2012-02-13,R32,Paula Ormaechea,Jelena Dokic,ARG,AUS,,4.0,4-6,6-3,6-4,,315083,40344,W-INT-COL-01A-2012,2012,Paula Ormaechea,Jelena Dokic,ARG,AUS,,4.0,Q,Paula Ormaechea,Jelena Dokic,3,"4-6,6-3,6-4",,2012-02-13,,Bogota,,,,,315083,,40344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,19,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-COL-01A-2012,2012,Bogota,I,2012-02-13,,Clay,,,32,,,LS019,2012-02-13,R32,Petra Rampre,Karen Castiblanco,SLO,COL,,,6-3,6-4,,,180294,311651,W-INT-COL-01A-2012,2012,Petra Rampre,Karen Castiblanco,SLO,COL,,,,Petra Rampre,Karen Castiblanco,2,"6-3,6-4",,2012-02-13,,Bogota,,,,,180294,,311651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-COL-01A-2012,2012,Bogota,I,2012-02-13,,Clay,,,32,,,LS017,2012-02-13,R32,Eva Birnerova,Ines Ferrer Suarez,CZE,ESP,,,6-2,6-4,,,20596,314649,W-INT-COL-01A-2012,2012,Eva Birnerova,Ines Ferrer Suarez,CZE,ESP,,,,Eva Birnerova,Ines Ferrer Suarez,2,"6-2,6-4",,2012-02-13,,Bogota,,,,,20596,,314649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-COL-01A-2012,2012,Bogota,I,2012-02-13,,Clay,,,32,,,LS016,2012-02-13,R32,Lara Arruabarrena,Patricia Mayr Achleitner,ESP,AUT,,8.0,6-1,3-6,7-6(3),,315296,311044,W-INT-COL-01A-2012,2012,Lara Arruabarrena,Patricia Mayr Achleitner,ESP,AUT,,8.0,,Lara Arruabarrena,Patricia Mayr Achleitner,3,"6-1,3-6,7-6(3)",,2012-02-13,,Bogota,,,,,315296,,311044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-COL-01A-2012,2012,Bogota,I,2012-02-13,,Clay,,,32,,,LS031,2012-02-13,R32,Valeria Savinykh,Mathilde Johansson,RUS,FRA,,6.0,7-6(2),3-6,7-5,,315428,100162,W-INT-COL-01A-2012,2012,Valeria Savinykh,Mathilde Johansson,RUS,FRA,,6.0,,Valeria Savinykh,Mathilde Johansson,3,"7-6(2),3-6,7-5",,2012-02-13,,Bogota,,,,,315428,,100162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,22,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-COL-01A-2012,2012,Bogota,I,2012-02-13,,Clay,,,32,,,LS030,2012-02-13,R32,Yaroslava Shvedova,Estrella Cabeza Candela,KAZ,ESP,,,6-0,3-6,6-4,,311137,311235,W-INT-COL-01A-2012,2012,Yaroslava Shvedova,Estrella Cabeza Candela,KAZ,ESP,,,Q,Yaroslava Shvedova,Estrella Cabeza Candela,3,"6-0,3-6,6-4",,2012-02-13,,Bogota,,,,,311137,,311235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
