tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-INT-ESP-01A-2011,2011,Marbella,I,2011-04-04,,Clay,,,32,,,LS016,2011-04-04,R32,Victoria Azarenka,Arantxa Parra Santonja,BLR,ESP,1.0,,6-2,6-3,,,312001,160451,W-INT-ESP-01A-2011,2011,Victoria Azarenka,Arantxa Parra Santonja,BLR,ESP,1.0,,,Victoria Azarenka,Arantxa Parra Santonja,2,"6-2,6-3",,2011-04-04,,Marbella,,,,,312001,,160451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-ESP-01A-2011,2011,Marbella,I,2011-04-04,,Clay,,,32,,,LS017,2011-04-04,R32,Laura Pous Tio,Polona Hercog,ESP,SLO,,,6-1,6-2,,,160481,313968,W-INT-ESP-01A-2011,2011,Laura Pous Tio,Polona Hercog,ESP,SLO,,,,Laura Pous Tio,Polona Hercog,2,"6-1,6-2",,2011-04-04,,Marbella,,,,,160481,,313968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-ESP-01A-2011,2011,Marbella,I,2011-04-04,,Clay,,,32,,,LS018,2011-04-04,R32,Dinara Safina,Arantxa Rus,RUS,NED,,,3-6,6-2,6-4,,190950,313349,W-INT-ESP-01A-2011,2011,Dinara Safina,Arantxa Rus,RUS,NED,,,WC,Dinara Safina,Arantxa Rus,3,"3-6,6-2,6-4",,2011-04-04,,Marbella,,,,,190950,,313349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-ESP-01A-2011,2011,Marbella,I,2011-04-04,,Clay,,,32,,,LS019,2011-04-04,R32,Tsvetana Pironkova,Maria Teresa Torro Flor,BUL,ESP,5.0,,6-2,6-2,,,311041,,W-INT-ESP-01A-2011,2011,Tsvetana Pironkova,Maria Teresa Torro Flor,BUL,ESP,5.0,,,Tsvetana Pironkova,Maria Teresa Torro Flor,2,"6-2,6-2",,2011-04-04,,Marbella,,,,,311041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-ESP-01A-2011,2011,Marbella,I,2011-04-04,,Clay,,,32,,,LS022,2011-04-04,R32,Alexandra Dulgheru,Anastasia Pivovarova,ROU,RUS,4.0,,7-6(3),6-7(5),7-5,,312712,313390,W-INT-ESP-01A-2011,2011,Alexandra Dulgheru,Anastasia Pivovarova,ROU,RUS,4.0,,,Alexandra Dulgheru,Anastasia Pivovarova,3,"7-6(3),6-7(5),7-5",,2011-04-04,,Marbella,,,,,312712,,313390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-ESP-01A-2011,2011,Marbella,I,2011-04-04,,Clay,,,32,,,LS023,2011-04-04,R32,Anabel Medina Garrigues,Iveta Benesova,ESP,CZE,,,6-0,6-2,,,130611,,W-INT-ESP-01A-2011,2011,Anabel Medina Garrigues,Iveta Benesova,ESP,CZE,,,,Anabel Medina Garrigues,Iveta Benesova,2,"6-0,6-2",,2011-04-04,,Marbella,,,,,130611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-ESP-01A-2011,2011,Marbella,I,2011-04-04,,Clay,,,32,,,LS021,2011-04-04,R32,Kristina Barrois,Kirsten Flipkens,GER,BEL,,,6-3,7-5,,,312578,310331,W-INT-ESP-01A-2011,2011,Kristina Barrois,Kirsten Flipkens,GER,BEL,,,,Kristina Barrois,Kirsten Flipkens,2,"6-3,7-5",,2011-04-04,,Marbella,,,,,312578,,310331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-ESP-01A-2011,2011,Marbella,I,2011-04-04,,Clay,,,32,,,LS020,2011-04-04,R32,Sara Errani,Sorana Cirstea,ITA,ROU,8.0,,1-6,6-4,6-2,,310761,312469,W-INT-ESP-01A-2011,2011,Sara Errani,Sorana Cirstea,ITA,ROU,8.0,,,Sara Errani,Sorana Cirstea,3,"1-6,6-4,6-2",,2011-04-04,,Marbella,,,,,310761,,312469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-ESP-01A-2011,2011,Marbella,I,2011-04-04,,Clay,,,32,,,LS026,2011-04-04,R32,Klara Koukalova,Anastasia Yakimova,CZE,BLR,6.0,,1-6,7-5,6-3,,110492,310626,W-INT-ESP-01A-2011,2011,Klara Koukalova,Anastasia Yakimova,CZE,BLR,6.0,,,Klara Koukalova,Anastasia Yakimova,3,"1-6,7-5,6-3",,2011-04-04,,Marbella,,,,,110492,,310626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-ESP-01A-2011,2011,Marbella,I,2011-04-04,,Clay,,,32,,,LS027,2011-04-04,R32,Lourdes Dominguez Lino,Angelique Kerber,ESP,GER,,,6-4,3-6,6-3,,40300,311470,W-INT-ESP-01A-2011,2011,Lourdes Dominguez Lino,Angelique Kerber,ESP,GER,,,,Lourdes Dominguez Lino,Angelique Kerber,3,"6-4,3-6,6-3",,2011-04-04,,Marbella,,,,,40300,,311470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
