tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-INT-HUN-01A-2012,2012,Budapest,I,2012-04-30,,Clay,,,32,,,LS016,2012-04-30,R32,Sara Errani,Mandy Minella,ITA,LUX,1.0,,6-1,6-1,,,310761,310431,W-INT-HUN-01A-2012,2012,Sara Errani,Mandy Minella,ITA,LUX,1.0,,,Sara Errani,Mandy Minella,2,"6-1,6-1",,2012-04-30,,Budapest,,,,,310761,,310431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-HUN-01A-2012,2012,Budapest,I,2012-04-30,,Clay,,,32,,,LS017,2012-04-30,R32,Melinda Czink,Mervana Jugic Salkic,HUN,BIH,,,6-7(3),6-0,6-3,,30557,100123,W-INT-HUN-01A-2012,2012,Melinda Czink,Mervana Jugic Salkic,HUN,BIH,,,Q,Melinda Czink,Mervana Jugic Salkic,3,"6-7(3),6-0,6-3",,2012-04-30,,Budapest,,,,,30557,,100123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-HUN-01A-2012,2012,Budapest,I,2012-04-30,,Clay,,,32,,,LS019,2012-04-30,R32,Lesia Tsurenko,Greta Arn,UKR,HUN,,,3-6,6-3,6-1,,315295,10230,W-INT-HUN-01A-2012,2012,Lesia Tsurenko,Greta Arn,UKR,HUN,,,,Lesia Tsurenko,Greta Arn,3,"3-6,6-3,6-1",,2012-04-30,,Budapest,,,,,315295,,10230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-HUN-01A-2012,2012,Budapest,I,2012-04-30,,Clay,,,32,,,LS018,2012-04-30,R32,Alberta Brianti,Irina Camelia Begu,ITA,ROU,,8.0,6-4,5-7,6-3,,20458,313169,W-INT-HUN-01A-2012,2012,Alberta Brianti,Irina Camelia Begu,ITA,ROU,,8.0,,Alberta Brianti,Irina Camelia Begu,3,"6-4,5-7,6-3",,2012-04-30,,Budapest,,,,,20458,,313169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-HUN-01A-2012,2012,Budapest,I,2012-04-30,,Clay,,,32,,,LS020,2012-04-30,R32,Anna Tatishvili,Tsvetana Pironkova,GEO,BUL,,3.0,1-6,6-3,6-1,,312962,311041,W-INT-HUN-01A-2012,2012,Anna Tatishvili,Tsvetana Pironkova,GEO,BUL,,3.0,,Anna Tatishvili,Tsvetana Pironkova,3,"1-6,6-3,6-1",,2012-04-30,,Budapest,,,,,312962,,311041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-HUN-01A-2012,2012,Budapest,I,2012-04-30,,Clay,,,32,,,LS021,2012-04-30,R32,Vanda Lukacs,Henrietta Habler,HUN,HUN,,,6-2,6-1,,,316299,,W-INT-HUN-01A-2012,2012,Vanda Lukacs,Henrietta Habler,HUN,HUN,,,WC,Vanda Lukacs,Henrietta Habler,2,"6-2,6-1",,2012-04-30,,Budapest,,,,,316299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-HUN-01A-2012,2012,Budapest,I,2012-04-30,,Clay,,,32,,,LS023,2012-04-30,R32,Alexandra Cadantu Ignatik,Magdalena Rybarikova,ROU,SVK,,,6-2,6-1,,,313215,312580,W-INT-HUN-01A-2012,2012,Alexandra Cadantu Ignatik,Magdalena Rybarikova,ROU,SVK,,,,Alexandra Cadantu Ignatik,Magdalena Rybarikova,2,"6-2,6-1",,2012-04-30,,Budapest,,,,,313215,,312580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-HUN-01A-2012,2012,Budapest,I,2012-04-30,,Clay,,,32,,,LS022,2012-04-30,R32,Aleksandra Wozniak,Shahar Peer,CAN,ISR,,7.0,6-4,6-3,,,310494,311168,W-INT-HUN-01A-2012,2012,Aleksandra Wozniak,Shahar Peer,CAN,ISR,,7.0,,Aleksandra Wozniak,Shahar Peer,2,"6-4,6-3",,2012-04-30,,Budapest,,,,,310494,,311168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-HUN-01A-2012,2012,Budapest,I,2012-04-30,,Clay,,,32,,,LS028,2012-04-30,R32,Marina Erakovic,Pauline Parmentier,NZL,FRA,5.0,,7-6(3),3-6,7-6(2),,312086,160515,W-INT-HUN-01A-2012,2012,Marina Erakovic,Pauline Parmentier,NZL,FRA,5.0,,,Marina Erakovic,Pauline Parmentier,3,"7-6(3),3-6,7-6(2)",,2012-04-30,,Budapest,,,,,312086,,160515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-HUN-01A-2012,2012,Budapest,I,2012-04-30,,Clay,,,32,,,LS029,2012-04-30,R32,Akgul Amanmuradova,Michaella Krajicek,UZB,NED,,,6-3,3-6,7-6(6),,10362,311578,W-INT-HUN-01A-2012,2012,Akgul Amanmuradova,Michaella Krajicek,UZB,NED,,,Q,Akgul Amanmuradova,Michaella Krajicek,3,"6-3,3-6,7-6(6)",,2012-04-30,,Budapest,,,,,10362,,311578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
