tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-INT-MAR-01A-2013,2013,Marrakech,I,2013-04-22,,Clay,,,32,,,LS025,2013-04-22,R32,Tsvetana Pironkova,Karolina Pliskova,BUL,CZE,9.0,,7-5,6-1,,,311041,313974,W-INT-MAR-01A-2013,2013,Tsvetana Pironkova,Karolina Pliskova,BUL,CZE,9.0,,,Tsvetana Pironkova,Karolina Pliskova,2,"7-5,6-1",,2013-04-22,,Marrakech,,,,,311041,,313974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MAR-01A-2013,2013,Marrakech,I,2013-04-22,,Clay,,,32,,,LS024,2013-04-22,R32,Lourdes Dominguez Lino,Misaki Doi,ESP,JPN,,,6-2,4-6,6-2,,40300,314237,W-INT-MAR-01A-2013,2013,Lourdes Dominguez Lino,Misaki Doi,ESP,JPN,,,,Lourdes Dominguez Lino,Misaki Doi,3,"6-2,4-6,6-2",,2013-04-22,,Marrakech,,,,,40300,,314237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MAR-01A-2013,2013,Marrakech,I,2013-04-22,,Clay,,,32,,,LS027,2013-04-22,R32,Flavia Pennetta,Melinda Czink,ITA,HUN,,,6-1,7-6(2),,,160391,30557,W-INT-MAR-01A-2013,2013,Flavia Pennetta,Melinda Czink,ITA,HUN,,,,Flavia Pennetta,Melinda Czink,2,"6-1,7-6(2)",,2013-04-22,,Marrakech,,,,,160391,,30557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MAR-01A-2013,2013,Marrakech,I,2013-04-22,,Clay,,,32,,,LS026,2013-04-22,R32,Kiki Bertens,Timea Babos,NED,HUN,5.0,,7-5,6-2,,,314584,317070,W-INT-MAR-01A-2013,2013,Kiki Bertens,Timea Babos,NED,HUN,5.0,,,Kiki Bertens,Timea Babos,2,"7-5,6-2",,2013-04-22,,Marrakech,,,,,314584,,317070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MAR-01A-2013,2013,Marrakech,I,2013-04-22,,Clay,,,32,,,LS029,2013-04-22,R32,Kaia Kanepi,Anabel Medina Garrigues,EST,ESP,4.0,,4-6,6-3,6-2,,110536,130611,W-INT-MAR-01A-2013,2013,Kaia Kanepi,Anabel Medina Garrigues,EST,ESP,4.0,,,Kaia Kanepi,Anabel Medina Garrigues,3,"4-6,6-3,6-2",,2013-04-22,,Marrakech,,,,,110536,,130611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MAR-01A-2013,2013,Marrakech,I,2013-04-22,,Clay,,,32,,,LS028,2013-04-22,R32,Mandy Minella,Estrella Cabeza Candela,LUX,ESP,,,7-6(3),4-6,7-5,,310431,311235,W-INT-MAR-01A-2013,2013,Mandy Minella,Estrella Cabeza Candela,LUX,ESP,,,,Mandy Minella,Estrella Cabeza Candela,3,"7-6(3),4-6,7-5",,2013-04-22,,Marrakech,,,,,310431,,311235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MAR-01A-2013,2013,Marrakech,I,2013-04-22,,Clay,,,32,,,LS031,2013-04-22,R32,Olga Puchkova,Daniela Hantuchova,RUS,SVK,,,3-6,7-6(5),7-5,,310717,80394,W-INT-MAR-01A-2013,2013,Olga Puchkova,Daniela Hantuchova,RUS,SVK,,,,Olga Puchkova,Daniela Hantuchova,3,"3-6,7-6(5),7-5",,2013-04-22,,Marrakech,,,,,310717,,80394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MAR-01A-2013,2013,Marrakech,I,2013-04-22,,Clay,,,32,,,LS030,2013-04-22,R32,Silvia Soler Espinosa,Michaela Honcova,ESP,SVK,,,7-6(4),6-2,,,311493,315597,W-INT-MAR-01A-2013,2013,Silvia Soler Espinosa,Michaela Honcova,ESP,SVK,,,,Silvia Soler Espinosa,Michaela Honcova,2,"7-6(4),6-2",,2013-04-22,,Marrakech,,,,,311493,,315597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MAR-01A-2013,2013,Marrakech,I,2013-04-22,,Clay,,,32,,,LS016,2013-04-22,R32,Francesca Schiavone,Petra Martic,ITA,CRO,6.0,,7-6(8),6-4,,,190666,313711,W-INT-MAR-01A-2013,2013,Francesca Schiavone,Petra Martic,ITA,CRO,6.0,,,Francesca Schiavone,Petra Martic,2,"7-6(8),6-4",,2013-04-22,,Marrakech,,,,,190666,,313711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MAR-01A-2013,2013,Marrakech,I,2013-04-22,,Clay,,,32,,,LS017,2013-04-22,R32,Simona Halep,Nina Bratchikova,ROU,RUS,,,6-1,6-3,,,314320,20693,W-INT-MAR-01A-2013,2013,Simona Halep,Nina Bratchikova,ROU,RUS,,,,Simona Halep,Nina Bratchikova,2,"6-1,6-3",,2013-04-22,,Marrakech,,,,,314320,,20693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
