tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-INT-MEX-02A-2013,2013,Monterrey,I,2013-04-01,,Hard,,,32,,,LS024,2013-04-01,R32,Angelique Kerber,Samantha Crawford,GER,USA,1.0,,6-3,6-3,,,311470,319220,W-INT-MEX-02A-2013,2013,Angelique Kerber,Samantha Crawford,GER,USA,1.0,,,Angelique Kerber,Samantha Crawford,2,"6-3,6-3",,2013-04-01,,Monterrey,,,,,311470,,319220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MEX-02A-2013,2013,Monterrey,I,2013-04-01,,Hard,,,32,,,LS025,2013-04-01,R32,Alla Kudryavtseva,Eva Birnerova,RUS,CZE,,,6-4,6-3,,,311362,20596,W-INT-MEX-02A-2013,2013,Alla Kudryavtseva,Eva Birnerova,RUS,CZE,,,Q,Alla Kudryavtseva,Eva Birnerova,2,"6-4,6-3",,2013-04-01,,Monterrey,,,,,311362,,20596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MEX-02A-2013,2013,Monterrey,I,2013-04-01,,Hard,,,32,,,LS027,2013-04-01,R32,Galina Voskoboeva,Eleni Daniilidou,KAZ,GRE,,,6-3,3-6,6-3,,310419,40313,W-INT-MEX-02A-2013,2013,Galina Voskoboeva,Eleni Daniilidou,KAZ,GRE,,,,Galina Voskoboeva,Eleni Daniilidou,3,"6-3,3-6,6-3",,2013-04-01,,Monterrey,,,,,310419,,40313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MEX-02A-2013,2013,Monterrey,I,2013-04-01,,Hard,,,32,,,LS026,2013-04-01,R32,Ayumi Morita,Jana Cepelova,JPN,SVK,8.0,,6-0,6-1,,,312848,316774,W-INT-MEX-02A-2013,2013,Ayumi Morita,Jana Cepelova,JPN,SVK,8.0,,,Ayumi Morita,Jana Cepelova,2,"6-0,6-1",,2013-04-01,,Monterrey,,,,,312848,,316774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MEX-02A-2013,2013,Monterrey,I,2013-04-01,,Hard,,,32,,,LS028,2013-04-01,R32,Maria Kirilenko,Ximena Hermoso,RUS,MEX,3.0,,7-5,6-1,,,310577,313177,W-INT-MEX-02A-2013,2013,Maria Kirilenko,Ximena Hermoso,RUS,MEX,3.0,,,Maria Kirilenko,Ximena Hermoso,2,"7-5,6-1",,2013-04-01,,Monterrey,,,,,310577,,313177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MEX-02A-2013,2013,Monterrey,I,2013-04-01,,Hard,,,32,,,LS029,2013-04-01,R32,Jovana Jaksic,Vera Dushevina,SRB,RUS,,,4-6,7-6(4),7-6(2),,,310625,W-INT-MEX-02A-2013,2013,Jovana Jaksic,Vera Dushevina,SRB,RUS,,,Q,Jovana Jaksic,Vera Dushevina,3,"4-6,7-6(4),7-6(2)",,2013-04-01,,Monterrey,,,,,,,310625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MEX-02A-2013,2013,Monterrey,I,2013-04-01,,Hard,,,32,,,LS031,2013-04-01,R32,Donna Vekic,Julia Cohen,CRO,USA,,,6-0,6-4,,,318516,311380,W-INT-MEX-02A-2013,2013,Donna Vekic,Julia Cohen,CRO,USA,,,,Donna Vekic,Julia Cohen,2,"6-0,6-4",,2013-04-01,,Monterrey,,,,,318516,,311380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MEX-02A-2013,2013,Monterrey,I,2013-04-01,,Hard,,,32,,,LS030,2013-04-01,R32,Urszula Radwanska,Maria Sanchez,POL,USA,7.0,,6-2,2-6,6-2,,313131,313958,W-INT-MEX-02A-2013,2013,Urszula Radwanska,Maria Sanchez,POL,USA,7.0,,,Urszula Radwanska,Maria Sanchez,3,"6-2,2-6,6-2",,2013-04-01,,Monterrey,,,,,313131,,313958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MEX-02A-2013,2013,Monterrey,I,2013-04-01,,Hard,,,32,,,LS021,2013-04-01,R32,Yanina Wickmayer,Valeria Savinykh,BEL,RUS,6.0,,4-6,6-1,6-4,,312536,315428,W-INT-MEX-02A-2013,2013,Yanina Wickmayer,Valeria Savinykh,BEL,RUS,6.0,,,Yanina Wickmayer,Valeria Savinykh,3,"4-6,6-1,6-4",,2013-04-01,,Monterrey,,,,,312536,,315428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-MEX-02A-2013,2013,Monterrey,I,2013-04-01,,Hard,,,32,,,LS020,2013-04-01,R32,Monica Niculescu,Kimiko Date Krumm,ROU,JPN,,,6-2,2-1,,,310775,,W-INT-MEX-02A-2013,2013,Monica Niculescu,Kimiko Date Krumm,ROU,JPN,,,,Monica Niculescu,Kimiko Date Krumm,2,"6-2,2-1",,2013-04-01,,Monterrey,,,,,310775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
