tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-INT-NED-01A-2013,2013,'s Hertogenbosch,I,2013-06-17,,Grass,,,32,,,LS017,2013-06-17,R32,Roberta Vinci,Kaia Kanepi,ITA,EST,1.0,,6-3,6-3,,,220214,110536,W-INT-NED-01A-2013,2013,Roberta Vinci,Kaia Kanepi,ITA,EST,1.0,,,Roberta Vinci,Kaia Kanepi,2,"6-3,6-3",,2013-06-17,,'s Hertogenbosch,,,,,220214,,110536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-NED-01A-2013,2013,'s Hertogenbosch,I,2013-06-17,,Grass,,,32,,,LS016,2013-06-17,R32,Simona Halep,Annika Beck,ROU,GER,,,6-1,2-6,6-3,,314320,316979,W-INT-NED-01A-2013,2013,Simona Halep,Annika Beck,ROU,GER,,,,Simona Halep,Annika Beck,3,"6-1,2-6,6-3",,2013-06-17,,'s Hertogenbosch,,,,,314320,,316979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-NED-01A-2013,2013,'s Hertogenbosch,I,2013-06-17,,Grass,,,32,,,LS019,2013-06-17,R32,Stefanie Voegele,Yulia Putintseva,SUI,KAZ,,,7-5,4-6,7-5,,312336,317683,W-INT-NED-01A-2013,2013,Stefanie Voegele,Yulia Putintseva,SUI,KAZ,,,,Stefanie Voegele,Yulia Putintseva,3,"7-5,4-6,7-5",,2013-06-17,,'s Hertogenbosch,,,,,312336,,317683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-NED-01A-2013,2013,'s Hertogenbosch,I,2013-06-17,,Grass,,,32,,,LS018,2013-06-17,R32,Lesia Tsurenko,Daniela Hantuchova,UKR,SVK,,,5-0,,,,315295,80394,W-INT-NED-01A-2013,2013,Lesia Tsurenko,Daniela Hantuchova,UKR,SVK,,,LL,Lesia Tsurenko,Daniela Hantuchova,1,5-0,,2013-06-17,,'s Hertogenbosch,,,,,315295,,80394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-NED-01A-2013,2013,'s Hertogenbosch,I,2013-06-17,,Grass,,,32,,,LS020,2013-06-17,R32,Carla Suarez Navarro,Johanna Larsson,ESP,SWE,3.0,,6-3,6-2,,,311338,311593,W-INT-NED-01A-2013,2013,Carla Suarez Navarro,Johanna Larsson,ESP,SWE,3.0,,,Carla Suarez Navarro,Johanna Larsson,2,"6-3,6-2",,2013-06-17,,'s Hertogenbosch,,,,,311338,,311593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-NED-01A-2013,2013,'s Hertogenbosch,I,2013-06-17,,Grass,,,32,,,LS021,2013-06-17,R32,Sofia Arvidsson,Ayumi Morita,SWE,JPN,,,3-6,6-2,6-4,,10334,312848,W-INT-NED-01A-2013,2013,Sofia Arvidsson,Ayumi Morita,SWE,JPN,,,,Sofia Arvidsson,Ayumi Morita,3,"3-6,6-2,6-4",,2013-06-17,,'s Hertogenbosch,,,,,10334,,312848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-NED-01A-2013,2013,'s Hertogenbosch,I,2013-06-17,,Grass,,,32,,,LS023,2013-06-17,R32,Irina Camelia Begu,An Sophie Mestach,ROU,BEL,,,6-7(6),6-3,6-4,,313169,316512,W-INT-NED-01A-2013,2013,Irina Camelia Begu,An Sophie Mestach,ROU,BEL,,,,Irina Camelia Begu,An Sophie Mestach,3,"6-7(6),6-3,6-4",,2013-06-17,,'s Hertogenbosch,,,,,313169,,316512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-NED-01A-2013,2013,'s Hertogenbosch,I,2013-06-17,,Grass,,,32,,,LS022,2013-06-17,R32,Tsvetana Pironkova,Kristina Mladenovic,BUL,FRA,,8.0,6-4,6-4,,,311041,315616,W-INT-NED-01A-2013,2013,Tsvetana Pironkova,Kristina Mladenovic,BUL,FRA,,8.0,,Tsvetana Pironkova,Kristina Mladenovic,2,"6-4,6-4",,2013-06-17,,'s Hertogenbosch,,,,,311041,,315616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-NED-01A-2013,2013,'s Hertogenbosch,I,2013-06-17,,Grass,,,32,,,LS026,2013-06-17,R32,Urszula Radwanska,Olga Govortsova,POL,BLR,7.0,,6-2,6-0,,,313131,311243,W-INT-NED-01A-2013,2013,Urszula Radwanska,Olga Govortsova,POL,BLR,7.0,,,Urszula Radwanska,Olga Govortsova,2,"6-2,6-0",,2013-06-17,,'s Hertogenbosch,,,,,313131,,311243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-NED-01A-2013,2013,'s Hertogenbosch,I,2013-06-17,,Grass,,,32,,,LS027,2013-06-17,R32,Magdalena Rybarikova,Arantxa Rus,SVK,NED,,,7-5,6-2,,,312580,313349,W-INT-NED-01A-2013,2013,Magdalena Rybarikova,Arantxa Rus,SVK,NED,,,,Magdalena Rybarikova,Arantxa Rus,2,"7-5,6-2",,2013-06-17,,'s Hertogenbosch,,,,,312580,,313349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
