tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-INT-POL-01A-2014,2014,Katowice,I,2014-04-07,,Hard,,,32,,,LS020,2014-04-07,R32,Agnieszka Radwanska,Kristyna Pliskova,POL,CZE,1.0,,6-3,6-2,,,312251,313975,W-INT-POL-01A-2014,2014,Agnieszka Radwanska,Kristyna Pliskova,POL,CZE,1.0,,,Agnieszka Radwanska,Kristyna Pliskova,2,"6-3,6-2",,2014-04-07,,Katowice,,,,,312251,,313975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-POL-01A-2014,2014,Katowice,I,2014-04-07,,Hard,,,32,,,LS021,2014-04-07,R32,Francesca Schiavone,Vera Dushevina,ITA,RUS,,,6-0,6-2,,,190666,310625,W-INT-POL-01A-2014,2014,Francesca Schiavone,Vera Dushevina,ITA,RUS,,,,Francesca Schiavone,Vera Dushevina,2,"6-0,6-2",,2014-04-07,,Katowice,,,,,190666,,310625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-POL-01A-2014,2014,Katowice,I,2014-04-07,,Hard,,,32,,,LS023,2014-04-07,R32,Mirjana Lucic,Jovana Jaksic,CRO,SRB,,,6-3,6-4,,,,,W-INT-POL-01A-2014,2014,Mirjana Lucic,Jovana Jaksic,CRO,SRB,,,,Mirjana Lucic,Jovana Jaksic,2,"6-3,6-4",,2014-04-07,,Katowice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-POL-01A-2014,2014,Katowice,I,2014-04-07,,Hard,,,32,,,LS022,2014-04-07,R32,Yvonne Meusburger,Magdalena Frech,AUT,POL,6.0,,6-3,6-1,,,130698,320277,W-INT-POL-01A-2014,2014,Yvonne Meusburger,Magdalena Frech,AUT,POL,6.0,,,Yvonne Meusburger,Magdalena Frech,2,"6-3,6-1",,2014-04-07,,Katowice,,,,,130698,,320277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-POL-01A-2014,2014,Katowice,I,2014-04-07,,Hard,,,32,,,LS016,2014-04-07,R32,Alize Cornet,Vesna Dolonc,FRA,SRB,4.0,,6-3,6-2,,,312121,313653,W-INT-POL-01A-2014,2014,Alize Cornet,Vesna Dolonc,FRA,SRB,4.0,,WC,Alize Cornet,Vesna Dolonc,2,"6-3,6-2",,2014-04-07,,Katowice,,,,,312121,,313653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-POL-01A-2014,2014,Katowice,I,2014-04-07,,Hard,,,32,,,LS017,2014-04-07,R32,Kristina Kucova,Monica Niculescu,SVK,ROU,,,6-1,6-1,,,312673,310775,W-INT-POL-01A-2014,2014,Kristina Kucova,Monica Niculescu,SVK,ROU,,,Q,Kristina Kucova,Monica Niculescu,2,"6-1,6-1",,2014-04-07,,Katowice,,,,,312673,,310775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-POL-01A-2014,2014,Katowice,I,2014-04-07,,Hard,,,32,,,LS019,2014-04-07,R32,Annika Beck,Mona Barthel,GER,GER,,,6-1,6-4,,,316979,315365,W-INT-POL-01A-2014,2014,Annika Beck,Mona Barthel,GER,GER,,,,Annika Beck,Mona Barthel,2,"6-1,6-4",,2014-04-07,,Katowice,,,,,316979,,315365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-POL-01A-2014,2014,Katowice,I,2014-04-07,,Hard,,,32,,,LS018,2014-04-07,R32,Klara Koukalova,Magda Linette,CZE,POL,5.0,,6-4,6-3,,,110492,315130,W-INT-POL-01A-2014,2014,Klara Koukalova,Magda Linette,CZE,POL,5.0,,,Klara Koukalova,Magda Linette,2,"6-4,6-3",,2014-04-07,,Katowice,,,,,110492,,315130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-POL-01A-2014,2014,Katowice,I,2014-04-07,,Hard,,,32,,,LS030,2014-04-07,R32,Magdalena Rybarikova,Claire Feuerstein,SVK,FRA,7.0,,6-2,7-5,,,312580,310981,W-INT-POL-01A-2014,2014,Magdalena Rybarikova,Claire Feuerstein,SVK,FRA,7.0,,,Magdalena Rybarikova,Claire Feuerstein,2,"6-2,7-5",,2014-04-07,,Katowice,,,,,312580,,310981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-POL-01A-2014,2014,Katowice,I,2014-04-07,,Hard,,,32,,,LS031,2014-04-07,R32,Silvia Soler Espinosa,Misaki Doi,ESP,JPN,,,6-1,7-5,,,311493,314237,W-INT-POL-01A-2014,2014,Silvia Soler Espinosa,Misaki Doi,ESP,JPN,,,,Silvia Soler Espinosa,Misaki Doi,2,"6-1,7-5",,2014-04-07,,Katowice,,,,,311493,,314237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
