tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-INT-THA-01A-2011,2011,Pattaya,I,2011-02-07,,Hard,,,32,,,LS020,2011-02-07,R32,Vera Zvonareva,Tamira Paszek,RUS,AUT,1.0,,6-4,6-2,,,260142,313035,W-INT-THA-01A-2011,2011,Vera Zvonareva,Tamira Paszek,RUS,AUT,1.0,,,Vera Zvonareva,Tamira Paszek,2,"6-4,6-2",,2011-02-07,,Pattaya,,,,,260142,,313035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-THA-01A-2011,2011,Pattaya,I,2011-02-07,,Hard,,,32,,,LS021,2011-02-07,R32,Nungnadda Wannasuk,Zarina Diyas,THA,KAZ,,,6-4,6-4,,,312859,315696,W-INT-THA-01A-2011,2011,Nungnadda Wannasuk,Zarina Diyas,THA,KAZ,,,Q,Nungnadda Wannasuk,Zarina Diyas,2,"6-4,6-4",,2011-02-07,,Pattaya,,,,,312859,,315696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-THA-01A-2011,2011,Pattaya,I,2011-02-07,,Hard,,,32,,,LS023,2011-02-07,R32,Elena Baltacha,Nicha Lertpitaksinchai,GBR,THA,,,6-2,6-3,,,20556,314450,W-INT-THA-01A-2011,2011,Elena Baltacha,Nicha Lertpitaksinchai,GBR,THA,,,,Elena Baltacha,Nicha Lertpitaksinchai,2,"6-2,6-3",,2011-02-07,,Pattaya,,,,,20556,,314450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-THA-01A-2011,2011,Pattaya,I,2011-02-07,,Hard,,,32,,,LS022,2011-02-07,R32,Shuai Peng,Yung Jan Chan,CHN,TPE,6.0,,7-6(8),6-0,,,160471,,W-INT-THA-01A-2011,2011,Shuai Peng,Yung Jan Chan,CHN,TPE,6.0,,,Shuai Peng,Yung Jan Chan,2,"7-6(8),6-0",,2011-02-07,,Pattaya,,,,,160471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-THA-01A-2011,2011,Pattaya,I,2011-02-07,,Hard,,,32,,,LS016,2011-02-07,R32,Daniela Hantuchova,Kurumi Nara,SVK,JPN,4.0,,6-2,6-1,,,80394,314344,W-INT-THA-01A-2011,2011,Daniela Hantuchova,Kurumi Nara,SVK,JPN,4.0,,,Daniela Hantuchova,Kurumi Nara,2,"6-2,6-1",,2011-02-07,,Pattaya,,,,,80394,,314344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-THA-01A-2011,2011,Pattaya,I,2011-02-07,,Hard,,,32,,,LS017,2011-02-07,R32,Kimiko Date Krumm,Renata Voracova,JPN,CZE,,,6-2,6-2,,,,220277,W-INT-THA-01A-2011,2011,Kimiko Date Krumm,Renata Voracova,JPN,CZE,,,,Kimiko Date Krumm,Renata Voracova,2,"6-2,6-2",,2011-02-07,,Pattaya,,,,,,,220277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-THA-01A-2011,2011,Pattaya,I,2011-02-07,,Hard,,,32,,,LS019,2011-02-07,R32,Chanelle Scheepers,Tatjana Maria,RSA,GER,,,7-6(4),6-2,,,190873,310440,W-INT-THA-01A-2011,2011,Chanelle Scheepers,Tatjana Maria,RSA,GER,,,,Chanelle Scheepers,Tatjana Maria,2,"7-6(4),6-2",,2011-02-07,,Pattaya,,,,,190873,,310440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-THA-01A-2011,2011,Pattaya,I,2011-02-07,,Hard,,,32,,,LS018,2011-02-07,R32,Akgul Amanmuradova,Jie Zheng,UZB,CHN,,7.0,6-4,7-6(6),,,10362,260144,W-INT-THA-01A-2011,2011,Akgul Amanmuradova,Jie Zheng,UZB,CHN,,7.0,,Akgul Amanmuradova,Jie Zheng,2,"6-4,7-6(6)",,2011-02-07,,Pattaya,,,,,10362,,260144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-THA-01A-2011,2011,Pattaya,I,2011-02-07,,Hard,,,32,,,LS024,2011-02-07,R32,Sara Errani,Kai Chen Chang,ITA,TPE,8.0,,4-6,6-2,6-4,,310761,313923,W-INT-THA-01A-2011,2011,Sara Errani,Kai Chen Chang,ITA,TPE,8.0,,,Sara Errani,Kai Chen Chang,3,"4-6,6-2,6-4",,2011-02-07,,Pattaya,,,,,310761,,313923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-THA-01A-2011,2011,Pattaya,I,2011-02-07,,Hard,,,32,,,LS025,2011-02-07,R32,Ayumi Morita,Tamarine Tanasugarn,JPN,THA,,,6-3,6-2,,,312848,200137,W-INT-THA-01A-2011,2011,Ayumi Morita,Tamarine Tanasugarn,JPN,THA,,,,Ayumi Morita,Tamarine Tanasugarn,2,"6-3,6-2",,2011-02-07,,Pattaya,,,,,312848,,200137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
