tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-PM-CHN-01A-2012,2012,Beijing,PM,2012-10-01,,Hard,,,60,,,LS032,2012-10-01,R64,Victoria Azarenka,Alize Cornet,BLR,FRA,1.0,,6-1,6-0,,,312001,312121,W-PM-CHN-01A-2012,2012,Victoria Azarenka,Alize Cornet,BLR,FRA,1.0,,,Victoria Azarenka,Alize Cornet,2,"6-1,6-0",,2012-10-01,,Beijing,,,,,312001,,312121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-CHN-01A-2012,2012,Beijing,PM,2012-10-01,,Hard,,,60,,,LS033,2012-10-01,R64,Sabine Lisicki,Anabel Medina Garrigues,GER,ESP,,,6-3,5-7,6-2,,312520,130611,W-PM-CHN-01A-2012,2012,Sabine Lisicki,Anabel Medina Garrigues,GER,ESP,,,,Sabine Lisicki,Anabel Medina Garrigues,3,"6-3,5-7,6-2",,2012-10-01,,Beijing,,,,,312520,,130611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-CHN-01A-2012,2012,Beijing,PM,2012-10-01,,Hard,,,60,,,LS034,2012-10-01,R64,Elena Vesnina,Mona Barthel,RUS,GER,,,6-1,6-1,,,311220,315365,W-PM-CHN-01A-2012,2012,Elena Vesnina,Mona Barthel,RUS,GER,,,Q,Elena Vesnina,Mona Barthel,2,"6-1,6-1",,2012-10-01,,Beijing,,,,,311220,,315365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,14,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-CHN-01A-2012,2012,Beijing,PM,2012-10-01,,Hard,,,60,,,LS035,2012-10-01,R64,Tamira Paszek,Olga Govortsova,AUT,BLR,,,7-5,0-6,7-6(6),,313035,311243,W-PM-CHN-01A-2012,2012,Tamira Paszek,Olga Govortsova,AUT,BLR,,,,Tamira Paszek,Olga Govortsova,3,"7-5,0-6,7-6(6)",,2012-10-01,,Beijing,,,,,313035,,311243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-CHN-01A-2012,2012,Beijing,PM,2012-10-01,,Hard,,,60,,,LS038,2012-10-01,R64,Ana Ivanovic,Christina Mchale,SRB,USA,11.0,,6-3,6-2,,,311710,314917,W-PM-CHN-01A-2012,2012,Ana Ivanovic,Christina Mchale,SRB,USA,11.0,,,Ana Ivanovic,Christina Mchale,2,"6-3,6-2",,2012-10-01,,Beijing,,,,,311710,,314917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-CHN-01A-2012,2012,Beijing,PM,2012-10-01,,Hard,,,60,,,LS039,2012-10-01,R64,Varvara Lepchenko,Tsvetana Pironkova,USA,BUL,,,7-5,6-4,,,120420,311041,W-PM-CHN-01A-2012,2012,Varvara Lepchenko,Tsvetana Pironkova,USA,BUL,,,,Varvara Lepchenko,Tsvetana Pironkova,2,"7-5,6-4",,2012-10-01,,Beijing,,,,,120420,,311041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-CHN-01A-2012,2012,Beijing,PM,2012-10-01,,Hard,,,60,,,LS036,2012-10-01,R64,Romina Oprandi,Urszula Radwanska,SUI,POL,,,7-5,6-2,,,150185,313131,W-PM-CHN-01A-2012,2012,Romina Oprandi,Urszula Radwanska,SUI,POL,,,,Romina Oprandi,Urszula Radwanska,2,"7-5,6-2",,2012-10-01,,Beijing,,,,,150185,,313131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-CHN-01A-2012,2012,Beijing,PM,2012-10-01,,Hard,,,60,,,LS037,2012-10-01,R64,Camila Giorgi,Sara Errani,ITA,ITA,,6.0,5-4,,,,314610,310761,W-PM-CHN-01A-2012,2012,Camila Giorgi,Sara Errani,ITA,ITA,,6.0,Q,Camila Giorgi,Sara Errani,1,5-4,,2012-10-01,,Beijing,,,,,314610,,310761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-CHN-01A-2012,2012,Beijing,PM,2012-10-01,,Hard,,,60,,,LS045,2012-10-01,R64,Petra Kvitova,Daniela Hantuchova,CZE,SVK,4.0,,6-2,6-3,,,314206,80394,W-PM-CHN-01A-2012,2012,Petra Kvitova,Daniela Hantuchova,CZE,SVK,4.0,,,Petra Kvitova,Daniela Hantuchova,2,"6-2,6-3",,2012-10-01,,Beijing,,,,,314206,,80394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-CHN-01A-2012,2012,Beijing,PM,2012-10-01,,Hard,,,60,,,LS044,2012-10-01,R64,Carla Suarez Navarro,Timea Bacsinszky,ESP,SUI,,,6-4,6-1,,,311338,311579,W-PM-CHN-01A-2012,2012,Carla Suarez Navarro,Timea Bacsinszky,ESP,SUI,,,,Carla Suarez Navarro,Timea Bacsinszky,2,"6-4,6-1",,2012-10-01,,Beijing,,,,,311338,,311579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
