tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-PM-ESP-01A-2009,2009,Madrid,PM,2009-05-11,,Clay,,,60,,,LS033,2009-05-11,R64,Na Li,Carla Suarez Navarro,CHN,ESP,,,5-7,6-1,7-5,,120330,311338,W-PM-ESP-01A-2009,2009,Na Li,Carla Suarez Navarro,CHN,ESP,,,,Na Li,Carla Suarez Navarro,3,"5-7,6-1,7-5",,2009-05-11,,Madrid,,,,,120330,,311338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-ESP-01A-2009,2009,Madrid,PM,2009-05-11,,Clay,,,60,,,LS035,2009-05-11,R64,Anne Keothavong,Mariana Duque Marino,GBR,COL,,,6-3,7-6(4),,,110524,312572,W-PM-ESP-01A-2009,2009,Anne Keothavong,Mariana Duque Marino,GBR,COL,,,,Anne Keothavong,Mariana Duque Marino,2,"6-3,7-6(4)",,2009-05-11,,Madrid,,,,,110524,,312572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-ESP-01A-2009,2009,Madrid,PM,2009-05-11,,Clay,,,60,,,LS034,2009-05-11,R64,Lucie Safarova,Kaia Kanepi,CZE,EST,,16.0,6-2,2-3,,,310553,110536,W-PM-ESP-01A-2009,2009,Lucie Safarova,Kaia Kanepi,CZE,EST,,16.0,,Lucie Safarova,Kaia Kanepi,2,"6-2,2-3",,2009-05-11,,Madrid,,,,,310553,,110536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-ESP-01A-2009,2009,Madrid,PM,2009-05-11,,Clay,,,60,,,LS039,2009-05-11,R64,Samantha Stosur,Agnieszka Radwanska,AUS,POL,,10.0,7-6(4),6-1,,,190787,312251,W-PM-ESP-01A-2009,2009,Samantha Stosur,Agnieszka Radwanska,AUS,POL,,10.0,,Samantha Stosur,Agnieszka Radwanska,2,"7-6(4),6-1",,2009-05-11,,Madrid,,,,,190787,,312251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-ESP-01A-2009,2009,Madrid,PM,2009-05-11,,Clay,,,60,,,LS038,2009-05-11,R64,Anna Chakvetadze,Virginia Ruano Pascual,RUS,ESP,,,6-4,6-3,,,310623,180160,W-PM-ESP-01A-2009,2009,Anna Chakvetadze,Virginia Ruano Pascual,RUS,ESP,,,,Anna Chakvetadze,Virginia Ruano Pascual,2,"6-4,6-3",,2009-05-11,,Madrid,,,,,310623,,180160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-ESP-01A-2009,2009,Madrid,PM,2009-05-11,,Clay,,,60,,,LS036,2009-05-11,R64,Alona Bondarenko,Sorana Cirstea,UKR,ROU,,,6-2,6-2,,,20608,312469,W-PM-ESP-01A-2009,2009,Alona Bondarenko,Sorana Cirstea,UKR,ROU,,,,Alona Bondarenko,Sorana Cirstea,2,"6-2,6-2",,2009-05-11,,Madrid,,,,,20608,,312469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-ESP-01A-2009,2009,Madrid,PM,2009-05-11,,Clay,,,60,,,LS044,2009-05-11,R64,Jelena Jankovic,Nuria Llagostera Vives,SRB,ESP,4.0,,6-2,6-1,,,100153,120317,W-PM-ESP-01A-2009,2009,Jelena Jankovic,Nuria Llagostera Vives,SRB,ESP,4.0,,,Jelena Jankovic,Nuria Llagostera Vives,2,"6-2,6-1",,2009-05-11,,Madrid,,,,,100153,,120317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-ESP-01A-2009,2009,Madrid,PM,2009-05-11,,Clay,,,60,,,LS045,2009-05-11,R64,Daniela Hantuchova,Gisela Dulko,SVK,ARG,,,7-6(7),6-1,,,80394,40388,W-PM-ESP-01A-2009,2009,Daniela Hantuchova,Gisela Dulko,SVK,ARG,,,,Daniela Hantuchova,Gisela Dulko,2,"7-6(7),6-1",,2009-05-11,,Madrid,,,,,80394,,40388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-ESP-01A-2009,2009,Madrid,PM,2009-05-11,,Clay,,,60,,,LS047,2009-05-11,R64,Virginie Razzano,Tamarine Tanasugarn,FRA,THA,,,6-0,4-6,6-3,,180384,200137,W-PM-ESP-01A-2009,2009,Virginie Razzano,Tamarine Tanasugarn,FRA,THA,,,,Virginie Razzano,Tamarine Tanasugarn,3,"6-0,4-6,6-3",,2009-05-11,,Madrid,,,,,180384,,200137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-ESP-01A-2009,2009,Madrid,PM,2009-05-11,,Clay,,,60,,,LS046,2009-05-11,R64,Elena Vesnina,Alize Cornet,RUS,FRA,,13.0,7-5,6-1,,,311220,312121,W-PM-ESP-01A-2009,2009,Elena Vesnina,Alize Cornet,RUS,FRA,,13.0,Q,Elena Vesnina,Alize Cornet,2,"7-5,6-1",,2009-05-11,,Madrid,,,,,311220,,312121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
