tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-PM-USA-01A-2012,2012,Indian Wells,PM,2012-03-05,,Hard,,,96,,,LS065,2012-03-05,R128,Mona Barthel,Jill Craybas,GER,USA,,,6-1,6-2,,,315365,30294,W-PM-USA-01A-2012,2012,Mona Barthel,Jill Craybas,GER,USA,,,,Mona Barthel,Jill Craybas,2,"6-1,6-2",,2012-03-05,,Indian Wells,,,,,315365,,30294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-USA-01A-2012,2012,Indian Wells,PM,2012-03-05,,Hard,,,96,,,LS067,2012-03-05,R128,Timea Bacsinszky,Anne Keothavong,SUI,GBR,,,6-4,2-6,7-5,,311579,110524,W-PM-USA-01A-2012,2012,Timea Bacsinszky,Anne Keothavong,SUI,GBR,,,,Timea Bacsinszky,Anne Keothavong,3,"6-4,2-6,7-5",,2012-03-05,,Indian Wells,,,,,311579,,110524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-USA-01A-2012,2012,Indian Wells,PM,2012-03-05,,Hard,,,96,,,LS071,2012-03-05,R128,Sania Mirza,Kristina Barrois,IND,GER,,,4-6,6-2,6-4,,310112,312578,W-PM-USA-01A-2012,2012,Sania Mirza,Kristina Barrois,IND,GER,,,WC,Sania Mirza,Kristina Barrois,3,"4-6,6-2,6-4",,2012-03-05,,Indian Wells,,,,,310112,,312578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-USA-01A-2012,2012,Indian Wells,PM,2012-03-05,,Hard,,,96,,,LS069,2012-03-05,R128,Elena Baltacha,Arantxa Rus,GBR,NED,,,3-6,6-4,6-3,,20556,313349,W-PM-USA-01A-2012,2012,Elena Baltacha,Arantxa Rus,GBR,NED,,,,Elena Baltacha,Arantxa Rus,3,"3-6,6-4,6-3",,2012-03-05,,Indian Wells,,,,,20556,,313349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-USA-01A-2012,2012,Indian Wells,PM,2012-03-05,,Hard,,,96,,,LS076,2012-03-05,R128,Jamie Hampton,Polona Hercog,USA,SLO,,,6-0,6-1,,,312711,313968,W-PM-USA-01A-2012,2012,Jamie Hampton,Polona Hercog,USA,SLO,,,WC,Jamie Hampton,Polona Hercog,2,"6-0,6-1",,2012-03-05,,Indian Wells,,,,,312711,,313968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-USA-01A-2012,2012,Indian Wells,PM,2012-03-05,,Hard,,,96,,,LS078,2012-03-05,R128,Jarmila Gajdosova,Coco Vandeweghe,AUS,USA,,,4-6,6-3,6-3,,,314464,W-PM-USA-01A-2012,2012,Jarmila Gajdosova,Coco Vandeweghe,AUS,USA,,,,Jarmila Gajdosova,Coco Vandeweghe,3,"4-6,6-3,6-3",,2012-03-05,,Indian Wells,,,,,,,314464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-USA-01A-2012,2012,Indian Wells,PM,2012-03-05,,Hard,,,96,,,LS075,2012-03-05,R128,Carla Suarez Navarro,Tsvetana Pironkova,ESP,BUL,,,6-4,6-2,,,311338,311041,W-PM-USA-01A-2012,2012,Carla Suarez Navarro,Tsvetana Pironkova,ESP,BUL,,,,Carla Suarez Navarro,Tsvetana Pironkova,2,"6-4,6-2",,2012-03-05,,Indian Wells,,,,,311338,,311041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-USA-01A-2012,2012,Indian Wells,PM,2012-03-05,,Hard,,,96,,,LS073,2012-03-05,R128,Sorana Cirstea,Iveta Benesova,ROU,CZE,,,4-6,7-5,7-6(5),,312469,,W-PM-USA-01A-2012,2012,Sorana Cirstea,Iveta Benesova,ROU,CZE,,,,Sorana Cirstea,Iveta Benesova,3,"4-6,7-5,7-6(5)",,2012-03-05,,Indian Wells,,,,,312469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-USA-01A-2012,2012,Indian Wells,PM,2012-03-05,,Hard,,,96,,,LS087,2012-03-05,R128,Barbora Strycova,Ayumi Morita,CZE,JPN,,,2-6,6-1,6-4,,190879,312848,W-PM-USA-01A-2012,2012,Barbora Strycova,Ayumi Morita,CZE,JPN,,,,Barbora Strycova,Ayumi Morita,3,"2-6,6-1,6-4",,2012-03-05,,Indian Wells,,,,,190879,,312848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-USA-01A-2012,2012,Indian Wells,PM,2012-03-05,,Hard,,,96,,,LS085,2012-03-05,R128,Elena Vesnina,Casey Dellacqua,RUS,AUS,,,6-4,7-5,,,311220,310730,W-PM-USA-01A-2012,2012,Elena Vesnina,Casey Dellacqua,RUS,AUS,,,,Elena Vesnina,Casey Dellacqua,2,"6-4,7-5",,2012-03-05,,Indian Wells,,,,,311220,,310730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PM-USA-01A-2012,2012,Indian Wells,PM,2012-03-05,,Hard,,,96,,,LS081,2012-03-05,R128,Sloane Stephens,Aleksandra Wozniak,USA,CAN,,,4-6,7-5,7-6(7),,315683,310494,W-PM-USA-01A-2012,2012,Sloane Stephens,Aleksandra Wozniak,USA,CAN,,,WC,Sloane Stephens,Aleksandra Wozniak,3,"4-6,7-5,7-6(7)",,2012-03-05,,Indian Wells,,,,,315683,,310494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,7,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
