tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-PR-BEL-01A-2011,2011,Brussels,P,2011-05-16,,Clay,,,30,,,LS017,2011-05-16,R32,Varvara Lepchenko,An Sophie Mestach,USA,BEL,,,6-3,7-6(3),,,120420,316512,W-PR-BEL-01A-2011,2011,Varvara Lepchenko,An Sophie Mestach,USA,BEL,,,,Varvara Lepchenko,An Sophie Mestach,2,"6-3,7-6(3)",,2011-05-16,,Brussels,,,,,120420,,316512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-BEL-01A-2011,2011,Brussels,P,2011-05-16,,Clay,,,30,,,LS019,2011-05-16,R32,Alison Van Uytvanck,Patty Schnyder,BEL,SUI,,,6-3,2-6,6-2,,317819,190519,W-PR-BEL-01A-2011,2011,Alison Van Uytvanck,Patty Schnyder,BEL,SUI,,,Q,Alison Van Uytvanck,Patty Schnyder,3,"6-3,2-6,6-2",,2011-05-16,,Brussels,,,,,317819,,190519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-BEL-01A-2011,2011,Brussels,P,2011-05-16,,Clay,,,30,,,LS018,2011-05-16,R32,Yanina Wickmayer,Kaia Kanepi,BEL,EST,6.0,,6-1,4-6,7-5,,312536,110536,W-PR-BEL-01A-2011,2011,Yanina Wickmayer,Kaia Kanepi,BEL,EST,6.0,,,Yanina Wickmayer,Kaia Kanepi,3,"6-1,4-6,7-5",,2011-05-16,,Brussels,,,,,312536,,110536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-BEL-01A-2011,2011,Brussels,P,2011-05-16,,Clay,,,30,,,LS020,2011-05-16,R32,Francesca Schiavone,Tsvetana Pironkova,ITA,BUL,3.0,,6-2,7-5,,,190666,311041,W-PR-BEL-01A-2011,2011,Francesca Schiavone,Tsvetana Pironkova,ITA,BUL,3.0,,,Francesca Schiavone,Tsvetana Pironkova,2,"6-2,7-5",,2011-05-16,,Brussels,,,,,190666,,311041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-BEL-01A-2011,2011,Brussels,P,2011-05-16,,Clay,,,30,,,LS021,2011-05-16,R32,Irina Falconi,Zuzana Ondraskova,USA,CZE,,,7-5,6-3,,,,150017,W-PR-BEL-01A-2011,2011,Irina Falconi,Zuzana Ondraskova,USA,CZE,,,LL,Irina Falconi,Zuzana Ondraskova,2,"7-5,6-3",,2011-05-16,,Brussels,,,,,,,150017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-BEL-01A-2011,2011,Brussels,P,2011-05-16,,Clay,,,30,,,LS022,2011-05-16,R32,Ayumi Morita,Jie Zheng,JPN,CHN,,,6-4,4-6,6-1,,312848,260144,W-PR-BEL-01A-2011,2011,Ayumi Morita,Jie Zheng,JPN,CHN,,,,Ayumi Morita,Jie Zheng,3,"6-4,4-6,6-1",,2011-05-16,,Brussels,,,,,312848,,260144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-BEL-01A-2011,2011,Brussels,P,2011-05-16,,Clay,,,30,,,LS023,2011-05-16,R32,Casey Dellacqua,Shahar Peer,AUS,ISR,,5.0,6-1,5-7,6-3,,310730,311168,W-PR-BEL-01A-2011,2011,Casey Dellacqua,Shahar Peer,AUS,ISR,,5.0,,Casey Dellacqua,Shahar Peer,3,"6-1,5-7,6-3",,2011-05-16,,Brussels,,,,,310730,,311168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-BEL-01A-2011,2011,Brussels,P,2011-05-16,,Clay,,,30,,,LS024,2011-05-16,R32,Shuai Peng,Kirsten Flipkens,CHN,BEL,8.0,,6-0,1-6,6-3,,160471,310331,W-PR-BEL-01A-2011,2011,Shuai Peng,Kirsten Flipkens,CHN,BEL,8.0,,,Shuai Peng,Kirsten Flipkens,3,"6-0,1-6,6-3",,2011-05-16,,Brussels,,,,,160471,,310331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-BEL-01A-2011,2011,Brussels,P,2011-05-16,,Clay,,,30,,,LS025,2011-05-16,R32,Abigail Spears,Chanelle Scheepers,USA,RSA,,,6-3,6-1,,,190771,190873,W-PR-BEL-01A-2011,2011,Abigail Spears,Chanelle Scheepers,USA,RSA,,,Q,Abigail Spears,Chanelle Scheepers,2,"6-3,6-1",,2011-05-16,,Brussels,,,,,190771,,190873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-BEL-01A-2011,2011,Brussels,P,2011-05-16,,Clay,,,30,,,LS026,2011-05-16,R32,Sofia Arvidsson,Coco Vandeweghe,SWE,USA,,,6-3,7-6(4),,,10334,314464,W-PR-BEL-01A-2011,2011,Sofia Arvidsson,Coco Vandeweghe,SWE,USA,,,,Sofia Arvidsson,Coco Vandeweghe,2,"6-3,7-6(4)",,2011-05-16,,Brussels,,,,,10334,,314464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
