tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-PR-FRA-01A-2011,2011,Paris,P,2011-02-07,,Carpet,,,30,,,LS025,2011-02-07,R32,Kristina Barrois,Iveta Benesova,GER,CZE,,,5-7,6-4,6-4,,312578,,W-PR-FRA-01A-2011,2011,Kristina Barrois,Iveta Benesova,GER,CZE,,,,Kristina Barrois,Iveta Benesova,3,"5-7,6-4,6-4",,2011-02-07,,Paris,,,,,312578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-FRA-01A-2011,2011,Paris,P,2011-02-07,,Carpet,,,30,,,LS026,2011-02-07,R32,Jelena Dokic,Lucie Safarova,AUS,CZE,,,4-6,6-3,6-4,,40344,310553,W-PR-FRA-01A-2011,2011,Jelena Dokic,Lucie Safarova,AUS,CZE,,,Q,Jelena Dokic,Lucie Safarova,3,"4-6,6-3,6-4",,2011-02-07,,Paris,,,,,40344,,310553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-FRA-01A-2011,2011,Paris,P,2011-02-07,,Carpet,,,30,,,LS027,2011-02-07,R32,Nadia Petrova,Virginie Razzano,RUS,FRA,5.0,,6-1,6-3,,,160379,180384,W-PR-FRA-01A-2011,2011,Nadia Petrova,Virginie Razzano,RUS,FRA,5.0,,,Nadia Petrova,Virginie Razzano,2,"6-1,6-3",,2011-02-07,,Paris,,,,,160379,,180384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-FRA-01A-2011,2011,Paris,P,2011-02-07,,Carpet,,,30,,,LS028,2011-02-07,R32,Kaia Kanepi,Anastasija Sevastova,EST,LAT,3.0,,7-6(5),6-2,,,110536,313987,W-PR-FRA-01A-2011,2011,Kaia Kanepi,Anastasija Sevastova,EST,LAT,3.0,,,Kaia Kanepi,Anastasija Sevastova,2,"7-6(5),6-2",,2011-02-07,,Paris,,,,,110536,,313987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-FRA-01A-2011,2011,Paris,P,2011-02-07,,Carpet,,,30,,,LS029,2011-02-07,R32,Sofia Arvidsson,Alize Cornet,SWE,FRA,,,6-2,7-6(5),,,10334,312121,W-PR-FRA-01A-2011,2011,Sofia Arvidsson,Alize Cornet,SWE,FRA,,,,Sofia Arvidsson,Alize Cornet,2,"6-2,7-6(5)",,2011-02-07,,Paris,,,,,10334,,312121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-FRA-01A-2011,2011,Paris,P,2011-02-07,,Carpet,,,30,,,LS031,2011-02-07,R32,Melanie Oudin,Vera Dushevina,USA,RUS,,,7-5,5-7,6-2,,313963,310625,W-PR-FRA-01A-2011,2011,Melanie Oudin,Vera Dushevina,USA,RUS,,,,Melanie Oudin,Vera Dushevina,3,"7-5,5-7,6-2",,2011-02-07,,Paris,,,,,313963,,310625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-FRA-01A-2011,2011,Paris,P,2011-02-07,,Carpet,,,30,,,LS030,2011-02-07,R32,Dominika Cibulkova,Ana Vrljic,SVK,CRO,8.0,,6-0,6-2,,,312894,220278,W-PR-FRA-01A-2011,2011,Dominika Cibulkova,Ana Vrljic,SVK,CRO,8.0,,,Dominika Cibulkova,Ana Vrljic,2,"6-0,6-2",,2011-02-07,,Paris,,,,,312894,,220278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-FRA-01A-2011,2011,Paris,P,2011-02-07,,Carpet,,,30,,,LS018,2011-02-07,R32,Yanina Wickmayer,Elena Vesnina,BEL,RUS,7.0,,7-6(1),6-2,,,312536,311220,W-PR-FRA-01A-2011,2011,Yanina Wickmayer,Elena Vesnina,BEL,RUS,7.0,,WC,Yanina Wickmayer,Elena Vesnina,2,"7-6(1),6-2",,2011-02-07,,Paris,,,,,312536,,311220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-FRA-01A-2011,2011,Paris,P,2011-02-07,,Carpet,,,30,,,LS019,2011-02-07,R32,Klara Koukalova,Timea Bacsinszky,CZE,SUI,,,6-3,6-3,,,110492,311579,W-PR-FRA-01A-2011,2011,Klara Koukalova,Timea Bacsinszky,CZE,SUI,,,,Klara Koukalova,Timea Bacsinszky,2,"6-3,6-3",,2011-02-07,,Paris,,,,,110492,,311579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-FRA-01A-2011,2011,Paris,P,2011-02-07,,Carpet,,,30,,,LS017,2011-02-07,R32,Barbora Strycova,Tsvetana Pironkova,CZE,BUL,,,7-6(5),6-3,,,190879,311041,W-PR-FRA-01A-2011,2011,Barbora Strycova,Tsvetana Pironkova,CZE,BUL,,,,Barbora Strycova,Tsvetana Pironkova,2,"7-6(5),6-3",,2011-02-07,,Paris,,,,,190879,,311041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
