tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-PR-GBR-01A-2011,2011,Eastbourne,P,2011-06-13,,Grass,,,32,,,LS022,2011-06-13,R32,Vera Zvonareva,Heather Watson,RUS,GBR,1.0,,6-3,6-3,,,260142,316981,W-PR-GBR-01A-2011,2011,Vera Zvonareva,Heather Watson,RUS,GBR,1.0,,,Vera Zvonareva,Heather Watson,2,"6-3,6-3",,2011-06-13,,Eastbourne,,,,,260142,,316981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-GBR-01A-2011,2011,Eastbourne,P,2011-06-13,,Grass,,,32,,,LS023,2011-06-13,R32,Serena Williams,Tsvetana Pironkova,USA,BUL,,,1-6,6-3,6-4,,230234,311041,W-PR-GBR-01A-2011,2011,Serena Williams,Tsvetana Pironkova,USA,BUL,,,WC,Serena Williams,Tsvetana Pironkova,3,"1-6,6-3,6-4",,2011-06-13,,Eastbourne,,,,,230234,,311041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-GBR-01A-2011,2011,Eastbourne,P,2011-06-13,,Grass,,,32,,,LS021,2011-06-13,R32,Bojana Jovanovski,Anastasia Pavlyuchenkova,SRB,RUS,,,7-6(9),6-4,,,,313796,W-PR-GBR-01A-2011,2011,Bojana Jovanovski,Anastasia Pavlyuchenkova,SRB,RUS,,,Q,Bojana Jovanovski,Anastasia Pavlyuchenkova,2,"7-6(9),6-4",,2011-06-13,,Eastbourne,,,,,,,313796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-GBR-01A-2011,2011,Eastbourne,P,2011-06-13,,Grass,,,32,,,LS020,2011-06-13,R32,Samantha Stosur,Nadia Petrova,AUS,RUS,7.0,,6-1,6-4,,,190787,160379,W-PR-GBR-01A-2011,2011,Samantha Stosur,Nadia Petrova,AUS,RUS,7.0,,,Samantha Stosur,Nadia Petrova,2,"6-1,6-4",,2011-06-13,,Eastbourne,,,,,190787,,160379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-GBR-01A-2011,2011,Eastbourne,P,2011-06-13,,Grass,,,32,,,LS018,2011-06-13,R32,Victoria Azarenka,Shuai Peng,BLR,CHN,3.0,,6-4,7-6(2),,,312001,160471,W-PR-GBR-01A-2011,2011,Victoria Azarenka,Shuai Peng,BLR,CHN,3.0,,,Victoria Azarenka,Shuai Peng,2,"6-4,7-6(2)",,2011-06-13,,Eastbourne,,,,,312001,,160471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-GBR-01A-2011,2011,Eastbourne,P,2011-06-13,,Grass,,,32,,,LS019,2011-06-13,R32,Elena Baltacha,Aravane Rezai,GBR,FRA,,,6-2,6-1,,,20556,311791,W-PR-GBR-01A-2011,2011,Elena Baltacha,Aravane Rezai,GBR,FRA,,,WC,Elena Baltacha,Aravane Rezai,2,"6-2,6-1",,2011-06-13,,Eastbourne,,,,,20556,,311791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-GBR-01A-2011,2011,Eastbourne,P,2011-06-13,,Grass,,,32,,,LS017,2011-06-13,R32,Maria Jose Martinez Sanchez,Shahar Peer,ESP,ISR,,,7-5,6-3,,,130591,311168,W-PR-GBR-01A-2011,2011,Maria Jose Martinez Sanchez,Shahar Peer,ESP,ISR,,,,Maria Jose Martinez Sanchez,Shahar Peer,2,"7-5,6-3",,2011-06-13,,Eastbourne,,,,,130591,,311168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-GBR-01A-2011,2011,Eastbourne,P,2011-06-13,,Grass,,,32,,,LS016,2011-06-13,R32,Marion Bartoli,Lucie Safarova,FRA,CZE,6.0,,6-3,3-6,7-6(7),,20631,310553,W-PR-GBR-01A-2011,2011,Marion Bartoli,Lucie Safarova,FRA,CZE,6.0,,,Marion Bartoli,Lucie Safarova,3,"6-3,3-6,7-6(7)",,2011-06-13,,Eastbourne,,,,,20631,,310553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-GBR-01A-2011,2011,Eastbourne,P,2011-06-13,,Grass,,,32,,,LS024,2011-06-13,R32,Petra Kvitova,Anastasija Sevastova,CZE,LAT,5.0,,5-7,6-1,6-3,,314206,313987,W-PR-GBR-01A-2011,2011,Petra Kvitova,Anastasija Sevastova,CZE,LAT,5.0,,,Petra Kvitova,Anastasija Sevastova,3,"5-7,6-1,6-3",,2011-06-13,,Eastbourne,,,,,314206,,313987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-GBR-01A-2011,2011,Eastbourne,P,2011-06-13,,Grass,,,32,,,LS025,2011-06-13,R32,Kate Makarova,Mirjana Lucic,RUS,CRO,,,6-1,3-6,6-4,,,,W-PR-GBR-01A-2011,2011,Kate Makarova,Mirjana Lucic,RUS,CRO,,,,Kate Makarova,Mirjana Lucic,3,"6-1,3-6,6-4",,2011-06-13,,Eastbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
