tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-PR-QAT-01A-2015,2015,Doha,P,2015-02-23,,Hard,,,28,,,LS023,2015-02-23,R32,Jelena Jankovic,Saisai Zheng,SRB,CHN,,,6-0,6-2,,,100153,316286,W-PR-QAT-01A-2015,2015,Jelena Jankovic,Saisai Zheng,SRB,CHN,,,,Jelena Jankovic,Saisai Zheng,2,"6-0,6-2",,2015-02-23,,Doha,,,,,100153,,316286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-QAT-01A-2015,2015,Doha,P,2015-02-23,,Hard,,,28,,,LS021,2015-02-23,R32,Karolina Pliskova,Stefanie Voegele,CZE,SUI,,,7-6(4),6-4,,,313974,312336,W-PR-QAT-01A-2015,2015,Karolina Pliskova,Stefanie Voegele,CZE,SUI,,,,Karolina Pliskova,Stefanie Voegele,2,"7-6(4),6-4",,2015-02-23,,Doha,,,,,313974,,312336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-QAT-01A-2015,2015,Doha,P,2015-02-23,,Hard,,,28,,,LS020,2015-02-23,R32,Carla Suarez Navarro,Garbine Muguruza,ESP,ESP,9.0,,6-5,,,,311338,316239,W-PR-QAT-01A-2015,2015,Carla Suarez Navarro,Garbine Muguruza,ESP,ESP,9.0,,,Carla Suarez Navarro,Garbine Muguruza,1,6-5,,2015-02-23,,Doha,,,,,311338,,316239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-QAT-01A-2015,2015,Doha,P,2015-02-23,,Hard,,,28,,,LS016,2015-02-23,R32,Lucie Safarova,Samantha Stosur,CZE,AUS,,,7-6(3),6-4,,,310553,190787,W-PR-QAT-01A-2015,2015,Lucie Safarova,Samantha Stosur,CZE,AUS,,,,Lucie Safarova,Samantha Stosur,2,"7-6(3),6-4",,2015-02-23,,Doha,,,,,310553,,190787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-QAT-01A-2015,2015,Doha,P,2015-02-23,,Hard,,,28,,,LS019,2015-02-23,R32,Zarina Diyas,Ons Jabeur,KAZ,TUN,,,6-3,6-2,,,315696,316847,W-PR-QAT-01A-2015,2015,Zarina Diyas,Ons Jabeur,KAZ,TUN,,,,Zarina Diyas,Ons Jabeur,2,"6-3,6-2",,2015-02-23,,Doha,,,,,315696,,316847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-QAT-01A-2015,2015,Doha,P,2015-02-23,,Hard,,,28,,,LS018,2015-02-23,R32,Andrea Petkovic,Kirsten Flipkens,GER,BEL,6.0,,6-7(5),6-3,6-2,,310770,310331,W-PR-QAT-01A-2015,2015,Andrea Petkovic,Kirsten Flipkens,GER,BEL,6.0,,,Andrea Petkovic,Kirsten Flipkens,3,"6-7(5),6-3,6-2",,2015-02-23,,Doha,,,,,310770,,310331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-QAT-01A-2015,2015,Doha,P,2015-02-23,,Hard,,,28,,,LS028,2015-02-23,R32,Venus Williams,Casey Dellacqua,USA,AUS,7.0,,3-6,6-2,6-1,,230220,310730,W-PR-QAT-01A-2015,2015,Venus Williams,Casey Dellacqua,USA,AUS,7.0,,,Venus Williams,Casey Dellacqua,3,"3-6,6-2,6-1",,2015-02-23,,Doha,,,,,230220,,310730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-QAT-01A-2015,2015,Doha,P,2015-02-23,,Hard,,,28,,,LS029,2015-02-23,R32,Barbora Strycova,Sabine Lisicki,CZE,GER,,,7-5,6-4,,,190879,312520,W-PR-QAT-01A-2015,2015,Barbora Strycova,Sabine Lisicki,CZE,GER,,,,Barbora Strycova,Sabine Lisicki,2,"7-5,6-4",,2015-02-23,,Doha,,,,,190879,,312520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-QAT-01A-2015,2015,Doha,P,2015-02-23,,Hard,,,28,,,LS031,2015-02-23,R32,Flavia Pennetta,Svetlana Kuznetsova,ITA,RUS,,,3-6,6-4,6-2,,160391,110552,W-PR-QAT-01A-2015,2015,Flavia Pennetta,Svetlana Kuznetsova,ITA,RUS,,,,Flavia Pennetta,Svetlana Kuznetsova,3,"3-6,6-4,6-2",,2015-02-23,,Doha,,,,,160391,,110552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-QAT-01A-2015,2015,Doha,P,2015-02-23,,Hard,,,28,,,LS024,2015-02-23,R32,Victoria Azarenka,Angelique Kerber,BLR,GER,,8.0,6-0,6-3,,,312001,311470,W-PR-QAT-01A-2015,2015,Victoria Azarenka,Angelique Kerber,BLR,GER,,8.0,WC,Victoria Azarenka,Angelique Kerber,2,"6-0,6-3",,2015-02-23,,Doha,,,,,312001,,311470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
