tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-PR-USA-04A-2013,2013,Carlsbad,P,2013-07-29,,Hard,,,28,,,LS025,2013-07-29,R32,Francesca Schiavone,Flavia Pennetta,ITA,ITA,,,7-6(4),6-7(6),6-4,,190666,160391,W-PR-USA-04A-2013,2013,Francesca Schiavone,Flavia Pennetta,ITA,ITA,,,,Francesca Schiavone,Flavia Pennetta,3,"7-6(4),6-7(6),6-4",,2013-07-29,,Carlsbad,,,,,190666,,160391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-04A-2013,2013,Carlsbad,P,2013-07-29,,Hard,,,28,,,LS026,2013-07-29,R32,Urszula Radwanska,Marina Erakovic,POL,NZL,,,7-6(3),6-4,,,313131,312086,W-PR-USA-04A-2013,2013,Urszula Radwanska,Marina Erakovic,POL,NZL,,,,Urszula Radwanska,Marina Erakovic,2,"7-6(3),6-4",,2013-07-29,,Carlsbad,,,,,313131,,312086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-04A-2013,2013,Carlsbad,P,2013-07-29,,Hard,,,28,,,LS027,2013-07-29,R32,Jelena Jankovic,Mallory Burdette,SRB,USA,6.0,,4-6,6-1,6-4,,100153,314596,W-PR-USA-04A-2013,2013,Jelena Jankovic,Mallory Burdette,SRB,USA,6.0,,,Jelena Jankovic,Mallory Burdette,3,"4-6,6-1,6-4",,2013-07-29,,Carlsbad,,,,,100153,,314596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-04A-2013,2013,Carlsbad,P,2013-07-29,,Hard,,,28,,,LS031,2013-07-29,R32,Bethanie Mattek Sands,Monica Puig,USA,PUR,,,2-6,6-1,6-2,,130713,317755,W-PR-USA-04A-2013,2013,Bethanie Mattek Sands,Monica Puig,USA,PUR,,,,Bethanie Mattek Sands,Monica Puig,3,"2-6,6-1,6-2",,2013-07-29,,Carlsbad,,,,,130713,,317755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-04A-2013,2013,Carlsbad,P,2013-07-29,,Hard,,,28,,,LS029,2013-07-29,R32,Coco Vandeweghe,Allie Kiick,USA,USA,,,6-1,6-2,,,314464,319042,W-PR-USA-04A-2013,2013,Coco Vandeweghe,Allie Kiick,USA,USA,,,Q,Coco Vandeweghe,Allie Kiick,2,"6-1,6-2",,2013-07-29,,Carlsbad,,,,,314464,,319042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-04A-2013,2013,Carlsbad,P,2013-07-29,,Hard,,,28,,,LS028,2013-07-29,R32,Ana Ivanovic,Dominika Cibulkova,SRB,SVK,7.0,,4-6,6-3,6-2,,311710,312894,W-PR-USA-04A-2013,2013,Ana Ivanovic,Dominika Cibulkova,SRB,SVK,7.0,,,Ana Ivanovic,Dominika Cibulkova,3,"4-6,6-3,6-2",,2013-07-29,,Carlsbad,,,,,311710,,312894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-04A-2013,2013,Carlsbad,P,2013-07-29,,Hard,,,28,,,LS021,2013-07-29,R32,Carla Suarez Navarro,Sachie Ishizu,ESP,JPN,8.0,,6-4,6-3,,,311338,315211,W-PR-USA-04A-2013,2013,Carla Suarez Navarro,Sachie Ishizu,ESP,JPN,8.0,,,Carla Suarez Navarro,Sachie Ishizu,2,"6-4,6-3",,2013-07-29,,Carlsbad,,,,,311338,,315211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-04A-2013,2013,Carlsbad,P,2013-07-29,,Hard,,,28,,,LS020,2013-07-29,R32,Virginie Razzano,Svetlana Kuznetsova,FRA,RUS,,,6-2,6-4,,,180384,110552,W-PR-USA-04A-2013,2013,Virginie Razzano,Svetlana Kuznetsova,FRA,RUS,,,WC,Virginie Razzano,Svetlana Kuznetsova,2,"6-2,6-4",,2013-07-29,,Carlsbad,,,,,180384,,110552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-04A-2013,2013,Carlsbad,P,2013-07-29,,Hard,,,28,,,LS023,2013-07-29,R32,Laura Robson,Ayumi Morita,GBR,JPN,,,4-6,7-5,6-2,,316629,312848,W-PR-USA-04A-2013,2013,Laura Robson,Ayumi Morita,GBR,JPN,,,,Laura Robson,Ayumi Morita,3,"4-6,7-5,6-2",,2013-07-29,,Carlsbad,,,,,316629,,312848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-04A-2013,2013,Carlsbad,P,2013-07-29,,Hard,,,28,,,LS016,2013-07-29,R32,Samantha Stosur,Varvara Lepchenko,AUS,USA,5.0,,7-5,6-1,,,190787,120420,W-PR-USA-04A-2013,2013,Samantha Stosur,Varvara Lepchenko,AUS,USA,5.0,,WC,Samantha Stosur,Varvara Lepchenko,2,"7-5,6-1",,2013-07-29,,Carlsbad,,,,,190787,,120420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
