tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-SL-AUS-01A-2003,2003,Australian Open,G,2003-01-13,,Hard,,,128,,,LS064,2003-01-13,R128,Serena Williams,Emilie Loit,USA,FRA,1.0,,3-6,7-6(5),7-5,,230234,120277,W-SL-AUS-01A-2003,2003,Serena Williams,Emilie Loit,USA,FRA,1.0,,,Serena Williams,Emilie Loit,3,"3-6,7-6(5),7-5",,2003-01-13,,Australian Open,,,,,230234,,120277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-AUS-01A-2003,2003,Australian Open,G,2003-01-13,,Hard,,,128,,,LS065,2003-01-13,R128,Els Callens,Martina Sucha,BEL,SVK,,,6-0,6-2,,,30003,190295,W-SL-AUS-01A-2003,2003,Els Callens,Martina Sucha,BEL,SVK,,,,Els Callens,Martina Sucha,2,"6-0,6-2",,2003-01-13,,Australian Open,,,,,30003,,190295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-AUS-01A-2003,2003,Australian Open,G,2003-01-13,,Hard,,,128,,,LS067,2003-01-13,R128,Alina Jidkova,Laura Granville,RUS,USA,,,2-6,6-4,6-0,,260065,70423,W-SL-AUS-01A-2003,2003,Alina Jidkova,Laura Granville,RUS,USA,,,,Alina Jidkova,Laura Granville,3,"2-6,6-4,6-0",,2003-01-13,,Australian Open,,,,,260065,,70423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-AUS-01A-2003,2003,Australian Open,G,2003-01-13,,Hard,,,128,,,LS066,2003-01-13,R128,Tamarine Tanasugarn,Maureen Drake,THA,CAN,26.0,,6-0,6-2,,,200137,40058,W-SL-AUS-01A-2003,2003,Tamarine Tanasugarn,Maureen Drake,THA,CAN,26.0,,,Tamarine Tanasugarn,Maureen Drake,2,"6-0,6-2",,2003-01-13,,Australian Open,,,,,200137,,40058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-AUS-01A-2003,2003,Australian Open,G,2003-01-13,,Hard,,,128,,,LS068,2003-01-13,R128,Eleni Daniilidou,Marissa Irvin,GRE,USA,18.0,,7-6(6),6-3,,,40313,,W-SL-AUS-01A-2003,2003,Eleni Daniilidou,Marissa Irvin,GRE,USA,18.0,,,Eleni Daniilidou,Marissa Irvin,2,"7-6(6),6-3",,2003-01-13,,Australian Open,,,,,40313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-AUS-01A-2003,2003,Australian Open,G,2003-01-13,,Hard,,,128,,,LS069,2003-01-13,R128,Amy Frazier,Conchita Martinez Granados,USA,ESP,,,6-0,6-1,,,60034,130396,W-SL-AUS-01A-2003,2003,Amy Frazier,Conchita Martinez Granados,USA,ESP,,,,Amy Frazier,Conchita Martinez Granados,2,"6-0,6-1",,2003-01-13,,Australian Open,,,,,60034,,130396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-AUS-01A-2003,2003,Australian Open,G,2003-01-13,,Hard,,,128,,,LS071,2003-01-13,R128,Daja Bedanova,Iveta Benesova,CZE,CZE,,,6-3,5-7,6-4,,20522,,W-SL-AUS-01A-2003,2003,Daja Bedanova,Iveta Benesova,CZE,CZE,,,,Daja Bedanova,Iveta Benesova,3,"6-3,5-7,6-4",,2003-01-13,,Australian Open,,,,,20522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-AUS-01A-2003,2003,Australian Open,G,2003-01-13,,Hard,,,128,,,LS070,2003-01-13,R128,Nathalie Dechy,Sarah Taylor,FRA,USA,16.0,,6-2,6-3,,,40254,200276,W-SL-AUS-01A-2003,2003,Nathalie Dechy,Sarah Taylor,FRA,USA,16.0,,,Nathalie Dechy,Sarah Taylor,2,"6-2,6-3",,2003-01-13,,Australian Open,,,,,40254,,200276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-AUS-01A-2003,2003,Australian Open,G,2003-01-13,,Hard,,,128,,,LS078,2003-01-13,R128,Magdalena Maleeva,Marion Bartoli,BUL,FRA,11.0,,6-4,6-1,,,130245,20631,W-SL-AUS-01A-2003,2003,Magdalena Maleeva,Marion Bartoli,BUL,FRA,11.0,,,Magdalena Maleeva,Marion Bartoli,2,"6-4,6-1",,2003-01-13,,Australian Open,,,,,130245,,20631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-AUS-01A-2003,2003,Australian Open,G,2003-01-13,,Hard,,,128,,,LS079,2003-01-13,R128,Yoon Jeong Cho,Eva Dyrberg,KOR,DEN,,,6-3,6-3,,,30419,40293,W-SL-AUS-01A-2003,2003,Yoon Jeong Cho,Eva Dyrberg,KOR,DEN,,,,Yoon Jeong Cho,Eva Dyrberg,2,"6-3,6-3",,2003-01-13,,Australian Open,,,,,30419,,40293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
