tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-SL-FRA-01A-2007,2007,Roland Garros,G,2007-05-28,,Clay,,,128,,,LS064,2007-05-28,R128,Justine Henin,Elena Vesnina,BEL,RUS,1.0,,6-4,6-3,,,80350,311220,W-SL-FRA-01A-2007,2007,Justine Henin,Elena Vesnina,BEL,RUS,1.0,,,Justine Henin,Elena Vesnina,2,"6-4,6-3",,2007-05-28,,Roland Garros,,,,,80350,,311220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2007,2007,Roland Garros,G,2007-05-28,,Clay,,,128,,,LS065,2007-05-28,R128,Tamira Paszek,Aiko Nakamura,AUT,JPN,,,6-4,6-0,,,313035,140219,W-SL-FRA-01A-2007,2007,Tamira Paszek,Aiko Nakamura,AUT,JPN,,,,Tamira Paszek,Aiko Nakamura,2,"6-4,6-0",,2007-05-28,,Roland Garros,,,,,313035,,140219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2007,2007,Roland Garros,G,2007-05-28,,Clay,,,128,,,LS067,2007-05-28,R128,Tamarine Tanasugarn,Casey Dellacqua,THA,AUS,,,6-3,4-6,6-4,,200137,310730,W-SL-FRA-01A-2007,2007,Tamarine Tanasugarn,Casey Dellacqua,THA,AUS,,,,Tamarine Tanasugarn,Casey Dellacqua,3,"6-3,4-6,6-4",,2007-05-28,,Roland Garros,,,,,200137,,310730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2007,2007,Roland Garros,G,2007-05-28,,Clay,,,128,,,LS066,2007-05-28,R128,Mara Santangelo,Agnieszka Radwanska,ITA,POL,28.0,,6-1,6-4,,,190669,312251,W-SL-FRA-01A-2007,2007,Mara Santangelo,Agnieszka Radwanska,ITA,POL,28.0,,,Mara Santangelo,Agnieszka Radwanska,2,"6-1,6-4",,2007-05-28,,Roland Garros,,,,,190669,,312251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2007,2007,Roland Garros,G,2007-05-28,,Clay,,,128,,,LS068,2007-05-28,R128,Sybille Bammer,Roberta Vinci,AUT,ITA,20.0,,6-4,6-4,,,20463,220214,W-SL-FRA-01A-2007,2007,Sybille Bammer,Roberta Vinci,AUT,ITA,20.0,,,Sybille Bammer,Roberta Vinci,2,"6-4,6-4",,2007-05-28,,Roland Garros,,,,,20463,,220214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2007,2007,Roland Garros,G,2007-05-28,,Clay,,,128,,,LS069,2007-05-28,R128,Olga Savchuk,Yaroslava Shvedova,UKR,KAZ,,,7-5,7-5,,,310816,311137,W-SL-FRA-01A-2007,2007,Olga Savchuk,Yaroslava Shvedova,UKR,KAZ,,,Q,Olga Savchuk,Yaroslava Shvedova,2,"7-5,7-5",,2007-05-28,,Roland Garros,,,,,310816,,311137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2007,2007,Roland Garros,G,2007-05-28,,Clay,,,128,,,LS071,2007-05-28,R128,Pauline Parmentier,Mariya Koryttseva,FRA,UKR,,,6-4,3-6,7-5,,160515,110584,W-SL-FRA-01A-2007,2007,Pauline Parmentier,Mariya Koryttseva,FRA,UKR,,,WC,Pauline Parmentier,Mariya Koryttseva,3,"6-4,3-6,7-5",,2007-05-28,,Roland Garros,,,,,160515,,110584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2007,2007,Roland Garros,G,2007-05-28,,Clay,,,128,,,LS070,2007-05-28,R128,Na Li,Sandra Kloesel,CHN,GER,16.0,,7-6(4),6-0,,,120330,110325,W-SL-FRA-01A-2007,2007,Na Li,Sandra Kloesel,CHN,GER,16.0,,,Na Li,Sandra Kloesel,2,"7-6(4),6-0",,2007-05-28,,Roland Garros,,,,,120330,,110325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2007,2007,Roland Garros,G,2007-05-28,,Clay,,,128,,,LS076,2007-05-28,R128,Dinara Safina,Yuliana Fedak,RUS,UKR,10.0,,7-5,6-4,,,190950,60301,W-SL-FRA-01A-2007,2007,Dinara Safina,Yuliana Fedak,RUS,UKR,10.0,,,Dinara Safina,Yuliana Fedak,2,"7-5,6-4",,2007-05-28,,Roland Garros,,,,,190950,,60301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2007,2007,Roland Garros,G,2007-05-28,,Clay,,,128,,,LS077,2007-05-28,R128,Tzipi Obziler,Melinda Czink,ISR,HUN,,,6-3,6-4,,,,30557,W-SL-FRA-01A-2007,2007,Tzipi Obziler,Melinda Czink,ISR,HUN,,,,Tzipi Obziler,Melinda Czink,2,"6-3,6-4",,2007-05-28,,Roland Garros,,,,,,,30557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
