tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T1-CAN-01A-2005,2005,Toronto,T1,2005-08-15,,Hard,,,56,,,LS047,2005-08-15,R64,Anabel Medina Garrigues,Lucie Safarova,ESP,CZE,,,4-6,7-5,6-1,,130611,310553,W-T1-CAN-01A-2005,2005,Anabel Medina Garrigues,Lucie Safarova,ESP,CZE,,,,Anabel Medina Garrigues,Lucie Safarova,3,"4-6,7-5,6-1",,2005-08-15,,Toronto,,,,,130611,,310553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-CAN-01A-2005,2005,Toronto,T1,2005-08-15,,Hard,,,56,,,LS044,2005-08-15,R64,Gisela Dulko,Marta Domachowska,ARG,POL,,,6-4,6-1,,,40388,310338,W-T1-CAN-01A-2005,2005,Gisela Dulko,Marta Domachowska,ARG,POL,,,,Gisela Dulko,Marta Domachowska,2,"6-4,6-1",,2005-08-15,,Toronto,,,,,40388,,310338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-CAN-01A-2005,2005,Toronto,T1,2005-08-15,,Hard,,,56,,,LS045,2005-08-15,R64,Tatiana Golovin,Karolina Sprem,FRA,CRO,16.0,,6-4,6-4,,,310774,190881,W-T1-CAN-01A-2005,2005,Tatiana Golovin,Karolina Sprem,FRA,CRO,16.0,,,Tatiana Golovin,Karolina Sprem,2,"6-4,6-4",,2005-08-15,,Toronto,,,,,310774,,190881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-CAN-01A-2005,2005,Toronto,T1,2005-08-15,,Hard,,,56,,,LS043,2005-08-15,R64,Alina Jidkova,Daniela Hantuchova,RUS,SVK,,13.0,6-4,4-6,4-4,,260065,80394,W-T1-CAN-01A-2005,2005,Alina Jidkova,Daniela Hantuchova,RUS,SVK,,13.0,Q,Alina Jidkova,Daniela Hantuchova,3,"6-4,4-6,4-4",,2005-08-15,,Toronto,,,,,260065,,80394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-CAN-01A-2005,2005,Toronto,T1,2005-08-15,,Hard,,,56,,,LS042,2005-08-15,R64,Shinobu Asagoe,Aleksandra Wozniak,JPN,CAN,,,6-2,6-2,,,10209,310494,W-T1-CAN-01A-2005,2005,Shinobu Asagoe,Aleksandra Wozniak,JPN,CAN,,,,Shinobu Asagoe,Aleksandra Wozniak,2,"6-2,6-2",,2005-08-15,,Toronto,,,,,10209,,310494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-CAN-01A-2005,2005,Toronto,T1,2005-08-15,,Hard,,,56,,,LS041,2005-08-15,R64,Laura Granville,Roberta Vinci,USA,ITA,,,6-2,6-1,,,70423,220214,W-T1-CAN-01A-2005,2005,Laura Granville,Roberta Vinci,USA,ITA,,,Q,Laura Granville,Roberta Vinci,2,"6-2,6-1",,2005-08-15,,Toronto,,,,,70423,,220214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-CAN-01A-2005,2005,Toronto,T1,2005-08-15,,Hard,,,56,,,LS039,2005-08-15,R64,Stephanie Cohen Aloro,Selima Sfar,FRA,TUN,,,6-2,7-5,,,30501,190473,W-T1-CAN-01A-2005,2005,Stephanie Cohen Aloro,Selima Sfar,FRA,TUN,,,LL,Stephanie Cohen Aloro,Selima Sfar,2,"6-2,7-5",,2005-08-15,,Toronto,,,,,30501,,190473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-CAN-01A-2005,2005,Toronto,T1,2005-08-15,,Hard,,,56,,,LS037,2005-08-15,R64,Antonella Serra Zanetti,Stephanie Dubois,ITA,CAN,,,6-3,6-2,,,190613,310290,W-T1-CAN-01A-2005,2005,Antonella Serra Zanetti,Stephanie Dubois,ITA,CAN,,,LL,Antonella Serra Zanetti,Stephanie Dubois,2,"6-3,6-2",,2005-08-15,,Toronto,,,,,190613,,310290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-CAN-01A-2005,2005,Toronto,T1,2005-08-15,,Hard,,,56,,,LS036,2005-08-15,R64,Flavia Pennetta,Maria Sanchez Lorenzo,ITA,ESP,14.0,,6-4,7-5,,,160391,190435,W-T1-CAN-01A-2005,2005,Flavia Pennetta,Maria Sanchez Lorenzo,ITA,ESP,14.0,,,Flavia Pennetta,Maria Sanchez Lorenzo,2,"6-4,7-5",,2005-08-15,,Toronto,,,,,160391,,190435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-CAN-01A-2005,2005,Toronto,T1,2005-08-15,,Hard,,,56,,,LS034,2005-08-15,R64,Ana Ivanovic,Tathiana Garbin,SRB,ITA,12.0,,6-2,7-6(3),,,311710,30348,W-T1-CAN-01A-2005,2005,Ana Ivanovic,Tathiana Garbin,SRB,ITA,12.0,,,Ana Ivanovic,Tathiana Garbin,2,"6-2,7-6(3)",,2005-08-15,,Toronto,,,,,311710,,30348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
