tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T1-GER-01A-2003,2003,Berlin,T1,2003-05-05,,Clay,,,56,,,LS049,2003-05-05,R64,Emilie Loit,Katarina Srebotnik,FRA,SLO,,,4-6,6-3,6-3,,120277,190636,W-T1-GER-01A-2003,2003,Emilie Loit,Katarina Srebotnik,FRA,SLO,,,,Emilie Loit,Katarina Srebotnik,3,"4-6,6-3,6-3",,2003-05-05,,Berlin,,,,,120277,,190636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-GER-01A-2003,2003,Berlin,T1,2003-05-05,,Clay,,,56,,,LS050,2003-05-05,R64,Fabiola Zuluaga,Paola Suarez,COL,ARG,,,6-3,6-1,,,260078,190360,W-T1-GER-01A-2003,2003,Fabiola Zuluaga,Paola Suarez,COL,ARG,,,Q,Fabiola Zuluaga,Paola Suarez,2,"6-3,6-1",,2003-05-05,,Berlin,,,,,260078,,190360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-GER-01A-2003,2003,Berlin,T1,2003-05-05,,Clay,,,56,,,LS051,2003-05-05,R64,Meghann Shaughnessy,Iva Majoli,USA,CRO,14.0,,7-6(3),3-6,6-4,,190565,130316,W-T1-GER-01A-2003,2003,Meghann Shaughnessy,Iva Majoli,USA,CRO,14.0,,,Meghann Shaughnessy,Iva Majoli,3,"7-6(3),3-6,6-4",,2003-05-05,,Berlin,,,,,190565,,130316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-GER-01A-2003,2003,Berlin,T1,2003-05-05,,Clay,,,56,,,LS054,2003-05-05,R64,Marie Gaiane Mikaelian,Ai Sugiyama,SUI,JPN,,13.0,6-1,7-5,,,,190353,W-T1-GER-01A-2003,2003,Marie Gaiane Mikaelian,Ai Sugiyama,SUI,JPN,,13.0,,Marie Gaiane Mikaelian,Ai Sugiyama,2,"6-1,7-5",,2003-05-05,,Berlin,,,,,,,190353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-GER-01A-2003,2003,Berlin,T1,2003-05-05,,Clay,,,56,,,LS055,2003-05-05,R64,Virginia Ruano Pascual,Mary Pierce,ESP,FRA,,,7-6(7),,,,180160,160142,W-T1-GER-01A-2003,2003,Virginia Ruano Pascual,Mary Pierce,ESP,FRA,,,,Virginia Ruano Pascual,Mary Pierce,1,7-6(7),,2003-05-05,,Berlin,,,,,180160,,160142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-GER-01A-2003,2003,Berlin,T1,2003-05-05,,Clay,,,56,,,LS053,2003-05-05,R64,Barbara Schett,Laura Granville,AUT,USA,,,3-6,7-5,6-3,,190349,70423,W-T1-GER-01A-2003,2003,Barbara Schett,Laura Granville,AUT,USA,,,,Barbara Schett,Laura Granville,3,"3-6,7-5,6-3",,2003-05-05,,Berlin,,,,,190349,,70423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-GER-01A-2003,2003,Berlin,T1,2003-05-05,,Clay,,,56,,,LS057,2003-05-05,R64,Francesca Schiavone,Kristie Boogert,ITA,NED,,,3-6,7-5,6-3,,190666,20303,W-T1-GER-01A-2003,2003,Francesca Schiavone,Kristie Boogert,ITA,NED,,,,Francesca Schiavone,Kristie Boogert,3,"3-6,7-5,6-3",,2003-05-05,,Berlin,,,,,190666,,20303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-GER-01A-2003,2003,Berlin,T1,2003-05-05,,Clay,,,56,,,LS059,2003-05-05,R64,Maja Matevzic,Tathiana Garbin,SLO,ITA,,,6-4,6-4,,,130556,30348,W-T1-GER-01A-2003,2003,Maja Matevzic,Tathiana Garbin,SLO,ITA,,,,Maja Matevzic,Tathiana Garbin,2,"6-4,6-4",,2003-05-05,,Berlin,,,,,130556,,30348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-GER-01A-2003,2003,Berlin,T1,2003-05-05,,Clay,,,56,,,LS058,2003-05-05,R64,Nathalie Dechy,Clarisa Fernandez,FRA,ARG,17.0,,6-0,6-4,,,40254,60285,W-T1-GER-01A-2003,2003,Nathalie Dechy,Clarisa Fernandez,FRA,ARG,17.0,,,Nathalie Dechy,Clarisa Fernandez,2,"6-0,6-4",,2003-05-05,,Berlin,,,,,40254,,60285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-GER-01A-2003,2003,Berlin,T1,2003-05-05,,Clay,,,56,,,LS061,2003-05-05,R64,Denisa Chladkova,Magdalena Maleeva,CZE,BUL,,11.0,6-7(1),6-1,6-4,,30382,130245,W-T1-GER-01A-2003,2003,Denisa Chladkova,Magdalena Maleeva,CZE,BUL,,11.0,,Denisa Chladkova,Magdalena Maleeva,3,"6-7(1),6-1,6-4",,2003-05-05,,Berlin,,,,,30382,,130245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
