tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T1-RUS-01A-2006,2006,Moscow,T1,2006-10-09,,Carpet,,,28,,,LS031,2006-10-09,R32,Elena Vesnina,Na Li,RUS,CHN,,,6-2,1-6,7-6(11),,311220,120330,W-T1-RUS-01A-2006,2006,Elena Vesnina,Na Li,RUS,CHN,,,,Elena Vesnina,Na Li,3,"6-2,1-6,7-6(11)",,2006-10-09,,Moscow,,,,,311220,,120330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-RUS-01A-2006,2006,Moscow,T1,2006-10-09,,Carpet,,,28,,,LS029,2006-10-09,R32,Samantha Stosur,Emmanuelle Gagliardi,AUS,SUI,,,4-6,6-3,6-2,,190787,70245,W-T1-RUS-01A-2006,2006,Samantha Stosur,Emmanuelle Gagliardi,AUS,SUI,,,,Samantha Stosur,Emmanuelle Gagliardi,3,"4-6,6-3,6-2",,2006-10-09,,Moscow,,,,,190787,,70245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-RUS-01A-2006,2006,Moscow,T1,2006-10-09,,Carpet,,,28,,,LS028,2006-10-09,R32,Nicole Vaidisova,Anastasia Pavlyuchenkova,CZE,RUS,8.0,,6-3,6-3,,,311911,313796,W-T1-RUS-01A-2006,2006,Nicole Vaidisova,Anastasia Pavlyuchenkova,CZE,RUS,8.0,,,Nicole Vaidisova,Anastasia Pavlyuchenkova,2,"6-3,6-3",,2006-10-09,,Moscow,,,,,311911,,313796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-RUS-01A-2006,2006,Moscow,T1,2006-10-09,,Carpet,,,28,,,LS026,2006-10-09,R32,Vera Zvonareva,Vera Dushevina,RUS,RUS,,,6-3,6-2,,,260142,310625,W-T1-RUS-01A-2006,2006,Vera Zvonareva,Vera Dushevina,RUS,RUS,,,,Vera Zvonareva,Vera Dushevina,2,"6-3,6-2",,2006-10-09,,Moscow,,,,,260142,,310625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-RUS-01A-2006,2006,Moscow,T1,2006-10-09,,Carpet,,,28,,,LS025,2006-10-09,R32,Elena Likhovtseva,Maria Elena Camerin,RUS,ITA,,,6-0,6-1,,,120151,30462,W-T1-RUS-01A-2006,2006,Elena Likhovtseva,Maria Elena Camerin,RUS,ITA,,,,Elena Likhovtseva,Maria Elena Camerin,2,"6-0,6-1",,2006-10-09,,Moscow,,,,,120151,,30462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-RUS-01A-2006,2006,Moscow,T1,2006-10-09,,Carpet,,,28,,,LS024,2006-10-09,R32,Nadia Petrova,Anna Lena Groenefeld,RUS,GER,5.0,,6-2,6-2,,,160379,310318,W-T1-RUS-01A-2006,2006,Nadia Petrova,Anna Lena Groenefeld,RUS,GER,5.0,,,Nadia Petrova,Anna Lena Groenefeld,2,"6-2,6-2",,2006-10-09,,Moscow,,,,,160379,,310318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-RUS-01A-2006,2006,Moscow,T1,2006-10-09,,Carpet,,,28,,,LS022,2006-10-09,R32,Patty Schnyder,Chanda Rubin,SUI,USA,6.0,,6-3,6-0,,,190519,180175,W-T1-RUS-01A-2006,2006,Patty Schnyder,Chanda Rubin,SUI,USA,6.0,,,Patty Schnyder,Chanda Rubin,2,"6-3,6-0",,2006-10-09,,Moscow,,,,,190519,,180175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-RUS-01A-2006,2006,Moscow,T1,2006-10-09,,Carpet,,,28,,,LS023,2006-10-09,R32,Iveta Benesova,Mara Santangelo,CZE,ITA,,,3-6,6-3,7-5,,,190669,W-T1-RUS-01A-2006,2006,Iveta Benesova,Mara Santangelo,CZE,ITA,,,Q,Iveta Benesova,Mara Santangelo,3,"3-6,6-3,7-5",,2006-10-09,,Moscow,,,,,,,190669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-RUS-01A-2006,2006,Moscow,T1,2006-10-09,,Carpet,,,28,,,LS021,2006-10-09,R32,Shahar Peer,Elena Bovina,ISR,RUS,,,6-0,6-2,,,311168,20992,W-T1-RUS-01A-2006,2006,Shahar Peer,Elena Bovina,ISR,RUS,,,,Shahar Peer,Elena Bovina,2,"6-0,6-2",,2006-10-09,,Moscow,,,,,311168,,20992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T1-RUS-01A-2006,2006,Moscow,T1,2006-10-09,,Carpet,,,28,,,LS016,2006-10-09,R32,Anna Chakvetadze,Dinara Safina,RUS,RUS,,7.0,6-1,6-2,,,310623,190950,W-T1-RUS-01A-2006,2006,Anna Chakvetadze,Dinara Safina,RUS,RUS,,7.0,,Anna Chakvetadze,Dinara Safina,2,"6-1,6-2",,2006-10-09,,Moscow,,,,,310623,,190950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
