tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T2-FRA-01A-2007,2007,Paris,T2,2007-02-05,,Carpet,,,28,,,LS029,2007-02-05,R32,Emilie Loit,Eleni Daniilidou,FRA,GRE,,,7-6(7),6-7(1),6-4,,120277,40313,W-T2-FRA-01A-2007,2007,Emilie Loit,Eleni Daniilidou,FRA,GRE,,,WC,Emilie Loit,Eleni Daniilidou,3,"7-6(7),6-7(1),6-4",,2007-02-05,,Paris,,,,,120277,,40313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-FRA-01A-2007,2007,Paris,T2,2007-02-05,,Carpet,,,28,,,LS030,2007-02-05,R32,Tatiana Golovin,Alize Cornet,FRA,FRA,,,6-2,6-2,,,310774,312121,W-T2-FRA-01A-2007,2007,Tatiana Golovin,Alize Cornet,FRA,FRA,,,,Tatiana Golovin,Alize Cornet,2,"6-2,6-2",,2007-02-05,,Paris,,,,,310774,,312121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-FRA-01A-2007,2007,Paris,T2,2007-02-05,,Carpet,,,28,,,LS031,2007-02-05,R32,Ekaterina Bychkova,Patty Schnyder,RUS,SUI,,6.0,3-6,6-4,6-3,,20706,190519,W-T2-FRA-01A-2007,2007,Ekaterina Bychkova,Patty Schnyder,RUS,SUI,,6.0,Q,Ekaterina Bychkova,Patty Schnyder,3,"3-6,6-4,6-3",,2007-02-05,,Paris,,,,,20706,,190519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-FRA-01A-2007,2007,Paris,T2,2007-02-05,,Carpet,,,28,,,LS027,2007-02-05,R32,Katarina Srebotnik,Stephanie Cohen Aloro,SLO,FRA,,,6-1,6-4,,,190636,30501,W-T2-FRA-01A-2007,2007,Katarina Srebotnik,Stephanie Cohen Aloro,SLO,FRA,,,,Katarina Srebotnik,Stephanie Cohen Aloro,2,"6-1,6-4",,2007-02-05,,Paris,,,,,190636,,30501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-FRA-01A-2007,2007,Paris,T2,2007-02-05,,Carpet,,,28,,,LS024,2007-02-05,R32,Lucie Safarova,Tsvetana Pironkova,CZE,BUL,,,6-3,6-7(5),6-3,,310553,311041,W-T2-FRA-01A-2007,2007,Lucie Safarova,Tsvetana Pironkova,CZE,BUL,,,,Lucie Safarova,Tsvetana Pironkova,3,"6-3,6-7(5),6-3",,2007-02-05,,Paris,,,,,310553,,311041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-FRA-01A-2007,2007,Paris,T2,2007-02-05,,Carpet,,,28,,,LS025,2007-02-05,R32,Nicole Vaidisova,Aravane Rezai,CZE,FRA,5.0,,6-2,6-1,,,311911,311791,W-T2-FRA-01A-2007,2007,Nicole Vaidisova,Aravane Rezai,CZE,FRA,5.0,,,Nicole Vaidisova,Aravane Rezai,2,"6-2,6-1",,2007-02-05,,Paris,,,,,311911,,311791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-FRA-01A-2007,2007,Paris,T2,2007-02-05,,Carpet,,,28,,,LS018,2007-02-05,R32,Dinara Safina,Michaella Krajicek,RUS,NED,7.0,,6-4,7-5,,,190950,311578,W-T2-FRA-01A-2007,2007,Dinara Safina,Michaella Krajicek,RUS,NED,7.0,,,Dinara Safina,Michaella Krajicek,2,"6-4,7-5",,2007-02-05,,Paris,,,,,190950,,311578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-FRA-01A-2007,2007,Paris,T2,2007-02-05,,Carpet,,,28,,,LS019,2007-02-05,R32,Camille Pin,Agnes Szavay,FRA,HUN,,,6-4,6-0,,,160363,311872,W-T2-FRA-01A-2007,2007,Camille Pin,Agnes Szavay,FRA,HUN,,,WC,Camille Pin,Agnes Szavay,2,"6-4,6-0",,2007-02-05,,Paris,,,,,160363,,311872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-FRA-01A-2007,2007,Paris,T2,2007-02-05,,Carpet,,,28,,,LS017,2007-02-05,R32,Martina Muller,Agnieszka Radwanska,GER,POL,,,6-1,6-0,,,130631,312251,W-T2-FRA-01A-2007,2007,Martina Muller,Agnieszka Radwanska,GER,POL,,,,Martina Muller,Agnieszka Radwanska,2,"6-1,6-0",,2007-02-05,,Paris,,,,,130631,,312251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-FRA-01A-2007,2007,Paris,T2,2007-02-05,,Carpet,,,28,,,LS022,2007-02-05,R32,Anna Chakvetadze,Olga Puchkova,RUS,RUS,8.0,,6-2,6-0,,,310623,310717,W-T2-FRA-01A-2007,2007,Anna Chakvetadze,Olga Puchkova,RUS,RUS,8.0,,,Anna Chakvetadze,Olga Puchkova,2,"6-2,6-0",,2007-02-05,,Paris,,,,,310623,,310717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
