tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T2-POL-01A-2006,2006,Warsaw,T2,2006-05-01,,Clay,,,28,,,LS017,2006-05-01,R32,Julia Vakulenko,Emmanuelle Gagliardi,UKR,SUI,,,6-4,6-1,,,220248,70245,W-T2-POL-01A-2006,2006,Julia Vakulenko,Emmanuelle Gagliardi,UKR,SUI,,,Q,Julia Vakulenko,Emmanuelle Gagliardi,2,"6-4,6-1",,2006-05-01,,Warsaw,,,,,220248,,70245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-POL-01A-2006,2006,Warsaw,T2,2006-05-01,,Clay,,,28,,,LS019,2006-05-01,R32,Elena Likhovtseva,Anabel Medina Garrigues,RUS,ESP,,,7-5,4-6,6-1,,120151,130611,W-T2-POL-01A-2006,2006,Elena Likhovtseva,Anabel Medina Garrigues,RUS,ESP,,,,Elena Likhovtseva,Anabel Medina Garrigues,3,"7-5,4-6,6-1",,2006-05-01,,Warsaw,,,,,120151,,130611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-POL-01A-2006,2006,Warsaw,T2,2006-05-01,,Clay,,,28,,,LS018,2006-05-01,R32,Francesca Schiavone,Emma Laine,ITA,FIN,5.0,,6-0,6-1,,,190666,310237,W-T2-POL-01A-2006,2006,Francesca Schiavone,Emma Laine,ITA,FIN,5.0,,,Francesca Schiavone,Emma Laine,2,"6-0,6-1",,2006-05-01,,Warsaw,,,,,190666,,310237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-POL-01A-2006,2006,Warsaw,T2,2006-05-01,,Clay,,,28,,,LS021,2006-05-01,R32,Tatiana Perebiynis,Galina Voskoboeva,UKR,KAZ,,,6-3,4-6,6-4,,160405,310419,W-T2-POL-01A-2006,2006,Tatiana Perebiynis,Galina Voskoboeva,UKR,KAZ,,,Q,Tatiana Perebiynis,Galina Voskoboeva,3,"6-3,4-6,6-4",,2006-05-01,,Warsaw,,,,,160405,,310419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-POL-01A-2006,2006,Warsaw,T2,2006-05-01,,Clay,,,28,,,LS023,2006-05-01,R32,Klara Koukalova,Iveta Benesova,CZE,CZE,,,7-6(3),6-4,,,110492,,W-T2-POL-01A-2006,2006,Klara Koukalova,Iveta Benesova,CZE,CZE,,,,Klara Koukalova,Iveta Benesova,2,"7-6(3),6-4",,2006-05-01,,Warsaw,,,,,110492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-POL-01A-2006,2006,Warsaw,T2,2006-05-01,,Clay,,,28,,,LS022,2006-05-01,R32,Agnieszka Radwanska,Anastasia Myskina,POL,RUS,,6.0,6-4,4-6,6-4,,312251,130533,W-T2-POL-01A-2006,2006,Agnieszka Radwanska,Anastasia Myskina,POL,RUS,,6.0,WC,Agnieszka Radwanska,Anastasia Myskina,3,"6-4,4-6,6-4",,2006-05-01,,Warsaw,,,,,312251,,130533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-POL-01A-2006,2006,Warsaw,T2,2006-05-01,,Clay,,,28,,,LS026,2006-05-01,R32,Venus Williams,Urszula Radwanska,USA,POL,7.0,,6-3,6-3,,,230220,313131,W-T2-POL-01A-2006,2006,Venus Williams,Urszula Radwanska,USA,POL,7.0,,,Venus Williams,Urszula Radwanska,2,"6-3,6-3",,2006-05-01,,Warsaw,,,,,230220,,313131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-POL-01A-2006,2006,Warsaw,T2,2006-05-01,,Clay,,,28,,,LS027,2006-05-01,R32,Martina Hingis,Maria Kirilenko,SUI,RUS,,,7-5,7-6(1),,,80301,310577,W-T2-POL-01A-2006,2006,Martina Hingis,Maria Kirilenko,SUI,RUS,,,,Martina Hingis,Maria Kirilenko,2,"7-5,7-6(1)",,2006-05-01,,Warsaw,,,,,80301,,310577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-POL-01A-2006,2006,Warsaw,T2,2006-05-01,,Clay,,,28,,,LS025,2006-05-01,R32,Tsvetana Pironkova,Katarina Srebotnik,BUL,SLO,,,6-1,6-1,,,311041,190636,W-T2-POL-01A-2006,2006,Tsvetana Pironkova,Katarina Srebotnik,BUL,SLO,,,LL,Tsvetana Pironkova,Katarina Srebotnik,2,"6-1,6-1",,2006-05-01,,Warsaw,,,,,311041,,190636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-POL-01A-2006,2006,Warsaw,T2,2006-05-01,,Clay,,,28,,,LS029,2006-05-01,R32,Daniela Hantuchova,Anna Smashnova,SVK,ISR,9.0,,4-6,7-5,6-3,,80394,190361,W-T2-POL-01A-2006,2006,Daniela Hantuchova,Anna Smashnova,SVK,ISR,9.0,,,Daniela Hantuchova,Anna Smashnova,3,"4-6,7-5,6-3",,2006-05-01,,Warsaw,,,,,80394,,190361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
