tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T2-QAT-01A-2006,2006,Doha,T2,2006-02-27,,Hard,,,28,,,LS025,2006-02-27,R32,Marion Bartoli,Neha Uberoi,FRA,USA,,,6-0,7-6(5),,,20631,210045,W-T2-QAT-01A-2006,2006,Marion Bartoli,Neha Uberoi,FRA,USA,,,,Marion Bartoli,Neha Uberoi,2,"6-0,7-6(5)",,2006-02-27,,Doha,,,,,20631,,210045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-QAT-01A-2006,2006,Doha,T2,2006-02-27,,Hard,,,28,,,LS027,2006-02-27,R32,Maria Vento Kabchi,Shikha Uberoi,VEN,IND,,,6-0,6-1,,,220070,210043,W-T2-QAT-01A-2006,2006,Maria Vento Kabchi,Shikha Uberoi,VEN,IND,,,,Maria Vento Kabchi,Shikha Uberoi,2,"6-0,6-1",,2006-02-27,,Doha,,,,,220070,,210043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-QAT-01A-2006,2006,Doha,T2,2006-02-27,,Hard,,,28,,,LS026,2006-02-27,R32,Roberta Vinci,Elena Likhovtseva,ITA,RUS,,7.0,6-4,6-4,,,220214,120151,W-T2-QAT-01A-2006,2006,Roberta Vinci,Elena Likhovtseva,ITA,RUS,,7.0,,Roberta Vinci,Elena Likhovtseva,2,"6-4,6-4",,2006-02-27,,Doha,,,,,220214,,120151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-QAT-01A-2006,2006,Doha,T2,2006-02-27,,Hard,,,28,,,LS028,2006-02-27,R32,Martina Hingis,Mashona Washington,SUI,USA,,,6-1,6-2,,,80301,230186,W-T2-QAT-01A-2006,2006,Martina Hingis,Mashona Washington,SUI,USA,,,WC,Martina Hingis,Mashona Washington,2,"6-1,6-2",,2006-02-27,,Doha,,,,,80301,,230186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-QAT-01A-2006,2006,Doha,T2,2006-02-27,,Hard,,,28,,,LS031,2006-02-27,R32,Maria Kirilenko,Ting Li,RUS,CHN,,,6-2,6-4,,,310577,,W-T2-QAT-01A-2006,2006,Maria Kirilenko,Ting Li,RUS,CHN,,,,Maria Kirilenko,Ting Li,2,"6-2,6-4",,2006-02-27,,Doha,,,,,310577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-QAT-01A-2006,2006,Doha,T2,2006-02-27,,Hard,,,28,,,LS030,2006-02-27,R32,Svetlana Kuznetsova,Jie Zheng,RUS,CHN,6.0,,6-0,6-1,,,110552,260144,W-T2-QAT-01A-2006,2006,Svetlana Kuznetsova,Jie Zheng,RUS,CHN,6.0,,,Svetlana Kuznetsova,Jie Zheng,2,"6-0,6-1",,2006-02-27,,Doha,,,,,110552,,260144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-QAT-01A-2006,2006,Doha,T2,2006-02-27,,Hard,,,28,,,LS022,2006-02-27,R32,Julia Schruff,Jelena Jankovic,GER,SRB,,8.0,6-2,7-5,,,190711,100153,W-T2-QAT-01A-2006,2006,Julia Schruff,Jelena Jankovic,GER,SRB,,8.0,,Julia Schruff,Jelena Jankovic,2,"6-2,7-5",,2006-02-27,,Doha,,,,,190711,,100153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-QAT-01A-2006,2006,Doha,T2,2006-02-27,,Hard,,,28,,,LS023,2006-02-27,R32,Alona Bondarenko,Vera Dushevina,UKR,RUS,,,7-6(1),6-1,,,20608,310625,W-T2-QAT-01A-2006,2006,Alona Bondarenko,Vera Dushevina,UKR,RUS,,,,Alona Bondarenko,Vera Dushevina,2,"7-6(1),6-1",,2006-02-27,,Doha,,,,,20608,,310625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-QAT-01A-2006,2006,Doha,T2,2006-02-27,,Hard,,,28,,,LS020,2006-02-27,R32,Ai Sugiyama,Selima Sfar,JPN,TUN,,,6-3,6-3,,,190353,190473,W-T2-QAT-01A-2006,2006,Ai Sugiyama,Selima Sfar,JPN,TUN,,,,Ai Sugiyama,Selima Sfar,2,"6-3,6-3",,2006-02-27,,Doha,,,,,190353,,190473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-QAT-01A-2006,2006,Doha,T2,2006-02-27,,Hard,,,28,,,LS019,2006-02-27,R32,Daniela Hantuchova,Kveta Peschke,SVK,CZE,5.0,,7-6(4),5-7,6-1,,80394,80218,W-T2-QAT-01A-2006,2006,Daniela Hantuchova,Kveta Peschke,SVK,CZE,5.0,,,Daniela Hantuchova,Kveta Peschke,3,"7-6(4),5-7,6-1",,2006-02-27,,Doha,,,,,80394,,80218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
