tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T2-USA-01A-2001,2001,Scottsdale,T2,2001-02-26,,Hard,,,28,,,LS017,2001-02-26,R32,Gala Leon Garcia,Anne Kremer,ESP,LUX,,,6-2,6-4,,,120176,110242,W-T2-USA-01A-2001,2001,Gala Leon Garcia,Anne Kremer,ESP,LUX,,,,Gala Leon Garcia,Anne Kremer,2,"6-2,6-4",,2001-02-26,,Scottsdale,,,,,120176,,110242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-USA-01A-2001,2001,Scottsdale,T2,2001-02-26,,Hard,,,28,,,LS019,2001-02-26,R32,Ai Sugiyama,Anna Smashnova,JPN,ISR,,,6-2,6-2,,,190353,190361,W-T2-USA-01A-2001,2001,Ai Sugiyama,Anna Smashnova,JPN,ISR,,,,Ai Sugiyama,Anna Smashnova,2,"6-2,6-2",,2001-02-26,,Scottsdale,,,,,190353,,190361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-USA-01A-2001,2001,Scottsdale,T2,2001-02-26,,Hard,,,28,,,LS018,2001-02-26,R32,Lisa Raymond,Shinobu Asagoe,USA,JPN,7.0,,6-0,6-1,,,180144,10209,W-T2-USA-01A-2001,2001,Lisa Raymond,Shinobu Asagoe,USA,JPN,7.0,,,Lisa Raymond,Shinobu Asagoe,2,"6-0,6-1",,2001-02-26,,Scottsdale,,,,,180144,,10209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-USA-01A-2001,2001,Scottsdale,T2,2001-02-26,,Hard,,,28,,,LS021,2001-02-26,R32,Jana Nejedly,Lilia Osterloh,CAN,USA,,,7-5,6-2,,,140081,150134,W-T2-USA-01A-2001,2001,Jana Nejedly,Lilia Osterloh,CAN,USA,,,LL,Jana Nejedly,Lilia Osterloh,2,"7-5,6-2",,2001-02-26,,Scottsdale,,,,,140081,,150134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-USA-01A-2001,2001,Scottsdale,T2,2001-02-26,,Hard,,,28,,,LS022,2001-02-26,R32,Tina Pisnik,Kveta Peschke,SLO,CZE,,,6-2,6-3,,,160339,80218,W-T2-USA-01A-2001,2001,Tina Pisnik,Kveta Peschke,SLO,CZE,,,Q,Tina Pisnik,Kveta Peschke,2,"6-2,6-3",,2001-02-26,,Scottsdale,,,,,160339,,80218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-USA-01A-2001,2001,Scottsdale,T2,2001-02-26,,Hard,,,28,,,LS023,2001-02-26,R32,Elena Likhovtseva,Silvija Talaja,RUS,CRO,9.0,,6-3,6-3,,,120151,200160,W-T2-USA-01A-2001,2001,Elena Likhovtseva,Silvija Talaja,RUS,CRO,9.0,,,Elena Likhovtseva,Silvija Talaja,2,"6-3,6-3",,2001-02-26,,Scottsdale,,,,,120151,,200160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-USA-01A-2001,2001,Scottsdale,T2,2001-02-26,,Hard,,,28,,,LS024,2001-02-26,R32,Meghann Shaughnessy,Elena Bovina,USA,RUS,8.0,,4-6,6-2,6-3,,190565,20992,W-T2-USA-01A-2001,2001,Meghann Shaughnessy,Elena Bovina,USA,RUS,8.0,,,Meghann Shaughnessy,Elena Bovina,3,"4-6,6-2,6-3",,2001-02-26,,Scottsdale,,,,,190565,,20992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-USA-01A-2001,2001,Scottsdale,T2,2001-02-26,,Hard,,,28,,,LS025,2001-02-26,R32,Nadia Petrova,Jill Craybas,RUS,USA,,,6-3,6-4,,,160379,30294,W-T2-USA-01A-2001,2001,Nadia Petrova,Jill Craybas,RUS,USA,,,Q,Nadia Petrova,Jill Craybas,2,"6-3,6-4",,2001-02-26,,Scottsdale,,,,,160379,,30294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-USA-01A-2001,2001,Scottsdale,T2,2001-02-26,,Hard,,,28,,,LS027,2001-02-26,R32,Jennifer Hopkins,Sonya Jeyaseelan,USA,CAN,,,6-2,6-1,,,80389,100049,W-T2-USA-01A-2001,2001,Jennifer Hopkins,Sonya Jeyaseelan,USA,CAN,,,WC,Jennifer Hopkins,Sonya Jeyaseelan,2,"6-2,6-1",,2001-02-26,,Scottsdale,,,,,80389,,100049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-USA-01A-2001,2001,Scottsdale,T2,2001-02-26,,Hard,,,28,,,LS030,2001-02-26,R32,Magui Serna,Justine Henin,ESP,BEL,,6.0,7-6(5),7-6(5),,,190482,80350,W-T2-USA-01A-2001,2001,Magui Serna,Justine Henin,ESP,BEL,,6.0,,Magui Serna,Justine Henin,2,"7-6(5),7-6(5)",,2001-02-26,,Scottsdale,,,,,190482,,80350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
