tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T3-INA-01A-2007,2007,Bali,T3,2007-09-10,,Hard,,,30,,,LS019,2007-09-10,R32,Casey Dellacqua,Caroline Wozniacki,AUS,DEN,,,1-6,6-1,6-3,,310730,313402,W-T3-INA-01A-2007,2007,Casey Dellacqua,Caroline Wozniacki,AUS,DEN,,,,Casey Dellacqua,Caroline Wozniacki,3,"1-6,6-1,6-3",,2007-09-10,,Bali,,,,,310730,,313402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2007,2007,Bali,T3,2007-09-10,,Hard,,,30,,,LS017,2007-09-10,R32,Julie Ditty,Hana Sromova,USA,CZE,,,6-2,6-1,,,40319,190476,W-T3-INA-01A-2007,2007,Julie Ditty,Hana Sromova,USA,CZE,,,Q,Julie Ditty,Hana Sromova,2,"6-2,6-1",,2007-09-10,,Bali,,,,,40319,,190476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2007,2007,Bali,T3,2007-09-10,,Hard,,,30,,,LS016,2007-09-10,R32,Lindsay Davenport,Eleni Daniilidou,USA,GRE,,5.0,6-2,6-2,,,40106,40313,W-T3-INA-01A-2007,2007,Lindsay Davenport,Eleni Daniilidou,USA,GRE,,5.0,,Lindsay Davenport,Eleni Daniilidou,2,"6-2,6-2",,2007-09-10,,Bali,,,,,40106,,40313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2007,2007,Bali,T3,2007-09-10,,Hard,,,30,,,LS021,2007-09-10,R32,Anabel Medina Garrigues,Sandy Gumulya,ESP,INA,4.0,,6-1,6-1,,,130611,70501,W-T3-INA-01A-2007,2007,Anabel Medina Garrigues,Sandy Gumulya,ESP,INA,4.0,,,Anabel Medina Garrigues,Sandy Gumulya,2,"6-1,6-1",,2007-09-10,,Bali,,,,,130611,,70501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2007,2007,Bali,T3,2007-09-10,,Hard,,,30,,,LS020,2007-09-10,R32,Sara Errani,Akgul Amanmuradova,ITA,UZB,,,6-3,6-7(1),7-6(4),,310761,10362,W-T3-INA-01A-2007,2007,Sara Errani,Akgul Amanmuradova,ITA,UZB,,,,Sara Errani,Akgul Amanmuradova,3,"6-3,6-7(1),7-6(4)",,2007-09-10,,Bali,,,,,310761,,10362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2007,2007,Bali,T3,2007-09-10,,Hard,,,30,,,LS023,2007-09-10,R32,Yulia Fedossova,Su Wei Hsieh,FRA,TPE,,,6-0,6-0,,,311237,310053,W-T3-INA-01A-2007,2007,Yulia Fedossova,Su Wei Hsieh,FRA,TPE,,,,Yulia Fedossova,Su Wei Hsieh,2,"6-0,6-0",,2007-09-10,,Bali,,,,,311237,,310053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2007,2007,Bali,T3,2007-09-10,,Hard,,,30,,,LS022,2007-09-10,R32,Aiko Nakamura,Tamarine Tanasugarn,JPN,THA,7.0,,6-1,6-7(5),7-5,,140219,200137,W-T3-INA-01A-2007,2007,Aiko Nakamura,Tamarine Tanasugarn,JPN,THA,7.0,,,Aiko Nakamura,Tamarine Tanasugarn,3,"6-1,6-7(5),7-5",,2007-09-10,,Bali,,,,,140219,,200137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2007,2007,Bali,T3,2007-09-10,,Hard,,,30,,,LS031,2007-09-10,R32,Meng Yuan,Yaroslava Shvedova,CHN,KAZ,,8.0,6-0,6-1,,,310803,311137,W-T3-INA-01A-2007,2007,Meng Yuan,Yaroslava Shvedova,CHN,KAZ,,8.0,Q,Meng Yuan,Yaroslava Shvedova,2,"6-0,6-1",,2007-09-10,,Bali,,,,,310803,,311137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2007,2007,Bali,T3,2007-09-10,,Hard,,,30,,,LS030,2007-09-10,R32,Edina Gallovits Hall,Jarmila Gajdosova,ROU,AUS,,,6-1,6-0,,,70471,,W-T3-INA-01A-2007,2007,Edina Gallovits Hall,Jarmila Gajdosova,ROU,AUS,,,,Edina Gallovits Hall,Jarmila Gajdosova,2,"6-1,6-0",,2007-09-10,,Bali,,,,,70471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2007,2007,Bali,T3,2007-09-10,,Hard,,,30,,,LS028,2007-09-10,R32,Sorana Cirstea,Anastasia Rodionova,ROU,AUS,,,6-2,6-4,,,312469,180356,W-T3-INA-01A-2007,2007,Sorana Cirstea,Anastasia Rodionova,ROU,AUS,,,Q,Sorana Cirstea,Anastasia Rodionova,2,"6-2,6-4",,2007-09-10,,Bali,,,,,312469,,180356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
