tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T4-NZL-01A-2008,2008,Auckland,T4,2007-12-31,,Hard,,,32,,,LS030,2007-12-31,R32,Vera Zvonareva,Sacha Jones,RUS,AUS,1.0,,6-0,6-1,,,260142,313617,W-T4-NZL-01A-2008,2008,Vera Zvonareva,Sacha Jones,RUS,AUS,1.0,,,Vera Zvonareva,Sacha Jones,2,"6-0,6-1",,2007-12-31,,Auckland,,,,,260142,,313617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-NZL-01A-2008,2008,Auckland,T4,2007-12-31,,Hard,,,32,,,LS031,2007-12-31,R32,Sofia Arvidsson,Ahsha Rolle,SWE,USA,,,6-4,7-5,,,10334,310210,W-T4-NZL-01A-2008,2008,Sofia Arvidsson,Ahsha Rolle,SWE,USA,,,,Sofia Arvidsson,Ahsha Rolle,2,"6-4,7-5",,2007-12-31,,Auckland,,,,,10334,,310210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-NZL-01A-2008,2008,Auckland,T4,2007-12-31,,Hard,,,32,,,LS028,2007-12-31,R32,Marina Erakovic,Ellen Barry,NZL,NZL,,,6-1,6-1,,,312086,312969,W-T4-NZL-01A-2008,2008,Marina Erakovic,Ellen Barry,NZL,NZL,,,WC,Marina Erakovic,Ellen Barry,2,"6-1,6-1",,2007-12-31,,Auckland,,,,,312086,,312969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-NZL-01A-2008,2008,Auckland,T4,2007-12-31,,Hard,,,32,,,LS029,2007-12-31,R32,Ashley Harkleroad,Emilie Loit,USA,FRA,,8.0,6-4,6-1,,,80418,120277,W-T4-NZL-01A-2008,2008,Ashley Harkleroad,Emilie Loit,USA,FRA,,8.0,,Ashley Harkleroad,Emilie Loit,2,"6-4,6-1",,2007-12-31,,Auckland,,,,,80418,,120277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-NZL-01A-2008,2008,Auckland,T4,2007-12-31,,Hard,,,32,,,LS026,2007-12-31,R32,Katarina Srebotnik,Anastasia Rodionova,SLO,AUS,3.0,,6-0,3-0,,,190636,180356,W-T4-NZL-01A-2008,2008,Katarina Srebotnik,Anastasia Rodionova,SLO,AUS,3.0,,,Katarina Srebotnik,Anastasia Rodionova,2,"6-0,3-0",,2007-12-31,,Auckland,,,,,190636,,180356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-NZL-01A-2008,2008,Auckland,T4,2007-12-31,,Hard,,,32,,,LS027,2007-12-31,R32,Yvonne Meusburger,Akiko Morigami,AUT,JPN,,,7-5,6-0,,,130698,130541,W-T4-NZL-01A-2008,2008,Yvonne Meusburger,Akiko Morigami,AUT,JPN,,,,Yvonne Meusburger,Akiko Morigami,2,"7-5,6-0",,2007-12-31,,Auckland,,,,,130698,,130541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-NZL-01A-2008,2008,Auckland,T4,2007-12-31,,Hard,,,32,,,LS024,2007-12-31,R32,Aravane Rezai,Shuai Zhang,FRA,CHN,,,6-3,6-3,,,311791,311779,W-T4-NZL-01A-2008,2008,Aravane Rezai,Shuai Zhang,FRA,CHN,,,,Aravane Rezai,Shuai Zhang,2,"6-3,6-3",,2007-12-31,,Auckland,,,,,311791,,311779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-NZL-01A-2008,2008,Auckland,T4,2007-12-31,,Hard,,,32,,,LS025,2007-12-31,R32,Eleni Daniilidou,Elena Baltacha,GRE,GBR,7.0,,6-1,6-2,,,40313,20556,W-T4-NZL-01A-2008,2008,Eleni Daniilidou,Elena Baltacha,GRE,GBR,7.0,,,Eleni Daniilidou,Elena Baltacha,2,"6-1,6-2",,2007-12-31,,Auckland,,,,,40313,,20556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-NZL-01A-2008,2008,Auckland,T4,2007-12-31,,Hard,,,32,,,LS017,2007-12-31,R32,Anabel Medina Garrigues,Nicole Pratt,ESP,AUS,5.0,,7-6(3),6-3,,,130611,160078,W-T4-NZL-01A-2008,2008,Anabel Medina Garrigues,Nicole Pratt,ESP,AUS,5.0,,,Anabel Medina Garrigues,Nicole Pratt,2,"7-6(3),6-3",,2007-12-31,,Auckland,,,,,130611,,160078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-NZL-01A-2008,2008,Auckland,T4,2007-12-31,,Hard,,,32,,,LS016,2007-12-31,R32,Lindsay Davenport,Laura Granville,USA,USA,,,6-2,6-3,,,40106,70423,W-T4-NZL-01A-2008,2008,Lindsay Davenport,Laura Granville,USA,USA,,,,Lindsay Davenport,Laura Granville,2,"6-2,6-3",,2007-12-31,,Auckland,,,,,40106,,70423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
