tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T4B-POL-01A-2000,2000,Warsaw,T4,2000-05-08,,Clay,,,32,,,LS022,2000-05-08,R32,Cristina Torrens Valero,Elena Likhovtseva,ESP,RUS,,1.0,4-6,6-3,6-4,,200122,120151,W-T4B-POL-01A-2000,2000,Cristina Torrens Valero,Elena Likhovtseva,ESP,RUS,,1.0,,Cristina Torrens Valero,Elena Likhovtseva,3,"4-6,6-3,6-4",,2000-05-08,,Warsaw,,,,,200122,,120151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4B-POL-01A-2000,2000,Warsaw,T4,2000-05-08,,Clay,,,32,,,LS023,2000-05-08,R32,Melanie Schnell,Mariana Diaz Oliva,AUT,ARG,,,6-2,6-1,,,190339,40198,W-T4B-POL-01A-2000,2000,Melanie Schnell,Mariana Diaz Oliva,AUT,ARG,,,Q,Melanie Schnell,Mariana Diaz Oliva,2,"6-2,6-1",,2000-05-08,,Warsaw,,,,,190339,,40198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4B-POL-01A-2000,2000,Warsaw,T4,2000-05-08,,Clay,,,32,,,LS020,2000-05-08,R32,Jennifer Hopkins,Desislava Topalova,USA,BUL,,,7-5,6-2,,,80389,200191,W-T4B-POL-01A-2000,2000,Jennifer Hopkins,Desislava Topalova,USA,BUL,,,,Jennifer Hopkins,Desislava Topalova,2,"7-5,6-2",,2000-05-08,,Warsaw,,,,,80389,,200191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4B-POL-01A-2000,2000,Warsaw,T4,2000-05-08,,Clay,,,32,,,LS021,2000-05-08,R32,Patricia Wartusch,Miroslava Vavrinec,AUT,SUI,7.0,,6-7(5),6-2,6-2,,230204,220121,W-T4B-POL-01A-2000,2000,Patricia Wartusch,Miroslava Vavrinec,AUT,SUI,7.0,,,Patricia Wartusch,Miroslava Vavrinec,3,"6-7(5),6-2,6-2",,2000-05-08,,Warsaw,,,,,230204,,220121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4B-POL-01A-2000,2000,Warsaw,T4,2000-05-08,,Clay,,,32,,,LS018,2000-05-08,R32,Tathiana Garbin,Annabel Ellwood,ITA,AUS,3.0,,4-6,6-4,6-1,,30348,50092,W-T4B-POL-01A-2000,2000,Tathiana Garbin,Annabel Ellwood,ITA,AUS,3.0,,,Tathiana Garbin,Annabel Ellwood,3,"4-6,6-4,6-1",,2000-05-08,,Warsaw,,,,,30348,,50092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4B-POL-01A-2000,2000,Warsaw,T4,2000-05-08,,Clay,,,32,,,LS019,2000-05-08,R32,Libuse Prusova,Maria Sanchez Lorenzo,CZE,ESP,,,7-5,6-4,,,160292,190435,W-T4B-POL-01A-2000,2000,Libuse Prusova,Maria Sanchez Lorenzo,CZE,ESP,,,Q,Libuse Prusova,Maria Sanchez Lorenzo,2,"7-5,6-4",,2000-05-08,,Warsaw,,,,,160292,,190435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4B-POL-01A-2000,2000,Warsaw,T4,2000-05-08,,Clay,,,32,,,LS016,2000-05-08,R32,Henrieta Nagyova,Sandra Nacuk,SVK,SCG,,,7-5,6-2,,,140145,140179,W-T4B-POL-01A-2000,2000,Henrieta Nagyova,Sandra Nacuk,SVK,SCG,,,,Henrieta Nagyova,Sandra Nacuk,2,"7-5,6-2",,2000-05-08,,Warsaw,,,,,140145,,140179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4B-POL-01A-2000,2000,Warsaw,T4,2000-05-08,,Clay,,,32,,,LS017,2000-05-08,R32,Kristie Boogert,Magdalena Grzybowska,NED,POL,5.0,,6-1,6-2,,,20303,70322,W-T4B-POL-01A-2000,2000,Kristie Boogert,Magdalena Grzybowska,NED,POL,5.0,,,Kristie Boogert,Magdalena Grzybowska,2,"6-1,6-2",,2000-05-08,,Warsaw,,,,,20303,,70322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4B-POL-01A-2000,2000,Warsaw,T4,2000-05-08,,Clay,,,32,,,LS026,2000-05-08,R32,Olga Barabanschikova,Maria Vento Kabchi,BLR,VEN,8.0,,7-6(4),7-6(2),,,20442,220070,W-T4B-POL-01A-2000,2000,Olga Barabanschikova,Maria Vento Kabchi,BLR,VEN,8.0,,,Olga Barabanschikova,Maria Vento Kabchi,2,"7-6(4),7-6(2)",,2000-05-08,,Warsaw,,,,,20442,,220070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4B-POL-01A-2000,2000,Warsaw,T4,2000-05-08,,Clay,,,32,,,LS027,2000-05-08,R32,Janette Husarova,Emilie Loit,SVK,FRA,,,6-4,2-6,6-1,,80219,120277,W-T4B-POL-01A-2000,2000,Janette Husarova,Emilie Loit,SVK,FRA,,,Q,Janette Husarova,Emilie Loit,3,"6-4,2-6,6-1",,2000-05-08,,Warsaw,,,,,80219,,120277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
