tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-WT-CZE-01A-1996,1996,Karlovy Vary,W,1996-09-10,,Clay,,,32,,,LS025,1996-09-10,R32,Barbara Paulus,Katerina Maleeva,AUT,BUL,1.0,,6-4,6-3,,,,,W-WT-CZE-01A-1996,1996,Barbara Paulus,Katerina Maleeva,AUT,BUL,1.0,,,Barbara Paulus,Katerina Maleeva,2,"6-4,6-3",,1996-09-10,,Karlovy Vary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CZE-01A-1996,1996,Karlovy Vary,W,1996-09-10,,Clay,,,32,,,LS024,1996-09-10,R32,Patty Schnyder,Maria Sanchez Lorenzo,SUI,ESP,,,6-3,4-6,6-1,,190519,190435,W-WT-CZE-01A-1996,1996,Patty Schnyder,Maria Sanchez Lorenzo,SUI,ESP,,,,Patty Schnyder,Maria Sanchez Lorenzo,3,"6-3,4-6,6-1",,1996-09-10,,Karlovy Vary,,,,,190519,,190435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CZE-01A-1996,1996,Karlovy Vary,W,1996-09-10,,Clay,,,32,,,LS027,1996-09-10,R32,Radka Bobkova,Mariana Diaz Oliva,CZE,ARG,,,4-6,6-4,6-4,,20114,40198,W-WT-CZE-01A-1996,1996,Radka Bobkova,Mariana Diaz Oliva,CZE,ARG,,,,Radka Bobkova,Mariana Diaz Oliva,3,"4-6,6-4,6-4",,1996-09-10,,Karlovy Vary,,,,,20114,,40198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CZE-01A-1996,1996,Karlovy Vary,W,1996-09-10,,Clay,,,32,,,LS026,1996-09-10,R32,Flora Perfetti,Silvia Farina Elia,ITA,ITA,,8.0,6-4,6-1,,,160093,60061,W-WT-CZE-01A-1996,1996,Flora Perfetti,Silvia Farina Elia,ITA,ITA,,8.0,,Flora Perfetti,Silvia Farina Elia,2,"6-4,6-1",,1996-09-10,,Karlovy Vary,,,,,160093,,60061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CZE-01A-1996,1996,Karlovy Vary,W,1996-09-10,,Clay,,,32,,,LS029,1996-09-10,R32,Janette Husarova,Helena Sukova,SVK,CZE,,3.0,6-3,6-3,,,80219,,W-WT-CZE-01A-1996,1996,Janette Husarova,Helena Sukova,SVK,CZE,,3.0,,Janette Husarova,Helena Sukova,2,"6-3,6-3",,1996-09-10,,Karlovy Vary,,,,,80219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CZE-01A-1996,1996,Karlovy Vary,W,1996-09-10,,Clay,,,32,,,LS028,1996-09-10,R32,Lenka Cenkova,Leila Meskhi,CZE,GEO,,,6-1,6-0,,,30299,,W-WT-CZE-01A-1996,1996,Lenka Cenkova,Leila Meskhi,CZE,GEO,,,WC,Lenka Cenkova,Leila Meskhi,2,"6-1,6-0",,1996-09-10,,Karlovy Vary,,,,,30299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CZE-01A-1996,1996,Karlovy Vary,W,1996-09-10,,Clay,,,32,,,LS031,1996-09-10,R32,Katarzyna Nowak,Veronika Martinek,POL,GER,,,6-2,2-6,6-3,,,130030,W-WT-CZE-01A-1996,1996,Katarzyna Nowak,Veronika Martinek,POL,GER,,,,Katarzyna Nowak,Veronika Martinek,3,"6-2,2-6,6-3",,1996-09-10,,Karlovy Vary,,,,,,,130030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CZE-01A-1996,1996,Karlovy Vary,W,1996-09-10,,Clay,,,32,,,LS030,1996-09-10,R32,Henrieta Nagyova,Cristina Torrens Valero,SVK,ESP,9.0,,4-6,7-5,6-4,,140145,200122,W-WT-CZE-01A-1996,1996,Henrieta Nagyova,Cristina Torrens Valero,SVK,ESP,9.0,,,Henrieta Nagyova,Cristina Torrens Valero,3,"4-6,7-5,6-4",,1996-09-10,,Karlovy Vary,,,,,140145,,200122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CZE-01A-1996,1996,Karlovy Vary,W,1996-09-10,,Clay,,,32,,,LS023,1996-09-10,R32,Sabine Hack,Katerina Kroupova,GER,CZE,7.0,,6-3,6-3,,,,,W-WT-CZE-01A-1996,1996,Sabine Hack,Katerina Kroupova,GER,CZE,7.0,,,Sabine Hack,Katerina Kroupova,2,"6-3,6-3",,1996-09-10,,Karlovy Vary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CZE-01A-1996,1996,Karlovy Vary,W,1996-09-10,,Clay,,,32,,,LS022,1996-09-10,R32,Emmanuelle Gagliardi,Sandra Kleinova,SUI,CZE,,,6-7,6-1,7-6,,70245,110310,W-WT-CZE-01A-1996,1996,Emmanuelle Gagliardi,Sandra Kleinova,SUI,CZE,,,Q,Emmanuelle Gagliardi,Sandra Kleinova,3,"6-7,6-1,7-6",,1996-09-10,,Karlovy Vary,,,,,70245,,110310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
