tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-WT-ESP-01A-1998,1998,Madrid,W,1998-05-18,,Clay,,,30,,,LS021,1998-05-18,R32,Maria Sanchez Lorenzo,Nuria Montero,ESP,ESP,,,7-5,6-1,,,190435,,W-WT-ESP-01A-1998,1998,Maria Sanchez Lorenzo,Nuria Montero,ESP,ESP,,,,Maria Sanchez Lorenzo,Nuria Montero,2,"7-5,6-1",,1998-05-18,,Madrid,,,,,190435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ESP-01A-1998,1998,Madrid,W,1998-05-18,,Clay,,,30,,,LS022,1998-05-18,R32,Chanda Rubin,Pavlina Nola,USA,NZL,,,6-3,6-1,,,180175,190500,W-WT-ESP-01A-1998,1998,Chanda Rubin,Pavlina Nola,USA,NZL,,,,Chanda Rubin,Pavlina Nola,2,"6-3,6-1",,1998-05-18,,Madrid,,,,,180175,,190500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ESP-01A-1998,1998,Madrid,W,1998-05-18,,Clay,,,30,,,LS023,1998-05-18,R32,Anna Smashnova,Virginia Ruano Pascual,ISR,ESP,,5,7-6,7-5,,,190361,180160,W-WT-ESP-01A-1998,1998,Anna Smashnova,Virginia Ruano Pascual,ISR,ESP,,5,,Anna Smashnova,Virginia Ruano Pascual,2,"7-6,7-5",,1998-05-18,,Madrid,,,,,190361,,180160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ESP-01A-1998,1998,Madrid,W,1998-05-18,,Clay,,,30,,,LS016,1998-05-18,R32,Patty Schnyder,Kristina Brandi,SUI,PUR,3.0,,6-0,,,,190519,20323,W-WT-ESP-01A-1998,1998,Patty Schnyder,Kristina Brandi,SUI,PUR,3.0,,,Patty Schnyder,Kristina Brandi,1,6-0,,1998-05-18,,Madrid,,,,,190519,,20323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ESP-01A-1998,1998,Madrid,W,1998-05-18,,Clay,,,30,,,LS017,1998-05-18,R32,Meike Babel,Ana Salas Lozano,GER,ESP,,,7-5,6-3,,,20279,190375,W-WT-ESP-01A-1998,1998,Meike Babel,Ana Salas Lozano,GER,ESP,,,,Meike Babel,Ana Salas Lozano,2,"7-5,6-3",,1998-05-18,,Madrid,,,,,20279,,190375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ESP-01A-1998,1998,Madrid,W,1998-05-18,,Clay,,,30,,,LS019,1998-05-18,R32,Laura Golarsa,Denisa Chladkova,ITA,CZE,,,6-1,6-1,,,,30382,W-WT-ESP-01A-1998,1998,Laura Golarsa,Denisa Chladkova,ITA,CZE,,,,Laura Golarsa,Denisa Chladkova,2,"6-1,6-1",,1998-05-18,,Madrid,,,,,,,30382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ESP-01A-1998,1998,Madrid,W,1998-05-18,,Clay,,,30,,,LS018,1998-05-18,R32,Magui Serna,Yuka Yoshida,ESP,JPN,7.0,,6-1,6-4,,,190482,250047,W-WT-ESP-01A-1998,1998,Magui Serna,Yuka Yoshida,ESP,JPN,7.0,,,Magui Serna,Yuka Yoshida,2,"6-1,6-4",,1998-05-18,,Madrid,,,,,190482,,250047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ESP-01A-1998,1998,Madrid,W,1998-05-18,,Clay,,,30,,,LS030,1998-05-18,R32,Tara Snyder,Florencia Labat,USA,ARG,,6,6-2,7-5,,,190571,,W-WT-ESP-01A-1998,1998,Tara Snyder,Florencia Labat,USA,ARG,,6,,Tara Snyder,Florencia Labat,2,"6-2,7-5",,1998-05-18,,Madrid,,,,,190571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ESP-01A-1998,1998,Madrid,W,1998-05-18,,Clay,,,30,,,LS031,1998-05-18,R32,Tathiana Garbin,Nicole Pratt,ITA,AUS,,,7-5,6-3,,,30348,160078,W-WT-ESP-01A-1998,1998,Tathiana Garbin,Nicole Pratt,ITA,AUS,,,Q,Tathiana Garbin,Nicole Pratt,2,"7-5,6-3",,1998-05-18,,Madrid,,,,,30348,,160078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ESP-01A-1998,1998,Madrid,W,1998-05-18,,Clay,,,30,,,LS029,1998-05-18,R32,Jana Kandarr,Cristina Torrens Valero,GER,ESP,,,2-6,6-4,6-1,,110329,200122,W-WT-ESP-01A-1998,1998,Jana Kandarr,Cristina Torrens Valero,GER,ESP,,,WC,Jana Kandarr,Cristina Torrens Valero,3,"2-6,6-4,6-1",,1998-05-18,,Madrid,,,,,110329,,200122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
