tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-WT-JPN-04A-1993,1993,Tokyo Nichirei,W,1993-09-21,,Hard,,,32,,,LS020,1993-09-21,R32,Arantxa Sanchez Vicario,Rika Hiraki,ESP,JPN,1.0,,6-2,6-0,,,190008,80037,W-WT-JPN-04A-1993,1993,Arantxa Sanchez Vicario,Rika Hiraki,ESP,JPN,1.0,,,Arantxa Sanchez Vicario,Rika Hiraki,2,"6-2,6-0",,1993-09-21,,Tokyo Nichirei,,,,,190008,,80037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-04A-1993,1993,Tokyo Nichirei,W,1993-09-21,,Hard,,,32,,,LS021,1993-09-21,R32,Alexandra Fusai,Yone Kamio,FRA,JPN,,,6-2,6-2,,,60127,,W-WT-JPN-04A-1993,1993,Alexandra Fusai,Yone Kamio,FRA,JPN,,,,Alexandra Fusai,Yone Kamio,2,"6-2,6-2",,1993-09-21,,Tokyo Nichirei,,,,,60127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-04A-1993,1993,Tokyo Nichirei,W,1993-09-21,,Hard,,,32,,,LS023,1993-09-21,R32,Debbie Graham,Caroline Kuhlman,USA,USA,,,7-5,6-3,,,,,W-WT-JPN-04A-1993,1993,Debbie Graham,Caroline Kuhlman,USA,USA,,,,Debbie Graham,Caroline Kuhlman,2,"7-5,6-3",,1993-09-21,,Tokyo Nichirei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-04A-1993,1993,Tokyo Nichirei,W,1993-09-21,,Hard,,,32,,,LS022,1993-09-21,R32,Amy Frazier,Katerina Maleeva,USA,BUL,,5.0,6-1,6-4,,,60034,,W-WT-JPN-04A-1993,1993,Amy Frazier,Katerina Maleeva,USA,BUL,,5.0,,Amy Frazier,Katerina Maleeva,2,"6-1,6-4",,1993-09-21,,Tokyo Nichirei,,,,,60034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-04A-1993,1993,Tokyo Nichirei,W,1993-09-21,,Hard,,,32,,,LS016,1993-09-21,R32,Amanda Coetzer,Lisa Raymond,RSA,USA,4.0,,6-2,6-4,,,30037,180144,W-WT-JPN-04A-1993,1993,Amanda Coetzer,Lisa Raymond,RSA,USA,4.0,,,Amanda Coetzer,Lisa Raymond,2,"6-2,6-4",,1993-09-21,,Tokyo Nichirei,,,,,30037,,180144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-04A-1993,1993,Tokyo Nichirei,W,1993-09-21,,Hard,,,32,,,LS017,1993-09-21,R32,Dominique Monami,Michelle Jaggard Lai,BEL,AUS,,,7-6,2-6,6-4,,,,W-WT-JPN-04A-1993,1993,Dominique Monami,Michelle Jaggard Lai,BEL,AUS,,,,Dominique Monami,Michelle Jaggard Lai,3,"7-6,2-6,6-4",,1993-09-21,,Tokyo Nichirei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-04A-1993,1993,Tokyo Nichirei,W,1993-09-21,,Hard,,,32,,,LS018,1993-09-21,R32,Laura Arraya,Noelle Van Lottum,PER,FRA,,,6-3,6-1,,,,,W-WT-JPN-04A-1993,1993,Laura Arraya,Noelle Van Lottum,PER,FRA,,,,Laura Arraya,Noelle Van Lottum,2,"6-3,6-1",,1993-09-21,,Tokyo Nichirei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-04A-1993,1993,Tokyo Nichirei,W,1993-09-21,,Hard,,,32,,,LS019,1993-09-21,R32,Naoko Sawamatsu,Chanda Rubin,JPN,USA,7.0,,3-6,6-2,6-0,,,180175,W-WT-JPN-04A-1993,1993,Naoko Sawamatsu,Chanda Rubin,JPN,USA,7.0,,,Naoko Sawamatsu,Chanda Rubin,3,"3-6,6-2,6-0",,1993-09-21,,Tokyo Nichirei,,,,,,,180175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-04A-1993,1993,Tokyo Nichirei,W,1993-09-21,,Hard,,,32,,,LS026,1993-09-21,R32,Lindsay Davenport,Mana Endo,USA,JPN,6.0,,6-4,5-7,7-5,,40106,,W-WT-JPN-04A-1993,1993,Lindsay Davenport,Mana Endo,USA,JPN,6.0,,,Lindsay Davenport,Mana Endo,3,"6-4,5-7,7-5",,1993-09-21,,Tokyo Nichirei,,,,,40106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-04A-1993,1993,Tokyo Nichirei,W,1993-09-21,,Hard,,,32,,,LS027,1993-09-21,R32,Ai Sugiyama,Linda Wild,JPN,USA,,,6-3,2-6,6-3,,190353,,W-WT-JPN-04A-1993,1993,Ai Sugiyama,Linda Wild,JPN,USA,,,WC,Ai Sugiyama,Linda Wild,3,"6-3,2-6,6-3",,1993-09-21,,Tokyo Nichirei,,,,,190353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
