height_inches,height_cm,plays,birth_date,birthplace,player_id,full_name,best_rank,first_appearance,last_appearance,represented_country
5' 11',-,Right-Handed,Mar 30 1999,"Mumbai, India",322996.0,Aastha Dargude,1212.0,2016-02-22 00:00:00,2016-02-22,IND
,-,Right-Handed,May 24 1993,"Brighton, England",318814.0,Abbi Melrose,1088.0,2011-12-19 00:00:00,2011-12-19,GBR
"5' 9""",1.75m,Right-Handed,Jul 18 1994,"Sydney, Australia",317914.0,Abbie Myers,257.0,2012-08-06 00:00:00,2022-10-24,AUS
"5' 7""",,Right-Handed,,,313112.0,Abbie Probert,1117.0,2005-12-05 00:00:00,2006-12-18,ESP
,-,Right-Handed,Nov 12 1996,"Leicestershire, England",322258.0,Abigail Amos,1055.0,2023-08-21 00:00:00,2025-04-21,GBR
,-,Right-Handed,Apr 5 2002,"Sarasota, FL, USA",328318.0,Abigail Rencheli,1030.0,2023-08-21 00:00:00,2025-08-18,USA
"5' 9""",1.70m,Right-Handed,Jul 12 1981,"San Diego, CA, USA",190771.0,Abigail Spears,66.0,2000-12-04 00:00:00,2019-11-25,USA
"5' 6""",1.68m,Right-Handed,Jul 13 1992,"Port Moresby, Papua New Guinea",319741.0,Abigail Tere-Apisah,276.0,2016-02-22 00:00:00,2022-02-14,PNG
,,Right-Handed,Jul 18 1979,,200218.0,Abigail Tordoff,360.0,2000-12-04 00:00:00,2001-09-03,GBR
,-,Right-Handed,Apr 2 2004,"Warsaw, Poland",332487.0,Ada Piestrzynska,1274.0,2023-08-21 00:00:00,2023-08-21,POL
,,Right-Handed,Feb 15 1991,,314241.0,Adeline Chiang,1418.0,2006-12-04 00:00:00,2006-12-04,FRA
,-,-,Jan 11 1991,,314400.0,Adeline Goncalves,799.0,2008-11-03 00:00:00,2008-11-03,FRA
,-,-,Jul 19 1988,"Moscow, Russia",320941.0,Adeliya Zabirova,748.0,2016-02-22 00:00:00,2016-02-22,RUS
,-,Right-Handed,Dec 4 2001,"Colombo, Sri Lanka",327378.0,Adithya Karunaratne,278.0,2019-09-16 00:00:00,2025-08-18,HKG
"5' 6""",1.68m,,Dec 21 1979,"Chicago, IL, USA",50112.0,Adria Engel,498.0,2000-12-04 00:00:00,2003-08-25,USA
5' 8'',1.73m,Right-Handed,May 21 1978,"Cluj, Romania",20334.0,Adriana Barna,180.0,2000-12-04 00:00:00,2007-06-11,GER
,-,Right-Handed,Feb 17 1982,"Mostar, Bosnia",20488.0,Adriana Basaric,323.0,2000-12-04 00:00:00,2003-07-21,BIH
,-,-,Nov 8 1981,"Bucharest, Romania",20551.0,Adriana Burz,488.0,2000-12-04 00:00:00,2002-06-03,ROM
,-,-,Mar 30 1986,"Olot, Spain",310488.0,Adriana Gonzalez Penas,328.0,2001-12-10 00:00:00,2006-03-13,ESP
,-,-,Aug 28 1983,,100132.0,Adriana Jerabek,319.0,2000-12-04 00:00:00,2003-03-24,GER
"5' 4""",1.63m,Right-Handed,Nov 20 1992,Anzoategui,316802.0,Adriana Pérez,186.0,2011-01-17 00:00:00,2014-12-01,VEN
"5' 10""",1.78m,Right-Handed,Feb 25 1996,"Velika Gorica, Croatia",322847.0,Adriana Rajkovic,954.0,2021-03-08 00:00:00,2023-08-21,CRO
,-,Right-Handed,Nov 13 1997,"Miami, FL, USA",328646.0,Adriana Reami,359.0,2019-09-16 00:00:00,2025-08-18,USA
"5' 5 1/2""",1.66m,Right-Handed,Jun 16 1976,"Sternberk, Czech Republic",70267.0,Adriana Rikl Gersi,57.0,2000-12-04 00:00:00,2003-03-24,CZE
,-,Right-Handed,Aug 1 1978,"Mayagüez, Portugal",180256.0,Adriana Rodriguez,1215.0,2000-12-04 00:00:00,2000-12-25,MEX
5' 3'',1.60m,Right-Handed,Mar 5 1976,"Modena, Italy",190276.0,Adriana Serra Zanetti,38.0,2000-12-04 00:00:00,2006-12-18,ITA
"5' 6""",1.68m,-,Dec 5 1985,,310822.0,Adriana Solarova,622.0,2002-09-30 00:00:00,2003-08-25,SVK
,-,-,Jan 10 1998,"Chisinau, Moldova",322000.0,Adriana Sosnovschi,933.0,2016-02-22 00:00:00,2018-03-19,MDA
,-,-,Jan 6 1985,"Adelaide, Australia",190951.0,Adriana Szili,411.0,2001-12-10 00:00:00,2006-12-18,AUS
,-,-,Dec 26 1977,"Budapest, Hungary",80313.0,Adrienn Hegedus,178.0,2000-12-04 00:00:00,2002-08-05,HUN
"5' 9""",1.75m,Right-Handed,Mar 24 2001,Budapest Hungary,325957.0,Adrienn Nagy,506.0,2019-09-16 00:00:00,2025-08-18,HUN
"5' 7""",1.7m,,Jun 29 1995,"Karlovac, Croatia",320636.0,Adrijana Lekaj,325.0,2013-06-17 00:00:00,2016-10-10,CRO
"5' 8""",1.73m,-,Mar 12 2006,"Osaka, Japan",333455.0,Aely Arai,1390.0,2023-08-21 00:00:00,2023-08-21,JPN
5.11,1.80m,Right-Handed,Dec 23 1993,"Warsaw, Poland",317096.0,Agata Baranska,907.0,2011-12-19 00:00:00,2012-08-06,POL
"5' 6""",1.68m,,Sep 26 1996,"Wejherowo, Poland",323031.0,Agata Bienkowska,1022.0,2016-02-22 00:00:00,2016-02-22,POL
,-,-,,,30461.0,Agata Cioroch,742.0,2000-12-04 00:00:00,2001-12-10,POL
,-,-,Apr 25 1980,,110395.0,Agata Kurowska,672.0,2000-12-04 00:00:00,2002-06-03,POL
,-,Right-Handed,Aug 25 1992,,318677.0,Agathe Timsit,1092.0,2019-09-16 00:00:00,2021-03-08,FRA
,-,Right-Handed,Feb 5 2004,"Sebastopol, Russia",331116.0,Aglaya Fedorova,950.0,2023-08-21 00:00:00,2025-08-18,RUS
,-,Right-Handed,Dec 1 1995,"Panevėžys, Lithuania",319525.0,Agne Cepelyte,1292.0,2016-02-22 00:00:00,2016-02-22,LTU
,-,Right-Handed,Oct 29 1993,"Szolnok, Hungary",316605.0,Agnes Bukta,294.0,2012-10-29 00:00:00,2021-03-29,HUN
"5' 3 1/2""",1.61m,Right-Handed,Jun 28 1987,"Gheorgheni, Romania",312668.0,Agnes Szatmari,187.0,2005-08-22 00:00:00,2014-11-03,ROU
"5' 7""",1.71m,Right-Handed,Dec 29 1988,"Kiskunhalas, Hungary",311872.0,Agnes Szavay,13.0,2004-08-23 00:00:00,2012-04-02,HUN
,-,Right-Handed,Nov 22 1982,"Bologna, Italia",260159.0,Agnese Zucchini,372.0,2005-08-22 00:00:00,2013-10-07,ITA
,-,Right-Handed,May 23 1989,,311368.0,Agni Stefanou,677.0,2005-12-05 00:00:00,2014-11-03,GRE
"5' 8""",1.73m,Right-Handed,Mar 6 1989,"Krakow, Poland",312251.0,Agnieszka Radwanska,2.0,2005-08-22 00:00:00,2018-12-03,POL
,-,Right-Handed,Oct 2 2004,,332731.0,Agostina Andreazzini,1289.0,2023-08-21 00:00:00,2023-08-21,ARG
,-,Right-Handed,Feb 10 1997,,322601.0,Agustina Chlpac,872.0,2019-09-16 00:00:00,2025-08-18,ARG
,-,Right-Handed,Sep 8 1988,"El Trébol, Argentina",312866.0,Agustina Lepore,227.0,2005-11-28 00:00:00,2012-08-06,ARG
,-,-,Aug 2 1995,"Tandil, Argentina",318481.0,Agustina Serio,1088.0,2011-12-19 00:00:00,2011-12-19,ARG
,-,Left-Handed,Jul 1 1993,"Buenos Aires, Argentina",316141.0,Agustina Sol Eskenazi,749.0,2010-01-25 00:00:00,2010-01-25,ARG
,-,Right-Handed,May 21 1996,"Cairo, Egypt",321126.0,Ahlam Shawkat,1246.0,2016-02-22 00:00:00,2016-02-22,EGY
"5' 8""",1.72m,Right-Handed,Mar 21 1985,"Miami Shores, FL, USA",310210.0,Ahsha Rolle,82.0,2001-09-03 00:00:00,2012-08-13,USA
,-,Right-Handed,Mar 10 1991,,316129.0,Ai Koga,845.0,2011-12-19 00:00:00,2012-08-06,JPN
"5' 4 1/4""",1.63m,Right-Handed,Jul 5 1975,"Tokyo, Japan",190353.0,Ai Sugiyama,8.0,2000-12-04 00:00:00,2009-10-12,JPN
"5' 7""",1.70m,Right-Handed,Sep 22 1994,"Wuxi, China",317962.0,Ai Wen Zhu,758.0,2011-12-19 00:00:00,2016-02-22,CHN
,,,May 2 2022,,326716.0,Ai Yamaguchi,1315.0,2023-08-21 00:00:00,2023-08-21,JPN
,-,-,,,313609.0,Ai Yamamoto,342.0,2005-12-05 00:00:00,2011-12-19,JPN
"5' 4""",1.63m,Right-Handed,Dec 28 1983,"Osaka, Japan",140219.0,Aiko Nakamura,47.0,2001-12-10 00:00:00,2013-06-17,JPN
"5' 2""",1.58m,Right-Handed,Sep 24 1993,"Nagoya, Japan",318005.0,Aiko Yoshitomi,600.0,2016-01-25 00:00:00,2021-03-08,JPN
"5' 2""",1.57m,Right-Handed,Jan 9 1996,"Buenos Aires, Argentina",320062.0,Ailen Crespo Azconzabal,1060.0,2016-02-22 00:00:00,2016-02-22,ARG
"5' 3""",1.60m,Right-Handed,Aug 21 1991,"London, England",315379.0,Aimee Gibson,1246.0,2016-02-22 00:00:00,2016-02-22,GBR
,-,-,Sep 27 1981,"Fort-Dauphin, Madagascar",180444.0,Aina Rafolumanansiatosika,1020.0,2000-12-04 00:00:00,2001-12-10,MAD
,-,Left-Handed,May 24 1993,,316474.0,Ainhoa Atucha Gomez,652.0,2011-12-19 00:00:00,2021-10-11,ESP
5'7'',1.70m,Right-Handed,Aug 7 1979,"Madrid, Spain",70370.0,Ainhoa Goni,140.0,2000-12-04 00:00:00,2003-07-21,ESP
