full_name,player_id,ranking,points,movement,date
Lindsay Davenport,40106,1,4546,0,2004-11-08
Amélie Mauresmo,130450,2,4195,0,2004-11-08
Anastasia Myskina,130533,3,3645,0,2004-11-08
Svetlana Kuznetsova,110552,4,3445,1,2004-11-08
Elena Dementieva,40289,5,3382,-1,2004-11-08
Maria Sharapova,310137,6,2902,1,2004-11-08
Justine Henin,80350,7,2884,-1,2004-11-08
Serena Williams,230234,8,2597,0,2004-11-08
Venus Williams,230220,9,2400,1,2004-11-08
Jennifer Capriati,30200,10,2359,-1,2004-11-08
Vera Zvonareva,260142,11,2299,0,2004-11-08
Nadia Petrova,160379,12,2022,2,2004-11-08
Alicia Molik,130548,13,1970,0,2004-11-08
Patty Schnyder,190519,14,1638,1,2004-11-08
Elena Bovina,20992,15,1598,1,2004-11-08
Paola Suárez,190360,16,1535,2,2004-11-08
Ai Sugiyama,190353,17,1469,0,2004-11-08
Karolina Sprem,190881,18,1451,1,2004-11-08
Francesca Schiavone,190666,19,1397,1,2004-11-08
Silvia Farina Elia,60061,20,1334,1,2004-11-08
Nathalie Dechy,40254,21,1331,1,2004-11-08
Kim Clijsters,30458,22,1326,-10,2004-11-08
Fabiola Zuluaga,260078,23,1296,0,2004-11-08
Elena Likhovtseva,120151,24,1270,0,2004-11-08
Magdalena Maleeva,130245,25,1179,0,2004-11-08
Amy Frazier,60034,26,1149,1,2004-11-08
Tatiana Golovin,310774,27,1126,-1,2004-11-08
Jelena Jankovic,100153,28,1062,1,2004-11-08
Mary Pierce,160142,29,1043,1,2004-11-08
Lisa Raymond,180144,30,1032,-2,2004-11-08
Daniela Hantuchova,80394,31,971,0,2004-11-08
Anna Smashnova,190361,32,932,0,2004-11-08
Gisela Dulko,40388,33,908,0,2004-11-08
Eleni Daniilidou,40313,34,907,0,2004-11-08
Jelena Kostanic Tosic,110380,35,836,0,2004-11-08
Iveta Melzer,20576,36,818,4,2004-11-08
Shinobu Asagoe,10209,37,813,-1,2004-11-08
Flavia Pennetta,160391,38,811,-1,2004-11-08
Anabel Medina Garrigues,130611,39,803,0,2004-11-08
Meghann Shaughnessy,190565,40,785,4,2004-11-08
Marion Bartoli,20631,41,765,0,2004-11-08
Conchita Martínez,130113,42,761,0,2004-11-08
Maria Elena Camerin,30462,43,760,0,2004-11-08
Dinara Safina,190950,44,756,1,2004-11-08
Emilie Loit,120277,45,748,1,2004-11-08
Klara Koukalova,110492,46,714,1,2004-11-08
Marta Marrero,130616,47,700,1,2004-11-08
Kristina Brandi,20323,48,674,1,2004-11-08
Maria Vento-Kabchi,220070,49,673,1,2004-11-08
Mashona Washington,230186,50,653,1,2004-11-08
Nicole Pratt,160078,51,650,1,2004-11-08
María Sánchez Lorenzo,190435,52,649,1,2004-11-08
Chanda Rubin,180175,53,641,-15,2004-11-08
Denisa Chladkova,30382,54,629,0,2004-11-08
Alina Jidkova,260065,55,626,2,2004-11-08
Barbora Strycova,190879,56,617,-1,2004-11-08
Martina Sucha,190295,57,595,23,2004-11-08
Tathiana Garbin,30348,58,583,-2,2004-11-08
Jill Craybas,30294,59,565,2,2004-11-08
Virginie Razzano,180384,60,561,-2,2004-11-08
Claudine Schaul,190777,61,555,2,2004-11-08
Dally Randriantefy,180234,62,554,-3,2004-11-08
Vera Dushevina,310625,63,545,-3,2004-11-08
Virginia Ruano Pascual,180160,64,518,0,2004-11-08
Tamarine Tanasugarn,200137,65,515,-3,2004-11-08
Jie Zheng,260144,66,512,7,2004-11-08
Akiko Morigami,130541,67,508,-1,2004-11-08
Shuai Peng,160471,68,507,11,2004-11-08
Samantha Stosur,190787,69,506,-4,2004-11-08
Arantxa  Parra Santonja,160451,70,504,-3,2004-11-08
Marlene Weingartner,230202,71,502,-3,2004-11-08
Marissa Gould,90080,72,502,-3,2004-11-08
Marta Domachowska,310338,73,497,-3,2004-11-08
Anna-Lena Groenefeld,310318,74,495,-3,2004-11-08
Nicole Vaidisova,311911,75,489,-3,2004-11-08
Laura Granville,70423,76,484,2,2004-11-08
Tatiana Panova,160254,77,478,-3,2004-11-08
Shenay Perry,160472,78,468,-3,2004-11-08
Nuria Llagostera Vives,120317,79,467,-2,2004-11-08
Na Li,120330,80,463,4,2004-11-08
Petra Mandula,130443,81,452,0,2004-11-08
Lindsay Lee-Waters,120281,82,450,0,2004-11-08
Yuliana Fedak,60301,83,437,4,2004-11-08
Anna Chakvetadze,310623,84,431,-1,2004-11-08
Anca Barna,20113,85,425,-9,2004-11-08
Aniko Kapros,110505,86,424,0,2004-11-08
Katarina Srebotnik,190636,87,413,2,2004-11-08
Barbara Schett,190349,88,403,2,2004-11-08
Mara Santangelo,190669,89,402,-1,2004-11-08
Lubomira Kurhajcova,110527,90,400,-5,2004-11-08
Tatiana Perebiynis,160405,91,396,0,2004-11-08
Abigail Spears,190771,92,389,30,2004-11-08
Stéphanie Foretz ,60288,93,389,0,2004-11-08
Anne Kremer,110242,94,383,3,2004-11-08
Severine Beltrame,20553,95,382,-1,2004-11-08
Evgenia Linetskaya,310332,96,381,-1,2004-11-08
Antonella Serra Zanetti,190613,97,376,-5,2004-11-08
Ana Ivanovic,311710,98,375,-2,2004-11-08
Camille Pin,160363,99,372,-1,2004-11-08
Ludmila Cervanova,30390,100,370,0,2004-11-08
Sanda Mamic,130760,101,370,0,2004-11-08
Magui Serna,190482,102,356,0,2004-11-08
Rita Grande,70192,103,354,0,2004-11-08
Emmanuelle Gagliardi,70245,104,352,0,2004-11-08
Julia Schruff,190711,105,347,0,2004-11-08
Michaela Pastikova,160361,106,342,0,2004-11-08
Saori Obata,150103,107,341,-8,2004-11-08
Tzipora Obziler,150048,108,337,-1,2004-11-08
Mariana Diaz-Oliva,40198,109,337,3,2004-11-08
Catalina Castaño,30360,110,326,3,2004-11-08
Maria Kirilenko,310577,111,326,-1,2004-11-08
Stéphanie Cohen-Aloro,30501,112,325,-1,2004-11-08
Silvija Talaja,200160,113,324,-5,2004-11-08
María Emilia Salerni,190855,114,320,19,2004-11-08
Roberta Vinci,220214,115,318,-1,2004-11-08
Kveta Peschke,80218,116,313,-1,2004-11-08
Kelly Mc Cain,130681,117,303,0,2004-11-08
Tiantian Sun,190817,118,300,2,2004-11-08
Capucine Rousseau,180427,119,293,-1,2004-11-08
Lilia Osterloh,150134,120,293,-4,2004-11-08
Myriam Casanova,30551,121,291,-2,2004-11-08
Aiko Nakamura,140219,122,282,-1,2004-11-08
Ashley Harkleroad,80418,123,281,0,2004-11-08
Jelena Dokic,40344,124,281,0,2004-11-08
Selima Sfar,190473,125,280,0,2004-11-08
Alona Bondarenko,20608,126,280,0,2004-11-08
